rmat_tag,pdt_smiles
300000,C[15C]1([18O][16C@@H]([17C]=[14CH]c2ccccc2)c2ccc(N3Cc4ccccc4C3=O)cc2)[15N][17O]1.[13C]
300001,C[15C]1([15N])[17O][17C](=[14CH]c2ccccc2)[16C@@H](c2ccc(N3Cc4ccccc4C3=O)cc2)[18O]1.[13C]
300002,C[15C]1([17O])[15N][17C](=[14CH]c2ccccc2)[16C@@H](c2ccc(N3Cc4ccccc4C3=O)cc2)[18O]1.[13C]
300003,C[15C]12[17O][15N]1[17C](=[14CH]c1ccccc1)[16C@@H](c1ccc(N3Cc4ccccc4C3=O)cc1)[18O]2.[13C]
300004,C[15C]([15N])([18O])[17O][16C@@H]([17C]=[14CH]c1ccccc1)c1ccc(N2Cc3ccccc3C2=O)cc1.[13C]
300005,C[15C]1([17O][16C@@H]([17C]=[14CH]c2ccccc2)c2ccc(N3Cc4ccccc4C3=O)cc2)[15N][18O]1.[13C]
300006,C[15C]1([15N])[17O][16C@H](c2ccc(N3Cc4ccccc4C3=O)cc2)[17C](=[14CH]c2ccccc2)[18O]1.[13C]
300007,C[15C]1([18O])[15N][17C](=[14CH]c2ccccc2)[16C@@H](c2ccc(N3Cc4ccccc4C3=O)cc2)[17O]1.[13C]
300008,C[15C]12[17O][16C@H](c3ccc(N4Cc5ccccc5C4=O)cc3)[17C](=[14CH]c3ccccc3)[15N]1[18O]2.[13C]
300011,C[15C]([17O])([18O])[15N][16C@@H]([17C]=[14CH]c1ccccc1)c1ccc(N2Cc3ccccc3C2=O)cc1.[13C]
300012,C[15C]1([15N][16C@@H]([17C]=[14CH]c2ccccc2)c2ccc(N3Cc4ccccc4C3=O)cc2)[17O][18O]1.[13C]
300013,C[15C]1([17O])[18O][15N]1[16C@@H]([17C]=[14CH]c1ccccc1)c1ccc(N2Cc3ccccc3C2=O)cc1.[13C]
300014,C[15C]1([18O])[17O][15N]1[16C@@H]([17C]=[14CH]c1ccccc1)c1ccc(N2Cc3ccccc3C2=O)cc1.[13C]
300015,C[15C]1([17O])[15N][16C@H](c2ccc(N3Cc4ccccc4C3=O)cc2)[17C](=[14CH]c2ccccc2)[18O]1.[13C]
300016,C[15C]12[17O][15N]1[16C@H](c1ccc(N3Cc4ccccc4C3=O)cc1)[17C](=[14CH]c1ccccc1)[18O]2.[13C]
