rmat_tag,pdt_smiles
200521,C[15C]([15N])=[16CH]c1ccc(N2Cc3ccccc3C2=O)cc1.[13C].[17C][14CH]c1ccccc1.[17O].[18O]
200522,C[15C]([15N])=[16CH]c1ccc(N2Cc3ccccc3C2=O)cc1.[13C].[17C][14CH]c1ccccc1.[17O][18O]
200523,C[15C]([15N])=[16CH]c1ccc(N2Cc3ccccc3C2=O)cc1.[13C].[17C][14CH]c1ccccc1.[17O]=[18O]
200524,C[15C](=[16CH]c1ccc(N2Cc3ccccc3C2=O)cc1)[15N][18O].[13C].[17C][14CH]c1ccccc1.[17O]
200525,C[15C](=[16CH]c1ccc(N2Cc3ccccc3C2=O)cc1)[15N][18O][17O].[13C].[17C][14CH]c1ccccc1
200526,C[15C](=[16CH]c1ccc(N2Cc3ccccc3C2=O)cc1)[15N]=[18O].[13C].[17C][14CH]c1ccccc1.[17O]
200527,C[15C](=[16CH]c1ccc(N2Cc3ccccc3C2=O)cc1)[15N][17O].[13C].[17C][14CH]c1ccccc1.[18O]
200528,C[15C](=[16CH]c1ccc(N2Cc3ccccc3C2=O)cc1)[15N][17O][18O].[13C].[17C][14CH]c1ccccc1
200529,C[15C](=[16CH]c1ccc(N2Cc3ccccc3C2=O)cc1)[15N]([17O])[18O].[13C].[17C][14CH]c1ccccc1
200530,C[15C](=[16CH]c1ccc(N2Cc3ccccc3C2=O)cc1)[15N]1[17O][18O]1.[13C].[17C][14CH]c1ccccc1
200531,C[15C](=[16CH]c1ccc(N2Cc3ccccc3C2=O)cc1)[15N]=[17O].[13C].[17C][14CH]c1ccccc1.[18O]
200532,C[15C]([15N])=[16CH]c1ccc(N2Cc3ccccc3C2=O)cc1.[13C].[17O].[18O][17C][14CH]c1ccccc1
200533,C[15C]([15N])=[16CH]c1ccc(N2Cc3ccccc3C2=O)cc1.[13C].[17O][18O][17C][14CH]c1ccccc1
200534,C[15C](=[16CH]c1ccc(N2Cc3ccccc3C2=O)cc1)[15N][18O][17C][14CH]c1ccccc1.[13C].[17O]
200535,C[15C](=[16CH]c1ccc(N2Cc3ccccc3C2=O)cc1)[15N][17O].[13C].[18O][17C][14CH]c1ccccc1
200536,C[15C](=[16CH]c1ccc(N2Cc3ccccc3C2=O)cc1)[15N][17O][18O][17C][14CH]c1ccccc1.[13C]
200537,C[15C](=[16CH]c1ccc(N2Cc3ccccc3C2=O)cc1)[15N]([17O])[18O][17C][14CH]c1ccccc1.[13C]
200538,C[15C](=[16CH]c1ccc(N2Cc3ccccc3C2=O)cc1)[15N]=[17O].[13C].[18O][17C][14CH]c1ccccc1
200539,C[15C]([15N])=[16CH]c1ccc(N2Cc3ccccc3C2=O)cc1.[13C].[17O].[18O]=[17C][14CH]c1ccccc1
200540,C[15C](=[16CH]c1ccc(N2Cc3ccccc3C2=O)cc1)[15N][17O].[13C].[18O]=[17C][14CH]c1ccccc1
200541,C[15C](=[16CH]c1ccc(N2Cc3ccccc3C2=O)cc1)[15N]=[17O].[13C].[18O]=[17C][14CH]c1ccccc1
200542,C[15C]([15N])=[16CH]c1ccc(N2Cc3ccccc3C2=O)cc1.[13C].[17O][17C][14CH]c1ccccc1.[18O]
200543,C[15C]([15N])=[16CH]c1ccc(N2Cc3ccccc3C2=O)cc1.[13C].[18O][17O][17C][14CH]c1ccccc1
200544,C[15C](=[16CH]c1ccc(N2Cc3ccccc3C2=O)cc1)[15N][18O].[13C].[17O][17C][14CH]c1ccccc1
200545,C[15C](=[16CH]c1ccc(N2Cc3ccccc3C2=O)cc1)[15N][18O][17O][17C][14CH]c1ccccc1.[13C]
200546,C[15C](=[16CH]c1ccc(N2Cc3ccccc3C2=O)cc1)[15N]=[18O].[13C].[17O][17C][14CH]c1ccccc1
200547,C[15C](=[16CH]c1ccc(N2Cc3ccccc3C2=O)cc1)[15N][17O][17C][14CH]c1ccccc1.[13C].[18O]
200548,C[15C](=[16CH]c1ccc(N2Cc3ccccc3C2=O)cc1)[15N]([18O])[17O][17C][14CH]c1ccccc1.[13C]
200549,C[15C]([15N])=[16CH]c1ccc(N2Cc3ccccc3C2=O)cc1.[13C].[17O][17C]([18O])[14CH]c1ccccc1
200550,C[15C]([15N])=[16CH]c1ccc(N2Cc3ccccc3C2=O)cc1.[13C].c1ccc([14CH][17C]2[17O][18O]2)cc1
200551,C[15C](=[16CH]c1ccc(N2Cc3ccccc3C2=O)cc1)[15N][18O][17C]([17O])[14CH]c1ccccc1.[13C]
200552,C[15C](=[16CH]c1ccc(N2Cc3ccccc3C2=O)cc1)[15N][17O][17C]([18O])[14CH]c1ccccc1.[13C]
200553,C[15C](=[16CH]c1ccc(N2Cc3ccccc3C2=O)cc1)[15N]1[17O][17C]([14CH]c2ccccc2)[18O]1.[13C]
200554,C[15C]([15N])=[16CH]c1ccc(N2Cc3ccccc3C2=O)cc1.[13C].[17O][17C](=[18O])[14CH]c1ccccc1
200555,C[15C](=[16CH]c1ccc(N2Cc3ccccc3C2=O)cc1)[15N][17O][17C](=[18O])[14CH]c1ccccc1.[13C]
200556,C[15C]([15N])=[16CH]c1ccc(N2Cc3ccccc3C2=O)cc1.[13C].[17O]=[17C][14CH]c1ccccc1.[18O]
200557,C[15C](=[16CH]c1ccc(N2Cc3ccccc3C2=O)cc1)[15N][18O].[13C].[17O]=[17C][14CH]c1ccccc1
200558,C[15C](=[16CH]c1ccc(N2Cc3ccccc3C2=O)cc1)[15N]=[18O].[13C].[17O]=[17C][14CH]c1ccccc1
200559,C[15C]([15N])=[16CH]c1ccc(N2Cc3ccccc3C2=O)cc1.[13C].[17O]=[17C]([18O])[14CH]c1ccccc1
200560,C[15C](=[16CH]c1ccc(N2Cc3ccccc3C2=O)cc1)[15N][18O][17C](=[17O])[14CH]c1ccccc1.[13C]
200561,C[15C](=[16CH]c1ccc(N2Cc3ccccc3C2=O)cc1)[15N][17C][14CH]c1ccccc1.[13C].[17O].[18O]
200562,C[15C](=[16CH]c1ccc(N2Cc3ccccc3C2=O)cc1)[15N][17C][14CH]c1ccccc1.[13C].[17O][18O]
200563,C[15C](=[16CH]c1ccc(N2Cc3ccccc3C2=O)cc1)[15N][17C][14CH]c1ccccc1.[13C].[17O]=[18O]
200564,C[15C](=[16CH]c1ccc(N2Cc3ccccc3C2=O)cc1)[15N]([18O])[17C][14CH]c1ccccc1.[13C].[17O]
200565,C[15C](=[16CH]c1ccc(N2Cc3ccccc3C2=O)cc1)[15N]([17C][14CH]c1ccccc1)[18O][17O].[13C]
200566,C[15C](=[16CH]c1ccc(N2Cc3ccccc3C2=O)cc1)[15N]([17O])[17C][14CH]c1ccccc1.[13C].[18O]
200567,C[15C](=[16CH]c1ccc(N2Cc3ccccc3C2=O)cc1)[15N]([17C][14CH]c1ccccc1)[17O][18O].[13C]
200568,C[15C](=[16CH]c1ccc(N2Cc3ccccc3C2=O)cc1)[15N][17C]([18O])[14CH]c1ccccc1.[13C].[17O]
