rmat_tag,pdt_smiles
1310637,[14C][13C][15N][17O][17C][18O][16C].[15C]
1310639,[14C][13C][15N][18O][16C].[15C].[17C]=[17O]
1310652,[14C][13C][15N][17C]([17O])[18O][16C].[15C]
1310655,[14C][13C][15N]([17C]=[17O])[18O][16C].[15C]
1310656,[14C][13C][15N][17C](=[17O])[18O][16C].[15C]
1310661,[14C][13C][15N]=[17C][17O][18O][16C].[15C]
1310681,[14C][13C][15N][18O][17O][16C].[15C].[17C]
1310684,[14C][13C][15N]([18O])[17O][16C].[15C].[17C]
1310689,[14C][13C][15N]([17O][16C])[18O][17C].[15C]
1310701,[14C][13C][15N]([17C])[18O][17O][16C].[15C]
1310702,[14C][13C][15N]([17C])[17O][16C].[15C].[18O]
1310704,[14C][13C][15N][17C][18O][17O][16C].[15C]
1310706,[14C][13C][15N]([17C][18O])[17O][16C].[15C]
1310709,[14C][13C][15N][17C][17O][16C].[15C].[18O]
1310710,[14C][13C][15N]([18O])[17C][17O][16C].[15C]
1310712,[14C][13C][15N]1[18O][17C]1[17O][16C].[15C]
1310719,[14C][13C][15N]=[17C][17O][16C].[15C].[18O]
1310720,[14C][13C][15N]=[17C]([18O])[17O][16C].[15C]
1310723,[14C][13C][15N][18O][16C][17O].[15C].[17C]
1310724,[14C][13C][15N][17O][16C][18O].[15C].[17C]
1310725,[14C][13C][15N]1[17O][16C][18O]1.[15C].[17C]
1310727,[14C][13C][15N][17O][16C][18O][17C].[15C]
1310729,[14C][13C][15N][18O][16C][17O][17C].[15C]
1310733,[14C][13C][15N]([17C])[18O][16C][17O].[15C]
1310734,[14C][13C][15N]([17C])[17O][16C][18O].[15C]
1310735,[14C][13C][15N][17C][18O][16C][17O].[15C]
1310736,[14C][13C][15N]1[17C][18O][16C][17O]1.[15C]
1310737,[14C][13C][15N][17C][17O][16C][18O].[15C]
1310738,[14C][13C][15N]1[17C][17O][16C][18O]1.[15C]
1310739,[14C][13C][15N][17C]1[17O][16C][18O]1.[15C]
1310742,[14C][13C][15N]=[17C][18O][16C][17O].[15C]
1310743,[14C][13C][15N]=[17C][17O][16C][18O].[15C]
1310744,[14C][13C][15N]=[17C]1[17O][16C][18O]1.[15C]
1310782,[14C][13C][15N]([16C])[18O][17O].[15C].[17C]
