rmat_tag,pdt_smiles
1600034,[16C].[17C][18O][17O][15C][14C][13C][15N]
1600035,[16C].[17C][18O][15N][13C][14C][15C][17O]
1600041,[16C].[17C][17O][15C][14C][13C][15N][18O]
1600043,[15N][13C][14C][15C][17O][17C][18O].[16C]
1600049,[16C].[17C][15N]1[13C][14C][15C][17O][18O]1
1600051,[16C].[17O][15C][14C][13C][15N][17C][18O]
1600057,[13C]1[14C][15C][17O][17C][15N]1.[16C].[18O]
1600060,[13C]1[14C][15C][17O][17C]2[18O][15N]12.[16C]
1600063,[16C].[17C]=[15N][13C][14C][15C][17O][18O]
1600068,[16C].[18O][17C]1=[15N][13C][14C][15C][17O]1
1600073,[16C][18O][15N]1[13C][14C][15C][17O]1.[17C]
1600080,[16C][18O][17O][15C][14C][13C][15N][17C]
1600081,[16C][18O][15N]([17C])[13C][14C][15C][17O]
1600087,[16C][18O][17C]1[15N][13C][14C][15C][17O]1
1600089,[16C][18O][17O][15C][14C][13C][15N]=[17C]
1600103,[16C][17O][15C][14C][13C][15N]=[18O].[17C]
1600108,[16C][17O][15C][14C][13C][15N]([17C])[18O]
1600112,[16C][17O][15C][14C][13C][15N]=[17C].[18O]
1600115,[15N][13C][14C][15C][17O][16C][18O].[17C]
1600116,[13C]1[14C][15C][17O][16C][18O][15N]1.[17C]
1600117,[17C][18O][16C][17O][15C][14C][13C][15N]
1600118,[17C][15N][13C][14C][15C][17O][16C][18O]
1600119,[17C][15N]1[13C][14C][15C][17O][16C][18O]1
1600120,[13C]1[14C][15C][17O][16C][18O][17C][15N]1
1600121,[17C]=[15N][13C][14C][15C][17O][16C][18O]
1600122,[13C]1[14C][15C][17O][16C][18O][17C]=[15N]1
1600129,[16C][15N]1[13C][14C][15C][17O][18O]1.[17C]
1600137,[16C][15N][13C][14C][15C][17O][17C].[18O]
1600140,[16C][15N]1[13C][14C][15C][17O][17C][18O]1
1600143,[16C][15N]([17C])[13C][14C][15C][17O][18O]
1600151,[13C]1[14C][15C][17O][18O][16C][15N]1.[17C]
1600152,[17C].[17O][15C][14C][13C][15N]1[16C][18O]1
1600153,[17C].[18O][16C][15N]1[13C][14C][15C][17O]1
1600159,[17C][15N]([13C][14C][15C][17O])[16C][18O]
1600160,[17C][15N]1[13C][14C][15C][17O][18O][16C]1
1600170,[17C].[18O][15N]1[13C][14C][15C][17O][16C]1
1600174,[17C][15N]1[13C][14C][15C][17O][16C]1.[18O]
1600185,[16C]=[15N][13C][14C][15C][17O][18O].[17C]
1600218,[16C][17C][17O][15C][14C][13C][15N].[18O]
1600221,[16C][17C]([18O])[17O][15C][14C][13C][15N]
1600222,[16C][17C]1[17O][15C][14C][13C][15N][18O]1
1600226,[16C][17C][15N]([18O])[13C][14C][15C][17O]
1600228,[16C][17C][15N]1[13C][14C][15C][17O]1.[18O]
1600237,[16C][17C]1([18O])[15N][13C][14C][15C][17O]1
1600239,[16C][17C]=[15N][13C][14C][15C][17O].[18O]
1600242,[16C][17C]1=[15N][13C][14C][15C][17O][18O]1
1600245,[17C][16C][18O][17O][15C][14C][13C][15N]
1600246,[17C][16C][18O][15N][13C][14C][15C][17O]
1600248,[17C][16C][18O][15N]1[13C][14C][15C][17O]1
1600253,[15N][13C][14C][15C][17O][17C]1[16C][18O]1
1600254,[17O][15C][14C][13C][15N][17C][16C][18O]
1600255,[13C]1[14C][15C][17O][18O][16C][17C][15N]1
1600256,[17O][15C][14C][13C][15N]1[17C][16C][18O]1
1600257,[18O][16C][17C][15N]1[13C][14C][15C][17O]1
1600259,[13C]1[14C][15C][17O][15N]1[17C]1[16C][18O]1
1600261,[13C]1[14C][15C][17O][17C]2[16C][18O][15N]12
1600263,[17O][15C][14C][13C][15N]=[17C][16C][18O]
1600264,[13C]1[14C][15C][17O][18O][16C][17C]=[15N]1
1600265,[17O][15C][14C][13C][15N]=[17C]1[16C][18O]1
1600266,[18O][16C][17C]1=[15N][13C][14C][15C][17O]1
1600276,[17C][16C][17O][15C][14C][13C][15N][18O]
1600277,[17C][16C][17O][15C][14C][13C][15N]=[18O]
1600281,[13C]1[14C][15C][17O][16C][17C][15N]1.[18O]
1600282,[18O][15N]1[13C][14C][15C][17O][16C][17C]1
1600284,[13C]1[14C][15C][17O][16C][17C]2[18O][15N]12
1600286,[13C]1[14C][15C][17O][16C][17C]=[15N]1.[18O]
1600287,[18O][17C]1=[15N][13C][14C][15C][17O][16C]1
1600300,[17C][16C][15N][13C][14C][15C][17O][18O]
1600301,[17C][16C][15N]([18O])[13C][14C][15C][17O]
1600302,[17C][16C][15N]1[13C][14C][15C][17O][18O]1
