,rmat_tag,pdt_smiles,frag_in_large,pdt_cleaned,pmi_x,pmi_y
760,5296,[13C].[14C].[15C][15N]([18O])[17O][17C]=[16C],[15C][15N]([18O])[17O][17C]=[16C],CN(O)OC=C,0.22277520143768909,0.8663832074026618
780,5632,[13C].[14C].[16C].[17O][15N]1[15C][18O][17C]1,[17O][15N]1[15C][18O][17C]1,ON1COC1,0.32682607998768937,0.7883642200573154
800,5667,[13C].[14C].[16C][17O][15N]1[15C][18O]1.[17C],[16C][17O][15N]1[15C][18O]1,CON1CO1,0.22404857208931214,0.950432245490853
820,5719,[13C].[14C].[16C][15N][15C][18O].[17C]=[17O],[16C][15N][15C][18O],CNCO,0.1370603562653833,0.9214446203809784
840,5766,[13C].[14C].[16C]=[15N][15C][18O][17C].[17O],[16C]=[15N][15C][18O][17C],C=NCOC,0.21367886327856164,0.87219135629275
860,5811,[13C].[14C].[16C][17C]([17O])[15N][15C][18O],[16C][17C]([17O])[15N][15C][18O],CC(O)NCO,0.2744334903880036,0.8293770715731447
880,5836,[13C].[14C].[17O][17C]1=[15N][15C][18O][16C]1,[17O][17C]1=[15N][15C][18O][16C]1,OC1=NCOC1,0.2928171331111168,0.776542370806416
900,5894,[13C].[14C].[17O]=[17C]1[16C][15N][15C][18O]1,[17O]=[17C]1[16C][15N][15C][18O]1,O=C1CNCO1,0.3328973019742768,0.715050302642948
920,6134,[13C].[14C].[16C].[17C][15N]([17O])[15C]=[18O],[17C][15N]([17O])[15C]=[18O],CN(O)C=O,0.32204532792064483,0.706036723656125
940,6163,[13C].[14C].[17C][15N]([15C]=[18O])[16C][17O],[17C][15N]([15C]=[18O])[16C][17O],CN(C=O)CO,0.4992912010591441,0.617845736435932
960,6223,[13C].[14C].[16C]=[17C][15N][15C]=[18O].[17O],[16C]=[17C][15N][15C]=[18O],C=CNC=O,0.14113315274441735,0.8588668473164299
980,6333,[13C].[14C].[16C][18O][17O][15C][15N]=[17C],[16C][18O][17O][15C][15N]=[17C],COOCN=C,0.06272462494266937,0.97581802940168
1000,6392,[13C].[14C].[16C][15N]1[15C][17O][17C]1[18O],[16C][15N]1[15C][17O][17C]1[18O],CN1COC1O,0.4480730934346223,0.6543088982701835
1020,6492,[13C].[14C].[17C][16C][18O][15N]1[15C][17O]1,[17C][16C][18O][15N]1[15C][17O]1,CCON1CO1,0.1737227827663235,0.9275945151547651
1040,6560,[13C].[14C].[18O][17O][15C][15N]1[16C][17C]1,[18O][17O][15C][15N]1[16C][17C]1,OOCN1CC1,0.23041479999043532,0.9624674626088141
1060,6810,[13C].[14C].[16C].[17C]=[15N][15C]([17O])[18O],[17C]=[15N][15C]([17O])[18O],C=NC(O)O,0.34029277580139233,0.7646785394141079
1080,6839,[13C].[14C].[16C][15N]1[17O][15C]1[18O][17C],[16C][15N]1[17O][15C]1[18O][17C],CN1OC1OC,0.17820363970935058,0.9380855188692053
1100,6874,[13C].[14C].[16C][17C].[17O]1[15C]2[18O][15N]12,[17O]1[15C]2[18O][15N]12,O1C2ON12,0.33041772495247956,0.8140595125454819
1120,6905,[13C].[14C].[16C]1[17C][15N]2[18O][15C]2[17O]1,[16C]1[17C][15N]2[18O][15C]2[17O]1,C1CN2OC2O1,0.49503605306442,0.7084967934845234
1140,6962,[13C].[14C].[16C]=[17C]1[18O][15C]2[17O][15N]21,[16C]=[17C]1[18O][15C]2[17O][15N]21,C=C1OC2ON21,0.25397428013045403,0.8343355020967803
1160,7362,[13C].[14C].[15C]=[15N][17C].[16C].[17O].[18O],[15C]=[15N][17C],C=NC,0.16075671866514327,0.8989185285041794
1180,7443,[13C].[14C].[15C]=[15N][17C][17O][16C][18O],[15C]=[15N][17C][17O][16C][18O],C=NCOCO,0.4091356124326088,0.7491722030419071
1200,7548,[13C].[14C].[15C]=[15N][17C]1([16C])[17O][18O]1,[15C]=[15N][17C]1([16C])[17O][18O]1,C=NC1(C)OO1,0.43751910513139486,0.754446100086844
1220,7646,[13C].[14C].[15C]=[15N][16C][17C]([17O])=[18O],[15C]=[15N][16C][17C]([17O])=[18O],C=NCC(O)=O,0.252099608076802,0.8020839934352506
1240,7898,[13C].[14C].[16C][17O][17C]1[15N]=[15C][18O]1,[16C][17O][17C]1[15N]=[15C][18O]1,COC1N=CO1,0.18616007300072973,0.9185200191384647
1260,7995,[13C].[14C].[17O]=[17C][16C][15N]=[15C][18O],[17O]=[17C][16C][15N]=[15C][18O],O=CCN=CO,0.12118447383688953,0.9159529647421703
1280,8230,[13C].[14C].[15N]=[15C][17O][16C][18O].[17C],[15N]=[15C][17O][16C][18O],N=COCO,0.33959095476815404,0.7486127901345417
1300,8271,[13C].[14C].[16C][17C]([18O])[17O][15C]=[15N],[16C][17C]([18O])[17O][15C]=[15N],CC(O)OC=N,0.3034962559018138,0.8484484965217687
1320,8315,[13C].[14C].[17C][16C][15N]=[15C][17O].[18O],[17C][16C][15N]=[15C][17O],CCN=CO,0.09451665457887433,0.9443047808895053
1340,8954,[13C].[14C].[15C][17C]([17O])[18O][15N].[16C],[15C][17C]([17O])[18O][15N],CC(O)ON,0.37169164596508314,0.7620110534468745
1360,8997,[13C].[14C].[15C][17C]([15N])=[17O].[16C].[18O],[15C][17C]([15N])=[17O],CC(N)=O,0.4756047557735825,0.5747132751099443
1380,9065,[13C].[14C].[15C][17C](=[15N])[18O][16C].[17O],[15C][17C](=[15N])[18O][16C],CC(=N)OC,0.3001926032307695,0.7607697693764707
1400,9161,[13C].[14C].[15C][17C]1[15N][18O][16C][17O]1,[15C][17C]1[15N][18O][16C][17O]1,CC1NOCO1,0.5047585303438457,0.7915653319727669
1420,9269,[13C].[14C].[15C][17C]([15N][16C])[17O][18O],[15C][17C]([15N][16C])[17O][18O],CC(NC)OO,0.28294988238860946,0.8175270376844658
1440,9317,[13C].[14C].[15C][17C]1([17O])[15N][16C][18O]1,[15C][17C]1([17O])[15N][16C][18O]1,CC1(O)NCO1,0.5559988876024203,0.860365957328067
1460,9378,[13C].[14C].[15C][17C]1=[15N][16C][17O]1.[18O],[15C][17C]1=[15N][16C][17O]1,CC1=NCO1,0.22595366456906193,0.823041971644147
1480,9624,[13C].[14C].[15C][17C]([16C])[15N]([17O])[18O],[15C][17C]([16C])[15N]([17O])[18O],CC(C)N(O)O,0.5025646383926561,0.8463715765034092
1500,9674,[13C].[14C].[15C][17C]([16C][18O])[15N]=[17O],[15C][17C]([16C][18O])[15N]=[17O],CC(CO)N=O,0.39246711867976447,0.8091748994428879
1520,9736,[13C].[14C].[15C][17C](=[15N])[16C][17O].[18O],[15C][17C](=[15N])[16C][17O],CC(=N)CO,0.3934083739407165,0.7693387769357074
1540,9827,[13C].[14C].[15C][17C](=[17O])[16C][15N][18O],[15C][17C](=[17O])[16C][15N][18O],CC(=O)CNO,0.1766695107840812,0.85410374728984
1560,10293,[13C].[14C].[16C].[17C][15C][18O][15N]=[17O],[17C][15C][18O][15N]=[17O],CCON=O,0.14103727979665914,0.8965128111637856
1580,10428,[13C].[14C].[16C][15N][18O][15C][17C]=[17O],[16C][15N][18O][15C][17C]=[17O],CNOCC=O,0.0602881561916815,0.9658066650283615
1600,10515,[13C].[14C].[16C]=[15N][17O][17C][15C][18O],[16C]=[15N][17O][17C][15C][18O],C=NOCCO,0.16316370729470603,0.993734226847506
1620,10612,[13C].[14C].[16C][17C](=[15N])[15C][18O][17O],[16C][17C](=[15N])[15C][18O][17O],CC(=N)COO,0.2177901191246235,0.8533226325869436
