,rmat_tag,distance,largest_frag,largest_cleaned,pmi_x,pmi_y
39540,13479,12.0,C[15C]1([15N]=[17O])[17C][16C@@H](c2ccc(N3Cc4ccccc4C3=O)cc2)[18O]1,CC1(N=O)C[C@@H](c2ccc(N3Cc4ccccc4C3=O)cc2)O1,0.07052092509643482,0.9723079820611011
39560,1598583,12.0,C[15C][14C@H]([13C][15N]([17C])[16C@H]([17O][18O])c1ccc(N2Cc3ccccc3C2=O)cc1)c1ccccc1,CC[C@H](CN(C)[C@H](OO)c1ccc(N2Cc3ccccc3C2=O)cc1)c1ccccc1,0.10404027908734301,0.9767743595270444
39580,13098,12.0,C[15C]([17C]=[16CH]c1ccc(N2Cc3ccccc3C2=O)cc1)[15N]1[17O][18O]1,CC(C=Cc1ccc(N2Cc3ccccc3C2=O)cc1)N1OO1,0.07457237196596873,0.9547715888131876
39600,14657,12.0,C[15C]1=[15N][18O][16C@H](c2ccc(N3Cc4ccccc4C3=O)cc2)[17O][17C]1,CC1=NO[C@H](c2ccc(N3Cc4ccccc4C3=O)cc2)OC1,0.06196433477815037,0.974014368597997
39620,132416,12.0,C[15C]1([17C])[17O][14C@@H](c2ccccc2)[15N][16C@@H](c2ccc(N3Cc4ccccc4C3=O)cc2)[18O]1,CC1(C)O[C@@H](c2ccccc2)N[C@@H](c2ccc(N3Cc4ccccc4C3=O)cc2)O1,0.12796985877928344,0.9262428355232655
39640,222161,12.0,C[15C]([18O])=[15N][17C]([16CH]c1ccc(N2Cc3ccccc3C2=O)cc1)[14C@H]([17O])c1ccccc1,CC(O)=NC(Cc1ccc(N2Cc3ccccc3C2=O)cc1)[C@H](O)c1ccccc1,0.14502258053044867,0.9738165300916395
39660,222121,12.0,C[15C]1=[15N][17O][14C@H](c2ccccc2)[17C][18O]1,CC1=NO[C@H](c2ccccc2)CO1,0.14011910652001736,0.879542336088959
39680,777525,12.0,C[15C]1([18O][17C]=[15N])[17O][14C@@H]1c1ccccc1,CC1(OC=N)O[C@@H]1c1ccccc1,0.16320357759100945,0.9466570102420583
39700,777701,12.0,C[15C]([15N])[14C@H]([17O][18O][16CH]c1ccc(N2Cc3ccccc3C2=O)cc1)c1ccccc1,CC(N)[C@H](OOCc1ccc(N2Cc3ccccc3C2=O)cc1)c1ccccc1,0.12696908991591646,0.9375084156369969
39720,778281,12.0,C[15C]1([18O][16C@@H]([17C])c2ccc(N3Cc4ccccc4C3=O)cc2)[15N][17O][14C@@H]1c1ccccc1,CC1(O[C@@H](C)c2ccc(N3Cc4ccccc4C3=O)cc2)NO[C@@H]1c1ccccc1,0.12868531023801497,0.9817469564143495
39740,221952,12.0,C[15C]=[15N][18O][17C][14C@H]([17O][16CH]c1ccc(N2Cc3ccccc3C2=O)cc1)c1ccccc1,CC=NOC[C@H](OCc1ccc(N2Cc3ccccc3C2=O)cc1)c1ccccc1,0.14618417495549374,0.9850357748027818
39760,777947,12.0,C[15C]([14C@H]([17O][18O])c1ccccc1)[15N]1[17C][16C@H]1c1ccc(N2Cc3ccccc3C2=O)cc1,CC([C@H](OO)c1ccccc1)N1C[C@H]1c1ccc(N2Cc3ccccc3C2=O)cc1,0.05595781459618468,0.9715942116609427
39780,778228,12.0,C[15C]1([14C@H]([17O][17C])c2ccccc2)[18O][15N]1[16CH]c1ccc(N2Cc3ccccc3C2=O)cc1,CC1([C@H](OC)c2ccccc2)ON1Cc1ccc(N2Cc3ccccc3C2=O)cc1,0.11530319284247262,0.9641699388665202
39800,222587,12.0,C[15C][17C]1([18O])[14C@@H](c2ccccc2)[17O][15N]1[16CH]c1ccc(N2Cc3ccccc3C2=O)cc1,CCC1(O)[C@@H](c2ccccc2)ON1Cc1ccc(N2Cc3ccccc3C2=O)cc1,0.07710670875794609,0.977994087693391
39820,420004,12.0,[17C][15N]1[17O][14C@H](c2ccccc2)[16C@H]1c1ccc(N2Cc3ccccc3C2=O)cc1,CN1O[C@H](c2ccccc2)[C@H]1c1ccc(N2Cc3ccccc3C2=O)cc1,0.1235269903441262,0.901014695371211
39840,305073,12.0,C[15C]([17O][15N][17C]=[14CH]c1ccccc1)[16C@H]([18O])c1ccc(N2Cc3ccccc3C2=O)cc1,CC(ONC=Cc1ccccc1)[C@H](O)c1ccc(N2Cc3ccccc3C2=O)cc1,0.05789937479555904,0.9657829939243132
39860,419983,12.0,O=C1c2ccccc2CN1c1ccc([16C@H]2[15N][18O][17O][14C@@H]2c2ccccc2)cc1,O=C1c2ccccc2CN1c1ccc([C@H]2NOO[C@@H]2c2ccccc2)cc1,0.12726889441522196,0.9154929966197782
39880,222290,12.0,C[15C]1=[15N][17C]2([18O][16C@@H]2c2ccc(N3Cc4ccccc4C3=O)cc2)[14C@@H](c2ccccc2)[17O]1,CC1=NC2(O[C@@H]2c2ccc(N3Cc4ccccc4C3=O)cc2)[C@@H](c2ccccc2)O1,0.11682599378846525,0.9587850105357392
39900,778570,12.0,C[15C]1([15N]=[17C]2[18O][16C@@H]2c2ccc(N3Cc4ccccc4C3=O)cc2)[17O][14C@@H]1c1ccccc1,CC1(N=C2O[C@@H]2c2ccc(N3Cc4ccccc4C3=O)cc2)O[C@@H]1c1ccccc1,0.07500036215075866,0.9934249979164834
39920,776843,12.0,C[15C]([18O][16CH]c1ccc(N2Cc3ccccc3C2=O)cc1)[14C@H]([17O][17C]=[15N])c1ccccc1,CC(OCc1ccc(N2Cc3ccccc3C2=O)cc1)[C@H](OC=N)c1ccccc1,0.21374919598280814,0.8899662425411522
39940,778575,12.0,C[15C]1([15N]([18O])[16C@@H]([17C])c2ccc(N3Cc4ccccc4C3=O)cc2)[17O][14C@@H]1c1ccccc1,CC1(N(O)[C@@H](C)c2ccc(N3Cc4ccccc4C3=O)cc2)O[C@@H]1c1ccccc1,0.16929516163686445,0.8906423519536782
39960,410407,12.0,C[15C]([15N])=[17C][17O][18O][14C@@H]([16CH]c1ccc(N2Cc3ccccc3C2=O)cc1)c1ccccc1,CC(N)=COO[C@@H](Cc1ccc(N2Cc3ccccc3C2=O)cc1)c1ccccc1,0.12001637072053692,0.956376193079705
39980,779972,12.0,C[15C]1([14C@H]([17O][16C@@H]([15N])c2ccc(N3Cc4ccccc4C3=O)cc2)c2ccccc2)[17C][18O]1,CC1([C@H](O[C@@H](N)c2ccc(N3Cc4ccccc4C3=O)cc2)c2ccccc2)CO1,0.11133596136000716,0.949302957236686
40000,780020,12.0,C[15C]1([17C][16CH]c2ccc(N3Cc4ccccc4C3=O)cc2)[18O][15N][17O][14C@@H]1c1ccccc1,CC1(CCc2ccc(N3Cc4ccccc4C3=O)cc2)ONO[C@@H]1c1ccccc1,0.0667741894119817,0.9663740713100958
40020,780567,12.0,C[15C]1([14C@H]([17O])c2ccccc2)[17C][15N]1,CC1([C@H](O)c2ccccc2)CN1,0.3161085585170537,0.9303791359836813
40040,221716,12.0,C[15C]1[15N][17C][14C@@H](c2ccccc2)[17O]1,CC1NC[C@@H](c2ccccc2)O1,0.17835330955934456,0.8816018313900577
40060,306261,12.0,C[15C]1([16CH]c2ccc(N3Cc4ccccc4C3=O)cc2)[18O][15N]1[17C]=[14CH]c1ccccc1,CC1(Cc2ccc(N3Cc4ccccc4C3=O)cc2)ON1C=Cc1ccccc1,0.14921434112369247,0.9114465375747378
40080,780650,12.0,C[15C]1([17C][18O])[14C@@H](c2ccccc2)[17O][15N]1[16CH]c1ccc(N2Cc3ccccc3C2=O)cc1,CC1(CO)[C@@H](c2ccccc2)ON1Cc1ccc(N2Cc3ccccc3C2=O)cc1,0.12716088770239414,0.9110324767840038
40100,413589,12.0,C[15C]1([17C]=[15N])[18O][14C@H](c2ccccc2)[16C@@H]1c1ccc(N2Cc3ccccc3C2=O)cc1,CC1(C=N)O[C@H](c2ccccc2)[C@@H]1c1ccc(N2Cc3ccccc3C2=O)cc1,0.1722371129859618,0.8797132740101697
40120,779396,12.0,C[15C]([14C@H]([17O])c1ccccc1)[17C]1[18O][15N]1[16CH]c1ccc(N2Cc3ccccc3C2=O)cc1,CC([C@H](O)c1ccccc1)C1ON1Cc1ccc(N2Cc3ccccc3C2=O)cc1,0.05027292898650124,0.9819431421453637
40140,778780,12.0,C[15C](=[15N][16CH]c1ccc(N2Cc3ccccc3C2=O)cc1)[14C@H]([17O][18O][17C])c1ccccc1,CC(=NCc1ccc(N2Cc3ccccc3C2=O)cc1)[C@H](OOC)c1ccccc1,0.07675484445411399,0.9652792538729349
