rmat_tag,pdt_smiles
1600026,C[15C]([17O])[14C@H]([13C][15N])c1ccccc1.[16CH]c1ccc(N2Cc3ccccc3C2=O)cc1.[17C].[18O]
1600027,C[15C]([17O][18O])[14C@H]([13C][15N])c1ccccc1.[16CH]c1ccc(N2Cc3ccccc3C2=O)cc1.[17C]
1600028,C[15C]([17O])[14C@H]([13C][15N][18O])c1ccccc1.[16CH]c1ccc(N2Cc3ccccc3C2=O)cc1.[17C]
1600029,C[15C]1[17O][18O][15N][13C][14C@@H]1c1ccccc1.[16CH]c1ccc(N2Cc3ccccc3C2=O)cc1.[17C]
1600030,C[15C]([17O])[14C@H]([13C][15N]=[18O])c1ccccc1.[16CH]c1ccc(N2Cc3ccccc3C2=O)cc1.[17C]
1600031,C[15C]1[17O][15N][13C][14C@@H]1c1ccccc1.[16CH]c1ccc(N2Cc3ccccc3C2=O)cc1.[17C].[18O]
1600032,C[15C]1[17O][15N]([18O])[13C][14C@@H]1c1ccccc1.[16CH]c1ccc(N2Cc3ccccc3C2=O)cc1.[17C]
1600033,C[15C]([17O])[14C@H]([13C][15N])c1ccccc1.[16CH]c1ccc(N2Cc3ccccc3C2=O)cc1.[17C][18O]
1600034,C[15C]([17O][18O][17C])[14C@H]([13C][15N])c1ccccc1.[16CH]c1ccc(N2Cc3ccccc3C2=O)cc1
1600035,C[15C]([17O])[14C@H]([13C][15N][18O][17C])c1ccccc1.[16CH]c1ccc(N2Cc3ccccc3C2=O)cc1
1600036,C[15C]1[17O][15N][13C][14C@@H]1c1ccccc1.[16CH]c1ccc(N2Cc3ccccc3C2=O)cc1.[17C][18O]
1600037,C[15C]1[17O][15N]([18O][17C])[13C][14C@@H]1c1ccccc1.[16CH]c1ccc(N2Cc3ccccc3C2=O)cc1
1600038,C[15C]([17O])[14C@H]([13C][15N])c1ccccc1.[16CH]c1ccc(N2Cc3ccccc3C2=O)cc1.[17C]=[18O]
1600039,C[15C]1[17O][15N][13C][14C@@H]1c1ccccc1.[16CH]c1ccc(N2Cc3ccccc3C2=O)cc1.[17C]=[18O]
1600040,C[15C]([17O][17C])[14C@H]([13C][15N])c1ccccc1.[16CH]c1ccc(N2Cc3ccccc3C2=O)cc1.[18O]
1600041,C[15C]([17O][17C])[14C@H]([13C][15N][18O])c1ccccc1.[16CH]c1ccc(N2Cc3ccccc3C2=O)cc1
