smiles,ac2_am2,ac2_am3,ac3_am2,ac3_am3
C.CCn1occ1O,11.0,10.0,10.0,9.0
C.CCNC1=CO1.O,10.0,9.0,9.0,8.0
C.CCN(O)C1=CO1,11.0,10.0,10.0,9.0
C.CCN=C=CO.O,12.0,11.0,11.0,10.0
C.CCN=C=COO,13.0,12.0,12.0,11.0
C.C=C(O)O.CCN,11.0,10.0,10.0,9.0
C.C=C1OO1.CCN,12.0,11.0,11.0,10.0
C.C=C(O)ONCC,12.0,11.0,11.0,10.0
C.C=C(O)ONCC,12.0,11.0,11.0,10.0
C.C=C1ON(CC)O1,13.0,12.0,12.0,11.0
C.CCN.OC1=CO1,10.0,9.0,9.0,8.0
C.CCNOC1=CO1,11.0,10.0,10.0,9.0
C.CCN.OC1=CO1,10.0,9.0,9.0,8.0
C.CCNOC1=CO1,11.0,10.0,10.0,9.0
C.CCN.o1c2oc1=2,9.0,8.0,8.0,7.0
C.CCNC=C(O)O,12.0,11.0,11.0,10.0
C.CCNC=C1OO1,13.0,12.0,12.0,11.0
C.CCn1cc(O)o1,13.0,12.0,12.0,11.0
C.CCn1cc(O)o1,13.0,12.0,12.0,11.0
C.CCNC1=C(O)O1,11.0,10.0,10.0,9.0
C.CCn1oc2c1O2,12.0,11.0,11.0,10.0
C.CCNC1=C(O)O1,11.0,10.0,10.0,9.0
C.CCn1oc2c1O2,12.0,11.0,11.0,10.0
C.CCN=C=C(O)O,13.0,12.0,12.0,11.0
C.CCN=C=C1OO1,14.0,13.0,13.0,12.0
C.C=C=O.CCN.O,11.0,10.0,10.0,9.0
C.C=C=O.CCNO,12.0,11.0,11.0,10.0
C.C=C=O.CCN=O,13.0,12.0,12.0,11.0
C.CCN.O=C=CO,10.0,9.0,9.0,8.0
C.CCNOC=C=O,11.0,10.0,10.0,9.0
C.CCN.O=C=C=O,11.0,10.0,10.0,9.0
C.CCNC=C=O.O,12.0,11.0,11.0,10.0
C.CCN(O)C=C=O,13.0,12.0,12.0,11.0
C.CCNC(O)=C=O,11.0,10.0,10.0,9.0
C.CCN1OC1=C=O,12.0,11.0,11.0,10.0
C.CCN=C=C=O.O,13.0,12.0,12.0,11.0
C.C=CNCC.O.O,10.0,9.0,9.0,8.0
C.C=CNCC.OO,11.0,10.0,10.0,9.0
C.C=CNCC.O=O,12.0,11.0,11.0,10.0
C.C=CN(O)CC.O,11.0,10.0,10.0,9.0
C.C=CN(CC)OO,12.0,11.0,11.0,10.0
C.C=CN(O)CC.O,11.0,10.0,10.0,9.0
C.C=CN(CC)OO,12.0,11.0,11.0,10.0
C.CCNC=CO.O,9.0,8.0,8.0,7.0
C.CCNC=COO,10.0,9.0,9.0,8.0
C.CCn1cco1.O,10.0,9.0,9.0,8.0
C.CCN(O)C=CO,10.0,9.0,9.0,8.0
C.CCN1C=COO1,11.0,10.0,10.0,9.0
C.CCNC=C=O.O,10.0,9.0,9.0,8.0
C.CCN(O)C=C=O,11.0,10.0,10.0,9.0
C.CCNC=CO.O,9.0,8.0,8.0,7.0
C.CCNC=COO,10.0,9.0,9.0,8.0
C.CCN(O)C=CO,10.0,9.0,9.0,8.0
C.CCN1C=COO1,11.0,10.0,10.0,9.0
C.CCn1cco1.O,10.0,9.0,9.0,8.0
C.CCNC=C(O)O,8.0,7.0,7.0,6.0
C.CCNC=C1OO1,9.0,8.0,8.0,7.0
C.CCn1cc(O)o1,9.0,8.0,8.0,7.0
C.CCn1cc(O)o1,9.0,8.0,8.0,7.0
C.CCNC=C=O.O,8.0,7.0,7.0,6.0
C.CCN(O)C=C=O,9.0,8.0,8.0,7.0
C.CCN1C=C1.O.O,11.0,10.0,10.0,9.0
C.CCN1C=C1.OO,12.0,11.0,11.0,10.0
C.CCN1C=C1.O=O,13.0,12.0,12.0,11.0
C.CCN1C=C1O.O,10.0,9.0,9.0,8.0
C.CCN1C=C1OO,11.0,10.0,10.0,9.0
C.CCN1C=C1O.O,10.0,9.0,9.0,8.0
C.CCN1C=C1OO,11.0,10.0,10.0,9.0
C.C=C(O)NCC.O,11.0,10.0,10.0,9.0
C.C=C(NCC)OO,12.0,11.0,11.0,10.0
C.C=C1ON1CC.O,12.0,11.0,11.0,10.0
C.C=C(O)N(O)CC,12.0,11.0,11.0,10.0
C.C=C1OON1CC,13.0,12.0,12.0,11.0
C.CCNC1=CO1.O,10.0,9.0,9.0,8.0
C.CCN(O)C1=CO1,11.0,10.0,10.0,9.0
C.CCNC(O)=CO,10.0,9.0,9.0,8.0
C.CCNc1coo1,11.0,10.0,10.0,9.0
C.CCN1OC1=CO,11.0,10.0,10.0,9.0
C.CCn1occ1O,11.0,10.0,10.0,9.0
C.CCNC1=C(O)O1,9.0,8.0,8.0,7.0
C.CCn1oc2c1O2,10.0,9.0,9.0,8.0
C.CCNC(O)=C=O,9.0,8.0,8.0,7.0
C.CCN1OC1=C=O,10.0,9.0,9.0,8.0
C.CCN1C=C1O.O,12.0,11.0,11.0,10.0
C.CCN1C=C1OO,13.0,12.0,12.0,11.0
C.CCn1c2oc1=2.O,11.0,10.0,10.0,9.0
C.CCN1C(O)=C1O,11.0,10.0,10.0,9.0
C.CCN1c2ooc21,12.0,11.0,11.0,10.0
C.C=C(O)NCC.O,11.0,10.0,10.0,9.0
C.C=C(NCC)OO,12.0,11.0,11.0,10.0
C.C=C(O)N(O)CC,12.0,11.0,11.0,10.0
C.C=C1OON1CC,13.0,12.0,12.0,11.0
C.C=C1ON1CC.O,12.0,11.0,11.0,10.0
C.CCNC(O)=CO,10.0,9.0,9.0,8.0
C.CCNc1coo1,11.0,10.0,10.0,9.0
C.CCn1occ1O,11.0,10.0,10.0,9.0
C.CCN1OC1=CO,11.0,10.0,10.0,9.0
C.CCNC(O)=C=O,11.0,10.0,10.0,9.0
C.CCN1OC1=C=O,12.0,11.0,11.0,10.0
C.CCNC1=CO1.O,10.0,9.0,9.0,8.0
C.CCN(O)C1=CO1,11.0,10.0,10.0,9.0
C.CCNC1=C(O)O1,9.0,8.0,8.0,7.0
C.CCn1oc2c1O2,10.0,9.0,9.0,8.0
C.CCN1C=C1O.O,12.0,11.0,11.0,10.0
C.CCN1C=C1OO,13.0,12.0,12.0,11.0
C.CCN1C(O)=C1O,11.0,10.0,10.0,9.0
C.CCN1c2ooc21,12.0,11.0,11.0,10.0
C.CCn1c2oc1=2.O,11.0,10.0,10.0,9.0
C.C=C=NCC.O.O,11.0,10.0,10.0,9.0
C.C=C=NCC.OO,12.0,11.0,11.0,10.0
C.C=C=NCC.O=O,13.0,12.0,12.0,11.0
C.CCN=C=CO.O,10.0,9.0,9.0,8.0
C.CCN=C=COO,11.0,10.0,10.0,9.0
C.CCN=C=C=O.O,11.0,10.0,10.0,9.0
C.CCN=C=CO.O,10.0,9.0,9.0,8.0
C.CCN=C=COO,11.0,10.0,10.0,9.0
C.CCN=C=C(O)O,9.0,8.0,8.0,7.0
C.CCN=C=C1OO1,10.0,9.0,9.0,8.0
C.CCN=C=C=O.O,9.0,8.0,8.0,7.0
C.C#C.CCN.O.O,10.0,9.0,9.0,8.0
C.C#C.CCN.OO,11.0,10.0,10.0,9.0
C.C#C.CCN.O=O,12.0,11.0,11.0,10.0
C.C#C.CCNO.O,11.0,10.0,10.0,9.0
C.C#C.CCNOO,12.0,11.0,11.0,10.0
C.C#C.CCN=O.O,12.0,11.0,11.0,10.0
C.C#C.CCNO.O,11.0,10.0,10.0,9.0
C.C#C.CCNOO,12.0,11.0,11.0,10.0
C.C#C.CCN(O)O,12.0,11.0,11.0,10.0
C.C#C.CCn1oo1,13.0,12.0,12.0,11.0
C.C#C.CCN=O.O,12.0,11.0,11.0,10.0
C.C#CO.CCN.O,9.0,8.0,8.0,7.0
C.C#COO.CCN,10.0,9.0,9.0,8.0
