smiles,ac2_am2,ac2_am3,ac3_am2,ac3_am3
C.C=CCOC1NO1,15.0,14.0,14.0,13.0
C.C=C1COC(N)O1,13.0,12.0,12.0,11.0
C.C=C1COC(O)N1,15.0,14.0,14.0,13.0
C.C=C1COC2ON12,16.0,15.0,15.0,14.0
C.C=CCOC(N)O,14.0,13.0,13.0,12.0
C.C=CCOC1NO1,15.0,14.0,14.0,13.0
C.C=C1COC(N)O1,13.0,12.0,12.0,11.0
C.C=C1COC(O)N1,15.0,14.0,14.0,13.0
C.C=C1COC2ON12,16.0,15.0,15.0,14.0
C.C=CC1OC(N)O1,15.0,14.0,14.0,13.0
C.C=C1NC2OC1O2,16.0,15.0,15.0,14.0
C.C=CCNC(O)O,14.0,13.0,13.0,12.0
C.C=CCNC1OO1,15.0,14.0,14.0,13.0
C.C=CCN1OC1O,15.0,14.0,14.0,13.0
C.C=CCN1OC1O,15.0,14.0,14.0,13.0
C.C=C1CNC(O)O1,13.0,12.0,12.0,11.0
C.C=C1CN2OC2O1,14.0,13.0,13.0,12.0
C.C=C1CNC(O)O1,13.0,12.0,12.0,11.0
C.C=C1CN2OC2O1,14.0,13.0,13.0,12.0
C.C=C1CN1C(O)O,15.0,14.0,14.0,13.0
C.C=C1CN1C1OO1,16.0,15.0,15.0,14.0
C.C=CC1NC(O)O1,15.0,14.0,14.0,13.0
C.C=CC1OC2ON12,16.0,15.0,15.0,14.0
C.C=C1OC2NC1O2,14.0,13.0,13.0,12.0
C.C=C1C2OC(O)N12,16.0,15.0,15.0,14.0
C.C=CC1NC(O)O1,15.0,14.0,14.0,13.0
C.C=CC1OC2ON12,16.0,15.0,15.0,14.0
C.C=C1OC2NC1O2,14.0,13.0,13.0,12.0
C.C=C1C2OC(O)N12,16.0,15.0,15.0,14.0
C.C=CC12NC(O1)O2,16.0,15.0,15.0,14.0
C.C=C1N2C3OC12O3,17.0,16.0,16.0,15.0
C.C=CC=NC(O)O,15.0,14.0,14.0,13.0
C.C=CC=NC1OO1,16.0,15.0,15.0,14.0
C.C=C1C=NC(O)O1,14.0,13.0,13.0,12.0
C.C=C1C=NC(O)O1,14.0,13.0,13.0,12.0
C.C=CC1=NC(O)O1,16.0,15.0,15.0,14.0
C.C=C1OC2N=C1O2,15.0,14.0,14.0,13.0
C.C=CC1=NC(O)O1,16.0,15.0,15.0,14.0
C.C=C1OC2N=C1O2,15.0,14.0,14.0,13.0
C.C=C=C.NC(O)O,14.0,13.0,13.0,12.0
C.C=C=C.NC1OO1,15.0,14.0,14.0,13.0
C.C=C=C.OC1NO1,15.0,14.0,14.0,13.0
C.C=C=C.OC1NO1,15.0,14.0,14.0,13.0
C.C=C=C.O1C2ON12,16.0,15.0,15.0,14.0
C.C=C=COC(N)O,15.0,14.0,14.0,13.0
C.C=C=COC1NO1,16.0,15.0,15.0,14.0
C.C=C=COC(N)O,15.0,14.0,14.0,13.0
C.C=C=COC1NO1,16.0,15.0,15.0,14.0
C.C=C=C1OC(N)O1,16.0,15.0,15.0,14.0
C.C=C=CNC(O)O,15.0,14.0,14.0,13.0
C.C=C=CNC1OO1,16.0,15.0,15.0,14.0
C.C=C=CN1OC1O,16.0,15.0,15.0,14.0
C.C=C=CN1OC1O,16.0,15.0,15.0,14.0
C.C=C=C1NC(O)O1,16.0,15.0,15.0,14.0
C.C=C=C1OC2ON12,17.0,16.0,16.0,15.0
C.C=C=C1NC(O)O1,16.0,15.0,15.0,14.0
C.C=C=C1OC2ON12,17.0,16.0,16.0,15.0
C.C=C=C=NC(O)O,16.0,15.0,15.0,14.0
C.C=C=C=NC1OO1,17.0,16.0,16.0,15.0
C.C.C=C.NC(=O)O,15.0,14.0,14.0,13.0
C.C.C=C.O=C1NO1,16.0,15.0,15.0,14.0
C.C.C=COC(N)=O,14.0,13.0,13.0,12.0
C.C.C=CNC(=O)O,16.0,15.0,15.0,14.0
C.C.C=CN1OC1=O,17.0,16.0,16.0,15.0
C.C.C=C1NC(=O)O1,15.0,14.0,14.0,13.0
C.C.C=C=NC(=O)O,17.0,16.0,16.0,15.0
C.C=C.COC(N)=O,16.0,15.0,15.0,14.0
C.C=CNC(=O)OC,17.0,16.0,16.0,15.0
C.C=C=NC(=O)OC,18.0,17.0,17.0,16.0
C.C=C.CNC(=O)O,16.0,15.0,15.0,14.0
C.C=C.CN1OC1=O,17.0,16.0,16.0,15.0
C.C=COC(=O)NC,15.0,14.0,14.0,13.0
C.C=CN(C)C(=O)O,17.0,16.0,16.0,15.0
C.C=C1OC(=O)N1C,16.0,15.0,15.0,14.0
C.C=C.O=C1NCO1,17.0,16.0,16.0,15.0
C.C=CN1COC1=O,18.0,17.0,17.0,16.0
C.C=C.C=NC(=O)O,17.0,16.0,16.0,15.0
C.C=COC(=O)N=C,16.0,15.0,15.0,14.0
C.C=C.O=C1N=CO1,18.0,17.0,17.0,16.0
C.C=CC.NC(=O)O,14.0,13.0,13.0,12.0
C.C=CC.O=C1NO1,15.0,14.0,14.0,13.0
C.C=C(C)OC(N)=O,13.0,12.0,12.0,11.0
C.C=C(C)NC(=O)O,15.0,14.0,14.0,13.0
