smiles,ac2_am2,ac2_am3,ac3_am2,ac3_am3
C.CN.OOC1=CC1,12.0,11.0,11.0,10.0
C.CNO.OC1=CC1,12.0,11.0,11.0,10.0
C.CNOOC1=CC1,13.0,12.0,12.0,11.0
C.CN=O.OC1=CC1,13.0,12.0,12.0,11.0
C.CNOC1=CC1.O,12.0,11.0,11.0,10.0
C.CN(O)OC1=CC1,13.0,12.0,12.0,11.0
C.CNC1=CC1.O.O,13.0,12.0,12.0,11.0
C.CNC1=CC1.OO,14.0,13.0,13.0,12.0
C.CNC1=CC1.O=O,15.0,14.0,14.0,13.0
C.CN(O)C1=CC1.O,14.0,13.0,13.0,12.0
C.CN(OO)C1=CC1,15.0,14.0,14.0,13.0
C.CN(O)C1=CC1.O,14.0,13.0,13.0,12.0
C.CN(OO)C1=CC1,15.0,14.0,14.0,13.0
C.CN.O.OC1=CC1,13.0,12.0,12.0,11.0
C.CN.OOC1=CC1,14.0,13.0,13.0,12.0
C.CNOC1=CC1.O,14.0,13.0,13.0,12.0
C.CNO.OC1=CC1,14.0,13.0,13.0,12.0
C.CNOOC1=CC1,15.0,14.0,14.0,13.0
C.CN(O)OC1=CC1,15.0,14.0,14.0,13.0
C.CN=O.OC1=CC1,15.0,14.0,14.0,13.0
C.C1C2=C1O2.CN.O,12.0,11.0,11.0,10.0
C.C1C2=C1O2.CNO,13.0,12.0,12.0,11.0
C.C1C2=C1O2.CN=O,14.0,13.0,13.0,12.0
C.CN.OC1=C(O)C1,12.0,11.0,11.0,10.0
C.C1c2ooc21.CN,13.0,12.0,12.0,11.0
C.CNOC1=C(O)C1,13.0,12.0,12.0,11.0
C.CNOC1=C(O)C1,13.0,12.0,12.0,11.0
C.CN1OC2=C(C2)O1,14.0,13.0,13.0,12.0
C.CNC1=C(O)C1.O,14.0,13.0,13.0,12.0
C.CNC1=C(OO)C1,15.0,14.0,14.0,13.0
C.Cn1oc2c1C2.O,15.0,14.0,14.0,13.0
C.CN(O)C1=C(O)C1,15.0,14.0,14.0,13.0
C.CN1OOC2=C1C2,16.0,15.0,15.0,14.0
C.CN.O.OC1=CC1,13.0,12.0,12.0,11.0
C.CN.OOC1=CC1,14.0,13.0,13.0,12.0
C.CNO.OC1=CC1,14.0,13.0,13.0,12.0
C.CNOOC1=CC1,15.0,14.0,14.0,13.0
C.CN=O.OC1=CC1,15.0,14.0,14.0,13.0
C.CNOC1=CC1.O,14.0,13.0,13.0,12.0
C.CN(O)OC1=CC1,15.0,14.0,14.0,13.0
C.CN.OC1=C(O)C1,12.0,11.0,11.0,10.0
C.C1c2ooc21.CN,13.0,12.0,12.0,11.0
C.CNOC1=C(O)C1,13.0,12.0,12.0,11.0
C.CNOC1=C(O)C1,13.0,12.0,12.0,11.0
C.CN1OC2=C(C2)O1,14.0,13.0,13.0,12.0
C.C1C2=C1O2.CN.O,12.0,11.0,11.0,10.0
C.C1C2=C1O2.CNO,13.0,12.0,12.0,11.0
C.C1C2=C1O2.CN=O,14.0,13.0,13.0,12.0
C.CNC1=C(O)C1.O,14.0,13.0,13.0,12.0
C.CNC1=C(OO)C1,15.0,14.0,14.0,13.0
C.CN(O)C1=C(O)C1,15.0,14.0,14.0,13.0
C.CN1OOC2=C1C2,16.0,15.0,15.0,14.0
C.Cn1oc2c1C2.O,15.0,14.0,14.0,13.0
C.CNC1=CC1.O.O,13.0,12.0,12.0,11.0
C.CNC1=CC1.OO,14.0,13.0,13.0,12.0
C.CNC1=CC1.O=O,15.0,14.0,14.0,13.0
C.CN(O)C1=CC1.O,14.0,13.0,13.0,12.0
C.CN(OO)C1=CC1,15.0,14.0,14.0,13.0
C.CN(O)C1=CC1.O,14.0,13.0,13.0,12.0
C.CN(OO)C1=CC1,15.0,14.0,14.0,13.0
C.CNC1=C(O)C1.O,12.0,11.0,11.0,10.0
C.CNC1=C(OO)C1,13.0,12.0,12.0,11.0
C.Cn1oc2c1C2.O,13.0,12.0,12.0,11.0
C.CN(O)C1=C(O)C1,13.0,12.0,12.0,11.0
