smiles,ac2_am2,ac2_am3,ac3_am2,ac3_am3
C.C1NOC2COC12,17.0,16.0,16.0,15.0
C.NC1OC2COC12,15.0,14.0,14.0,13.0
C.N=CC1OCC1O,17.0,16.0,16.0,15.0
C.C1=NOC2COC12,18.0,17.0,17.0,16.0
C.N=C1OC2COC12,16.0,15.0,15.0,14.0
C.N#CC1OCC1O,18.0,17.0,17.0,16.0
C.CC(O)C1CO1.N,15.0,14.0,14.0,13.0
C.CC(ON)C1CO1,16.0,15.0,15.0,14.0
C.C1OC1C1CO1.N,14.0,13.0,13.0,12.0
C.NCC(O)C1CO1,16.0,15.0,15.0,14.0
C.C1OC1C1CNO1,17.0,16.0,16.0,15.0
C.NC1OC1C1CO1,15.0,14.0,14.0,13.0
C.N=CC(O)C1CO1,17.0,16.0,16.0,15.0
C.C1=NOC1C1CO1,18.0,17.0,17.0,16.0
C.N=C1OC1C1CO1,16.0,15.0,15.0,14.0
C.N#CC(O)C1CO1,18.0,17.0,17.0,16.0
C.CC1OC2OC12.N,16.0,15.0,15.0,14.0
C.NCC1OC2OC12,17.0,16.0,16.0,15.0
C.N=CC1OC2OC12,18.0,17.0,17.0,16.0
C.N#CC1OC2OC12,19.0,18.0,18.0,17.0
C.CC(O)C(O)CN,15.0,14.0,14.0,13.0
C.CC1OOC1CN,16.0,15.0,15.0,14.0
C.CC1ONCC1O,16.0,15.0,15.0,14.0
C.CC(O)C1CNO1,16.0,15.0,15.0,14.0
C.CC1ON2CC1O2,17.0,16.0,16.0,15.0
C.NCC(O)C1CO1,14.0,13.0,13.0,12.0
C.C1OC1C1CNO1,15.0,14.0,14.0,13.0
C.NCC1OCC1O,14.0,13.0,13.0,12.0
C.C1NOC2COC12,15.0,14.0,14.0,13.0
C.NCC1OC2OC12,13.0,12.0,12.0,11.0
C.OC1CNCC1O,16.0,15.0,15.0,14.0
C.C1NCC2OOC12,17.0,16.0,16.0,15.0
C.OC1CN2CC1O2,17.0,16.0,16.0,15.0
C.OC1CN2CC1O2,17.0,16.0,16.0,15.0
C.OC1CNC2OC12,15.0,14.0,14.0,13.0
C.C1C2ON1C1OC21,16.0,15.0,15.0,14.0
C.OC1C2CNC1O2,15.0,14.0,14.0,13.0
C.C1C2OC3C2ON13,16.0,15.0,15.0,14.0
