smiles,ac2_am2,ac2_am3,ac3_am2,ac3_am3
C.CN1C(O)C12CO2,11.0,10.0,10.0,9.0
C.CN1C2OC21CO,11.0,10.0,10.0,9.0
C.CNC1(O)CCO1,12.0,11.0,11.0,10.0
C.CN1OC12CCO2,13.0,12.0,12.0,11.0
C.CNC12OCC1O2,11.0,10.0,10.0,9.0
C.CN1C2COC21O,13.0,12.0,12.0,11.0
C.CN1C23COC12O3,12.0,11.0,11.0,10.0
C.CNC(=O)CCO,12.0,11.0,11.0,10.0
C.CN1OCCC1=O,13.0,12.0,12.0,11.0
C.CNC(=O)C1CO1,11.0,10.0,10.0,9.0
C.CN1C(=O)C1CO,13.0,12.0,12.0,11.0
C.CN1C(=O)C12CO2,12.0,11.0,11.0,10.0
C.CN=CCCO.O,11.0,10.0,10.0,9.0
C.CN=CCCOO,12.0,11.0,11.0,10.0
C.CN=CC1CO1.O,10.0,9.0,9.0,8.0
C.CN=CC(O)CO,10.0,9.0,9.0,8.0
C.CN=CC1COO1,11.0,10.0,10.0,9.0
C.CN=CC1(O)CO1,9.0,8.0,8.0,7.0
C.CN=CC(=O)CO,9.0,8.0,8.0,7.0
C.CN=C1CCO1.O,12.0,11.0,11.0,10.0
C.CN=C1OCC1O,11.0,10.0,10.0,9.0
C.CN=C1OCC1=O,10.0,9.0,9.0,8.0
C.CN=C(O)CCO,12.0,11.0,11.0,10.0
C.CN=C1CCOO1,13.0,12.0,12.0,11.0
C.CN=C(O)C1CO1,11.0,10.0,10.0,9.0
C.CN=C1OC1CO,11.0,10.0,10.0,9.0
C.CN=C1OC12CO2,10.0,9.0,9.0,8.0
C.C=CCO.CN.O,10.0,9.0,9.0,8.0
C.C=CCOO.CN,11.0,10.0,10.0,9.0
C.C=CCONC.O,11.0,10.0,10.0,9.0
C.C=CCO.CNO,11.0,10.0,10.0,9.0
C.C=CCOONC,12.0,11.0,11.0,10.0
C.C=CCON(C)O,12.0,11.0,11.0,10.0
C.C=CCO.CN=O,12.0,11.0,11.0,10.0
C.C=C1CO1.CN.O,9.0,8.0,8.0,7.0
C.C=C1CO1.CNO,10.0,9.0,9.0,8.0
C.C=C1CO1.CN=O,11.0,10.0,10.0,9.0
C.C=C(O)CO.CN,9.0,8.0,8.0,7.0
C.C=C1COO1.CN,10.0,9.0,9.0,8.0
C.C=C(O)CONC,10.0,9.0,9.0,8.0
C.C=C(CO)ONC,10.0,9.0,9.0,8.0
C.C=C1CON(C)O1,11.0,10.0,10.0,9.0
C.C=C(CO)NC.O,11.0,10.0,10.0,9.0
C.C=C(COO)NC,12.0,11.0,11.0,10.0
C.C=C1CON1C.O,12.0,11.0,11.0,10.0
C.C=C(CO)N(C)O,12.0,11.0,11.0,10.0
C.C=C1COON1C,13.0,12.0,12.0,11.0
C.C1=COC1.CN.O,11.0,10.0,10.0,9.0
C.C1=COC1.CNO,12.0,11.0,11.0,10.0
C.C1=COC1.CN=O,13.0,12.0,12.0,11.0
C.CN.OC1=COC1,10.0,9.0,9.0,8.0
C.CNOC1=COC1,11.0,10.0,10.0,9.0
C.CNC1=COC1.O,12.0,11.0,11.0,10.0
C.CN(O)C1=COC1,13.0,12.0,12.0,11.0
C.CN.OC=CCO,11.0,10.0,10.0,9.0
C.C1=COOC1.CN,12.0,11.0,11.0,10.0
C.CNOCC=CO,12.0,11.0,11.0,10.0
C.CNOC=CCO,12.0,11.0,11.0,10.0
