smiles,ac2_am2,ac2_am3,ac3_am2,ac3_am3
C.C1=CO1.CC#N.O,13.0,12.0,14.0,13.0
C.CC.N.OC1=CO1,11.0,10.0,12.0,11.0
C.CC.NOC1=CO1,12.0,11.0,13.0,12.0
C.CCOC1=CO1.N,10.0,9.0,11.0,10.0
C.CCN.OC1=CO1,12.0,11.0,13.0,12.0
C.CCNOC1=CO1,13.0,12.0,14.0,13.0
C.CC(N)OC1=CO1,11.0,10.0,12.0,11.0
C.CC=N.OC1=CO1,13.0,12.0,14.0,13.0
C.CC=NOC1=CO1,14.0,13.0,15.0,14.0
C.CC(=N)OC1=CO1,12.0,11.0,13.0,12.0
C.CC#N.OC1=CO1,14.0,13.0,15.0,14.0
C.CC.NC=CO.O,10.0,9.0,11.0,10.0
C.CC.NC=COO,11.0,10.0,12.0,11.0
C.CC.OC=CNO,11.0,10.0,12.0,11.0
C.C1=COON1.CC,12.0,11.0,13.0,12.0
C.CC.O=NC=CO,12.0,11.0,13.0,12.0
C.CC.O.c1co[nH]1,11.0,10.0,12.0,11.0
C.CC.On1cco1,12.0,11.0,13.0,12.0
C.CCO.NC=CO,9.0,8.0,10.0,9.0
C.CCOOC=CN,10.0,9.0,11.0,10.0
C.CCONC=CO,10.0,9.0,11.0,10.0
C.CCO.c1co[nH]1,10.0,9.0,11.0,10.0
C.CCOn1cco1,11.0,10.0,12.0,11.0
C.CC=O.NC=CO,10.0,9.0,11.0,10.0
C.CC=O.c1co[nH]1,11.0,10.0,12.0,11.0
C.CCOC=CN.O,9.0,8.0,10.0,9.0
C.CCOC=CNO,10.0,9.0,11.0,10.0
C.CCOC=CN=O,11.0,10.0,12.0,11.0
C.CC(O)OC=CN,8.0,7.0,9.0,8.0
C.CC1OC=CNO1,9.0,8.0,10.0,9.0
C.CC(=O)OC=CN,9.0,8.0,10.0,9.0
C.CCNC=CO.O,11.0,10.0,12.0,11.0
C.CCNC=COO,12.0,11.0,13.0,12.0
C.CCN(O)C=CO,12.0,11.0,13.0,12.0
C.CCN1C=COO1,13.0,12.0,14.0,13.0
C.CCn1cco1.O,12.0,11.0,13.0,12.0
C.CC(O)NC=CO,10.0,9.0,11.0,10.0
C.CC1NC=COO1,11.0,10.0,12.0,11.0
C.CC1ON1C=CO,11.0,10.0,12.0,11.0
C.CC(O)n1cco1,11.0,10.0,12.0,11.0
C.CC(=O)NC=CO,11.0,10.0,12.0,11.0
C.CC(=O)n1cco1,12.0,11.0,13.0,12.0
C.CC1NC=CO1.O,10.0,9.0,11.0,10.0
C.CC1OC=CN1O,11.0,10.0,12.0,11.0
C.CC1(O)NC=CO1,9.0,8.0,10.0,9.0
C.CC12OC=CN1O2,10.0,9.0,11.0,10.0
C.CC=NC=CO.O,12.0,11.0,13.0,12.0
C.CC=NC=COO,13.0,12.0,14.0,13.0
C.CC(O)=NC=CO,11.0,10.0,12.0,11.0
C.CC1=NC=COO1,12.0,11.0,13.0,12.0
C.Cc1ncco1.O,11.0,10.0,12.0,11.0
C.CC.NC(O)=CO,11.0,10.0,12.0,11.0
C.CC.Nc1coo1,12.0,11.0,13.0,12.0
C.CC.OC=C1NO1,12.0,11.0,13.0,12.0
C.CC.Oc1co[nH]1,12.0,11.0,13.0,12.0
C.CC.c1on2c1O2,13.0,12.0,14.0,13.0
C.CCOC(N)=CO,10.0,9.0,11.0,10.0
C.CCOc1co[nH]1,11.0,10.0,12.0,11.0
C.CCOC=C(N)O,10.0,9.0,11.0,10.0
C.CCOC=C1NO1,11.0,10.0,12.0,11.0
C.CC1OC=C(N)O1,9.0,8.0,10.0,9.0
C.CCNC(O)=CO,12.0,11.0,13.0,12.0
C.CCNc1coo1,13.0,12.0,14.0,13.0
C.CCN1OC1=CO,13.0,12.0,14.0,13.0
C.CCn1occ1O,13.0,12.0,14.0,13.0
C.CC1NC(=CO)O1,11.0,10.0,12.0,11.0
C.CC1Oc2con21,12.0,11.0,13.0,12.0
C.CC1NC(O)=CO1,11.0,10.0,12.0,11.0
C.CC1OC=C2ON21,12.0,11.0,13.0,12.0
C.CC12NC(=CO1)O2,10.0,9.0,11.0,10.0
