smiles,ac2_am2,ac2_am3,ac3_am2,ac3_am3
C.C.C.C.C.N.O.O,9.0,8.0,8.0,7.0
C.C.C.C.C.N.OO,10.0,9.0,9.0,8.0
C.C.C.C.C.N.O=O,11.0,10.0,10.0,9.0
C.C.C.C.C.NO.O,10.0,9.0,9.0,8.0
C.C.C.C.C.NOO,11.0,10.0,10.0,9.0
C.C.C.C.C.N=O.O,11.0,10.0,10.0,9.0
C.C.C.C.C.NO.O,10.0,9.0,9.0,8.0
C.C.C.C.C.NOO,11.0,10.0,10.0,9.0
C.C.C.C.C.ONO,11.0,10.0,10.0,9.0
C.C.C.C.C.[nH]1oo1,12.0,11.0,11.0,10.0
C.C.C.C.C.O=NO,12.0,11.0,11.0,10.0
C.C.C.C.C.N=O.O,11.0,10.0,10.0,9.0
C.C.C.C.C.O=NO,12.0,11.0,11.0,10.0
C.C.C.C.CO.N.O,8.0,7.0,7.0,6.0
C.C.C.C.COO.N,9.0,8.0,8.0,7.0
C.C.C.C.CON.O,9.0,8.0,8.0,7.0
C.C.C.C.CO.NO,9.0,8.0,8.0,7.0
C.C.C.C.COON,10.0,9.0,9.0,8.0
C.C.C.C.CONO,10.0,9.0,9.0,8.0
C.C.C.C.CO.N=O,10.0,9.0,9.0,8.0
C.C.C.C.CON=O,11.0,10.0,10.0,9.0
C.C.C.C.C=O.N.O,9.0,8.0,8.0,7.0
C.C.C.C.C=O.NO,10.0,9.0,9.0,8.0
C.C.C.C.C=O.N=O,11.0,10.0,10.0,9.0
C.C.C.C.CO.N.O,8.0,7.0,7.0,6.0
C.C.C.C.COO.N,9.0,8.0,8.0,7.0
C.C.C.C.CO.NO,9.0,8.0,8.0,7.0
C.C.C.C.COON,10.0,9.0,9.0,8.0
C.C.C.C.CO.N=O,10.0,9.0,9.0,8.0
C.C.C.C.CON.O,9.0,8.0,8.0,7.0
C.C.C.C.CONO,10.0,9.0,9.0,8.0
C.C.C.C.CON=O,11.0,10.0,10.0,9.0
C.C.C.C.N.OCO,7.0,6.0,6.0,5.0
C.C.C.C.C1OO1.N,8.0,7.0,7.0,6.0
C.C.C.C.NOCO,8.0,7.0,7.0,6.0
C.C.C.C.NOCO,8.0,7.0,7.0,6.0
C.C.C.C.C1ONO1,9.0,8.0,8.0,7.0
C.C.C.C.N.O=CO,8.0,7.0,7.0,6.0
C.C.C.C.NOC=O,9.0,8.0,8.0,7.0
C.C.C.C.C=O.N.O,7.0,6.0,6.0,5.0
C.C.C.C.C=O.NO,8.0,7.0,7.0,6.0
C.C.C.C.C=O.N=O,9.0,8.0,8.0,7.0
C.C.C.C.N.O=CO,6.0,5.0,5.0,4.0
C.C.C.C.NOC=O,7.0,6.0,6.0,5.0
C.C.C.C.N.O=C=O,7.0,6.0,6.0,5.0
C.C.C.C.CN.O.O,10.0,9.0,9.0,8.0
C.C.C.C.CN.OO,11.0,10.0,10.0,9.0
C.C.C.C.CN.O=O,12.0,11.0,11.0,10.0
C.C.C.C.CNO.O,11.0,10.0,10.0,9.0
C.C.C.C.CNOO,12.0,11.0,11.0,10.0
C.C.C.C.CN=O.O,12.0,11.0,11.0,10.0
C.C.C.C.CNO.O,11.0,10.0,10.0,9.0
C.C.C.C.CNOO,12.0,11.0,11.0,10.0
C.C.C.C.CN(O)O,12.0,11.0,11.0,10.0
C.C.C.C.Cn1oo1,13.0,12.0,12.0,11.0
C.C.C.C.CN=O.O,12.0,11.0,11.0,10.0
C.C.C.C.NCO.O,9.0,8.0,8.0,7.0
C.C.C.C.NCOO,10.0,9.0,9.0,8.0
C.C.C.C.C1NO1.O,10.0,9.0,9.0,8.0
C.C.C.C.OCNO,10.0,9.0,9.0,8.0
C.C.C.C.C1NOO1,11.0,10.0,10.0,9.0
C.C.C.C.ON1CO1,11.0,10.0,10.0,9.0
C.C.C.C.O=NCO,11.0,10.0,10.0,9.0
C.C.C.C.NC=O.O,10.0,9.0,9.0,8.0
C.C.C.C.O=CNO,11.0,10.0,10.0,9.0
C.C.C.C.O=CN=O,12.0,11.0,11.0,10.0
C.C.C.C.NCO.O,9.0,8.0,8.0,7.0
C.C.C.C.NCOO,10.0,9.0,9.0,8.0
C.C.C.C.OCNO,10.0,9.0,9.0,8.0
C.C.C.C.C1NOO1,11.0,10.0,10.0,9.0
C.C.C.C.O=NCO,11.0,10.0,10.0,9.0
C.C.C.C.C1NO1.O,10.0,9.0,9.0,8.0
C.C.C.C.ON1CO1,11.0,10.0,10.0,9.0
C.C.C.C.NC(O)O,8.0,7.0,7.0,6.0
C.C.C.C.NC1OO1,9.0,8.0,8.0,7.0
C.C.C.C.OC1NO1,9.0,8.0,8.0,7.0
C.C.C.C.OC1NO1,9.0,8.0,8.0,7.0
C.C.C.C.O1C2ON12,10.0,9.0,9.0,8.0
C.C.C.C.NC(=O)O,9.0,8.0,8.0,7.0
C.C.C.C.O=C1NO1,10.0,9.0,9.0,8.0
C.C.C.C.NC=O.O,8.0,7.0,7.0,6.0
C.C.C.C.O=CNO,9.0,8.0,8.0,7.0
C.C.C.C.O=CN=O,10.0,9.0,9.0,8.0
C.C.C.C.NC(=O)O,7.0,6.0,6.0,5.0
C.C.C.C.O=C1NO1,8.0,7.0,7.0,6.0
C.C.C.C.C=N.O.O,11.0,10.0,10.0,9.0
C.C.C.C.C=N.OO,12.0,11.0,11.0,10.0
C.C.C.C.C=N.O=O,13.0,12.0,12.0,11.0
C.C.C.C.C=NO.O,12.0,11.0,11.0,10.0
C.C.C.C.C=NOO,13.0,12.0,12.0,11.0
C.C.C.C.C=NO.O,12.0,11.0,11.0,10.0
C.C.C.C.C=NOO,13.0,12.0,12.0,11.0
C.C.C.C.N=CO.O,10.0,9.0,9.0,8.0
C.C.C.C.N=COO,11.0,10.0,10.0,9.0
C.C.C.C.C1=NO1.O,11.0,10.0,10.0,9.0
C.C.C.C.OC=NO,11.0,10.0,10.0,9.0
C.C.C.C.c1noo1,12.0,11.0,11.0,10.0
C.C.C.C.N=C=O.O,11.0,10.0,10.0,9.0
C.C.C.C.O=C=NO,12.0,11.0,11.0,10.0
C.C.C.C.N=CO.O,10.0,9.0,9.0,8.0
C.C.C.C.N=COO,11.0,10.0,10.0,9.0
C.C.C.C.OC=NO,11.0,10.0,10.0,9.0
C.C.C.C.c1noo1,12.0,11.0,11.0,10.0
