smiles,ac2_am2,ac2_am3,ac3_am2,ac3_am3
O=CCCN1C=C1O,13.0,12.0,12.0,11.0
C=C(O)NCCC=O,14.0,13.0,13.0,12.0
C=C1ON1CCC=O,15.0,14.0,14.0,13.0
O=CCCNC1=CO1,13.0,12.0,12.0,11.0
O=CCCN1C=C1O,15.0,14.0,14.0,13.0
O=CCCn1c2oc1=2,14.0,13.0,13.0,12.0
C=C=NCCC=O.O,14.0,13.0,13.0,12.0
O=CCCN=C=CO,13.0,12.0,12.0,11.0
O=C=C=NCCC=O,12.0,11.0,11.0,10.0
C#C.NCCC=O.O,13.0,12.0,12.0,11.0
C#C.O=CCCNO,14.0,13.0,13.0,12.0
C#C.O=CCCN=O,15.0,14.0,14.0,13.0
C#CO.NCCC=O,12.0,11.0,11.0,10.0
C#CONCCC=O,13.0,12.0,12.0,11.0
C#CNCCC=O.O,14.0,13.0,13.0,12.0
C#CN(O)CCC=O,15.0,14.0,14.0,13.0
C#CO.NCCC=O,14.0,13.0,13.0,12.0
C#CONCCC=O,15.0,14.0,14.0,13.0
C1#CO1.NCCC=O,13.0,12.0,12.0,11.0
O=CCCNC#CO,15.0,14.0,14.0,13.0
O=CCCn1c#co1,16.0,15.0,15.0,14.0
C#CNCCC=O.O,14.0,13.0,13.0,12.0
C#CN(O)CCC=O,15.0,14.0,14.0,13.0
O=CCCNC#CO,13.0,12.0,12.0,11.0
O=CCCn1c#co1,14.0,13.0,13.0,12.0
O.O=CCCN1C#C1,15.0,14.0,14.0,13.0
C.C.NCCCO.O,11.0,10.0,10.0,9.0
C.C.NCCCOO,12.0,11.0,11.0,10.0
C.C.OCCCNO,12.0,11.0,11.0,10.0
C.C.C1CNOOC1,13.0,12.0,12.0,11.0
C.C.O=NCCCO,13.0,12.0,12.0,11.0
C.C.C1CNOC1.O,12.0,11.0,11.0,10.0
C.C.ON1CCCO1,13.0,12.0,12.0,11.0
C.CO.NCCCO,10.0,9.0,9.0,8.0
