rmat_tag,pdt_smiles
10000000,CCN1CC23OC(C=CC=C2CI)[13CH2]3O1.[13CH3]
10000100,CCN.ICC1=CC=CC2[13CH2]3OC24OC134.[13CH3]
10000300,CCNOCC12O[13CH2]1CC=CC=C2CI.[13CH3]
10000600,CCN1CC12C(CI)=CC=CC1(O)O[13CH2]12.[13CH3]
10001400,CCNC=C1C(CI)=CC=CC2O[13CH2]12.O.[13CH3]
10001500,CCN=C1C=CC=C(CI)C(=CO)[13CH2]1O.[13CH3]
10001600,CCN1OO[13CH2]2C3=CC21C=CC=C3CI.[13CH3]
10002400,CCNOCO[13CH2]1C2C=CC=C(CI)C21.[13CH3]
10002500,CCN=CO.ICC1=CC=CC23O[13CH2]2C13.[13CH3]
10003300,CCN1OC23C=CC=C(CI)C12[13CH2]3OC.[13CH3]
10003400,CCNC12C(CI)=CC=CC1(C)[13CH2]2O.O.[13CH3]
10004000,CCN.O=CC12C(CI)=CC=CC13O[13CH2]32.[13CH3]
10005800,CCN.CO[13CH2]1(O)CC=CC=C(CI)C1.[13CH3]
10006200,CCN=CO[13CH2]12CC=CC=C(CI)C1O2.[13CH3]
10006300,CCNC=C1C=CC=C(CI)C23O[13CH2]12O3.[13CH3]
10006600,CCNC12O[13CH2]13OCC3C=CC=C2CI.[13CH3]
10006900,CCNC1O[13CH2]23OC2C=CC=C(CI)C13.[13CH3]
10007000,CCNC1C2C=CC=C(CI)C1[13CH2]2(O)O.[13CH3]
10007200,CCNC1O[13CH2]23CC=CC=C(CI)C12O3.[13CH3]
10007300,CCN1O[13CH2]23CC=CC=C(CI)C12CO3.[13CH3]
10007700,CCNC=C1C(CI)=CC=CC2O[13CH2]12O.[13CH3]
10007800,CCN.O[13CH2]12OC13C=CC=C(CI)C2=C3.[13CH3]
10008200,CCN(C)O[13CH2]1(O)C2C=CC=C(CI)C21.[13CH3]
10008300,CC12C=CC=C(CI)C1[13CH2]2(O)O.CCN.[13CH3]
10008400,CCN(C)O[13CH2]12OC13C(CI)=CC=CC32.[13CH3]
10008900,CCNC12C=CC=C(CI)C1(C)[13CH2]21OO1.[13CH3]
10009400,CCN.CO[13CH2]1(O)C2=C1C(CI)=CC=C2.[13CH3]
10010000,CCNC12C=CC=C(CI)C(OC1)[13CH2]2=O.[13CH3]
10010500,CCN(O)C1=C2C=CC=C(CI)C1[13CH2]2=O.[13CH3]
10010900,CCN1C2=C3C(CI)=CC=CC21[13CH2]3=O.O.[13CH3]
10011100,C.CCN=O.O=[13CH2]1C2C=CC=C(CI)C21.[13CH3]
10011300,C=O.CCNC12C(CI)=CC=CC1[13CH2]2=O.[13CH3]
10012100,CCN(CO)[13CH2]1CC(CI)=CC=CC1=O.[13CH3]
10012500,CCN1CC2(OO)C=CC=C(CI)C[13CH2]12.[13CH3]
10012900,CCN[13CH2]1C(O)C=CC=C(CI)C1OC.[13CH3]
10013400,CCN(CO)[13CH2]1CC=CC=C(CI)C1O.[13CH3]
10013500,C.CCN1[13CH2]2C3OOC21C=CC=C3CI.[13CH3]
10013700,CCN[13CH2]1C2=COOC1C(CI)=CC=C2.[13CH3]
10013800,CCN[13CH2]1CC=CC=C(CI)C1(O)OC.[13CH3]
10014100,CCN1[13CH2]2C(=O)C(CI)=CC=CC21OC.[13CH3]
10016800,CCN1C2OC34C=CC=C(CI)C2(O3)[13CH2]14.[13CH3]
10018200,CCN1C(OO)=C2C(CI)=CC=CC[13CH2]21.[13CH3]
10019800,CCN1C(=O)OC23C=CC=C(CI)C2[13CH2]13.[13CH3]
10020200,C.CCN[13CH2]1C2C=CC=C(CI)C21OO.[13CH3]
10023300,C.CCN[13CH2]1C2=C1C(CI)=CC=C2.OO.[13CH3]
10024800,CCN1C2(OC)C=CC=C(CI)C3O[13CH2]312.[13CH3]
10024900,CCN1C2OC3C(CI)=CC=CC[13CH2]31O2.[13CH3]
10025100,CCN(C)[13CH2]12OC13OC2C=CC=C3CI.[13CH3]
10025800,CCN[13CH2]1(O)CC=CC=C(CI)C1CO.[13CH3]
10025900,CCN1C2C=CC=C(CI)C3C(=O)O[13CH2]321.[13CH3]
10026000,CCN[13CH2]12OOC13C=CC=C(CI)C2C3.[13CH3]
10026200,CCN1C23OC24C=CC=C(CI)C32O[13CH2]142.[13CH3]
10027800,CCN1C2OO[13CH2]13C1C(CI)=CC=CC213.[13CH3]
10028000,CCN1COC23C(CI)=CC=CC2[13CH2]13O.[13CH3]
10028300,CCN1C23C(CI)=CC=CC2(C=O)[13CH2]13O.[13CH3]
10029300,CCN[13CH2]1(OOC)C2=C1C(CI)=CC=C2.[13CH3]
10030500,C=O.CCN[13CH2]12CC=CC=C(CI)C1O2.[13CH3]
10031300,CCN1CC2C(CI)=CC=CC(O)[13CH2]21O.[13CH3]
10031600,CCN[13CH2]1(O)CC=CC=C(CI)C1(C)O.[13CH3]
10031700,CCN1C2C34C=CC=C(CI)C2(O3)[13CH2]14O.[13CH3]
10031900,CCN1C23C=CC=C(CI)C4(O[13CH2]142)C3O.[13CH3]
10032400,C=C1C(CI)=CC=CC(O)[13CH2]1(O)NCC.[13CH3]
10033100,CCN[13CH2]1(OC=O)C2C=CC=C(CI)C21.[13CH3]
10033400,CCN1COC23C(CI)=CC=CC24O[13CH2]143.[13CH3]
10033600,CCN1C(O)C23C=CC=C(CI)C24O[13CH2]143.[13CH3]
10033700,C.CCN1C23C(CI)=CC=CC24OO[13CH2]143.[13CH3]
10034000,CCN[13CH2]12OC(O)C13C(CI)=CC=CC32.[13CH3]
10035700,CCN=[13CH2]1CC=CC=C(CI)C1OC=O.[13CH3]
10035800,CCN=[13CH2]1C(O)C(CI)=CC=CC12CO2.[13CH3]
10036000,CCN=[13CH2]1C2C=CC=C(CI)C1O2.CO.[13CH3]
10036200,CCN=[13CH2]1C(C)C=CC=C(CI)C1(O)O.[13CH3]
10037000,CCN=[13CH2]1C2=CC1C(CI)=CC=C2.O.O.[13CH3]
10037900,CCN=[13CH2]1C2=C(O)OC1C=CC=C2CI.[13CH3]
10038000,CCN=[13CH2]1C2=C(O)C1(O)C=CC=C2CI.[13CH3]
10038700,CCN=[13CH2]1C2C(CI)=CC=CC21COO.[13CH3]
10038900,CCN=[13CH2]1C23C=CC=C(CI)C12OC3.O.[13CH3]
10039600,CCN=[13CH2]1C23C=CC=C(CI)C12C3=O.O.[13CH3]
10040800,CCN1OC1(O)[13CH2]1CC=CC=C(CI)C1.[13CH3]
10040900,CCNOC1C=CC=C(CI)C[13CH2]1C.O.[13CH3]
10041000,CCN=C[13CH2]1CC(CI)=CC=CC1=O.O.[13CH3]
10041100,CCN1OC[13CH2]2CC(CI)=CC=CC21O.[13CH3]
10041400,CCNOC12C=CC=C(CI)C[13CH2]1C2O.[13CH3]
10041700,CCN(O)C1=C2C=CC=C(CI)C[13CH2]21.O.[13CH3]
10041800,CCN.C[13CH2]1CC=CC=C(CI)C1OO.[13CH3]
10041900,CCNOC12C=CC=C(CI)C(O1)[13CH2]2C.[13CH3]
10042100,CCN1OC2C(CI)=CC=CC3[13CH2]2C31O.[13CH3]
10042400,CCN.O=C1C(CI)=CC=CC2(O)C[13CH2]12.[13CH3]
10042500,CCN=C[13CH2]1CC=CC=C(CI)C1OO.[13CH3]
10042600,CCNC1C=CC=C(CI)C2OC(O)[13CH2]12.[13CH3]
10042800,CCNO.ICC1=CC=CC23C[13CH2]2C1O3.[13CH3]
10043000,CCN=C1OC2(O)C(CI)=CC=CC[13CH2]12.[13CH3]
10043200,CCNC1=C2C=CC=C(CI)C3(OO3)[13CH2]21.[13CH3]
10043900,CCN1OOC2C3C=CC=C(CI)C1[13CH2]32.[13CH3]
10044300,CCN1C2OC13C(CI)=CC=CC(O)[13CH2]23.[13CH3]
10044400,CCNC1(OO)C(CI)=CC=CC2C[13CH2]21.[13CH3]
10044700,CCNC12OC(O)[13CH2]1CC=CC=C2CI.[13CH3]
10046200,CCN(O)OC1C=CC=C(CI)C2C[13CH2]12.[13CH3]
10046300,CCN1OC2(O)C=CC=C(CI)C3C1[13CH2]32.[13CH3]
10046400,CCN1OOC12C=CC=C(CI)C1C[13CH2]12.[13CH3]
10046600,CCNOC12C3C=CC=C(CI)C1[13CH2]32.O.[13CH3]
10046800,CCNOO.ICC1=CC=CC2=C3C1[13CH2]23.[13CH3]
10047300,CCN=O.ICC1=CC=CC[13CH2]2C3OC132.[13CH3]
10049200,CCN(O)C1=C2C(CI)=CC=CC(O)[13CH2]21.[13CH3]
10049300,CCNC1(OO)C=CC=C(CI)C2=C[13CH2]21.[13CH3]
10050200,CCN.C[13CH2]1C2C=CC=C(CI)C21.OO.[13CH3]
10050300,CCN.C[13CH2]1C2C(CI)=CC=CC21OO.[13CH3]
10050400,CCN1OC23C=CC=C(CI)C2[13CH2]3C1O.[13CH3]
10050500,CCN1OC(O)[13CH2]2C3C(CI)=CC=CC321.[13CH3]
10050700,CCN=O.O=C1[13CH2]2C3C(CI)=CC=CC132.[13CH3]
10051000,CCN=C[13CH2]1C23C=CC=C(CI)C12OO3.[13CH3]
10051400,CCN=C[13CH2]1C2C=CC=C(CI)C21OO.[13CH3]
10051500,CCN1C[13CH2]2C3(OO)C(CI)=CC=CC213.[13CH3]
