,smiles,ac2_am2,ac2_am3,ac3_am2,ac3_am3,min_dist_all,local_index
0,CCC(CN)OCO,8.0,7.0,7.0,6.0,6.0,2890
1,CC(CO)C(O)CN,8.0,7.0,7.0,6.0,6.0,3031
2,CC1COC1CN.O,8.0,7.0,7.0,6.0,6.0,3038
3,CC1C(O)OC1CN,7.0,6.0,6.0,5.0,5.0,3041
4,CC1C2CNOC1O2,8.0,7.0,7.0,6.0,6.0,3042
5,CC1C(=O)OC1CN,8.0,7.0,7.0,6.0,6.0,3043
6,CC1C2CNC1(O)O2,8.0,7.0,7.0,6.0,6.0,3057
7,CC12OC1OC2CN,8.0,7.0,7.0,6.0,6.0,3073
8,CC12NCC1OC2O,8.0,7.0,7.0,6.0,6.0,3113
9,CC1=C(O)OC1CN,8.0,7.0,7.0,6.0,6.0,3140
10,NCC1OC2OCC12,8.0,7.0,7.0,6.0,6.0,3236
11,OC1OC2CNCC12,8.0,7.0,7.0,6.0,6.0,3566
12,NCC1OC2(O)CC12,8.0,7.0,7.0,6.0,6.0,4037
13,C=CC(CN)OCO,7.0,6.0,8.0,7.0,6.0,5256
14,C=C(CO)C(O)CN,7.0,6.0,8.0,7.0,6.0,5351
15,C=C1COC1CN.O,7.0,6.0,8.0,7.0,6.0,5358
16,C=C1C(O)OC1CN,6.0,5.0,7.0,6.0,5.0,5361
17,C=C1C2CNOC1O2,7.0,6.0,8.0,7.0,6.0,5362
18,C=C1C(=O)OC1CN,7.0,6.0,8.0,7.0,6.0,5363
19,C=C1C2CNC1(O)O2,7.0,6.0,8.0,7.0,6.0,5377
20,NCC1OC2OC=C12,7.0,6.0,8.0,7.0,6.0,5447
21,OC1OC2CNC=C12,7.0,6.0,8.0,7.0,6.0,5619
22,NCC1OC2(O)C=C12,7.0,6.0,8.0,7.0,6.0,5836
23,CC1C2OC1(CN)O2,8.0,7.0,7.0,6.0,6.0,8007
24,C=C1C2OC1(CN)O2,7.0,6.0,8.0,7.0,6.0,9060
25,C.CC1CN1.CO.O,8.0,7.0,7.0,6.0,6.0,11303
26,C.CC1CN1.CO.O,8.0,7.0,7.0,6.0,6.0,11310
27,C.CC1CN1.OCO,7.0,6.0,6.0,5.0,5.0,11315
28,C.C1OO1.CC1CN1,8.0,7.0,7.0,6.0,6.0,11316
29,C.CC1CN1OCO,8.0,7.0,7.0,6.0,6.0,11317
30,C.CC1CN1OCO,8.0,7.0,7.0,6.0,6.0,11318
31,C.CC1CN1.O=CO,8.0,7.0,7.0,6.0,6.0,11319
32,C.C=O.CC1CN1.O,7.0,6.0,6.0,5.0,5.0,11321
33,C.C=O.CC1CN1O,8.0,7.0,7.0,6.0,6.0,11322
34,C.CC1CN1.O=CO,6.0,5.0,5.0,4.0,4.0,11323
35,C.CC1CN1OC=O,7.0,6.0,6.0,5.0,5.0,11324
36,C.CC1CN1.O=C=O,7.0,6.0,6.0,5.0,5.0,11325
37,C.CC1CN1C(O)O,8.0,7.0,7.0,6.0,6.0,11334
38,C.CC1CN1C=O.O,8.0,7.0,7.0,6.0,6.0,11337
39,C.CC1CN1C(=O)O,7.0,6.0,6.0,5.0,5.0,11338
40,C.OCOCC1CN1,8.0,7.0,7.0,6.0,6.0,11350
41,C.C=O.OCC1CN1,8.0,7.0,7.0,6.0,6.0,11352
42,C.O=COCC1CN1,7.0,6.0,6.0,5.0,5.0,11354
43,C.O=C1OCC2CN12,8.0,7.0,7.0,6.0,6.0,11362
44,C.OCOCC1CN1,8.0,7.0,7.0,6.0,6.0,11384
45,C.C1C2CN12.OCO,8.0,7.0,7.0,6.0,6.0,11435
46,C.C1C2CN12.C=O.O,8.0,7.0,7.0,6.0,6.0,11438
47,C.C1C2CN12.O=CO,7.0,6.0,6.0,5.0,5.0,11439
48,C.C1C2CN12.O=C=O,8.0,7.0,7.0,6.0,6.0,11440
49,C.O=COC1C2CN21,8.0,7.0,7.0,6.0,6.0,11448
50,C.CCC1CN1.O.O,8.0,7.0,7.0,6.0,6.0,11468
51,C.O.OCCC1CN1,7.0,6.0,6.0,5.0,5.0,11475
52,C.OOCCC1CN1,8.0,7.0,7.0,6.0,6.0,11476
53,C.C1CC2CN2O1.O,8.0,7.0,7.0,6.0,6.0,11477
54,C.OCCC1CN1O,8.0,7.0,7.0,6.0,6.0,11478
55,C.O.O=CCC1CN1,8.0,7.0,7.0,6.0,6.0,11480
56,C.O.OCCC1CN1,7.0,6.0,6.0,5.0,5.0,11482
57,C.OOCCC1CN1,8.0,7.0,7.0,6.0,6.0,11483
58,C.OCCC1CN1O,8.0,7.0,7.0,6.0,6.0,11484
59,C.C1CC2CN2O1.O,8.0,7.0,7.0,6.0,6.0,11486
60,C.OC(O)CC1CN1,6.0,5.0,5.0,4.0,4.0,11487
61,C.C1NC1CC1OO1,7.0,6.0,6.0,5.0,5.0,11488
62,C.OC1CC2CN2O1,7.0,6.0,6.0,5.0,5.0,11489
63,C.OC1CC2CN2O1,7.0,6.0,6.0,5.0,5.0,11490
64,C.O=C(O)CC1CN1,7.0,6.0,6.0,5.0,5.0,11491
65,C.O=C1CC2CN2O1,8.0,7.0,7.0,6.0,6.0,11492
66,C.O.O=CCC1CN1,6.0,5.0,5.0,4.0,4.0,11493
67,C.O=CCC1CN1O,7.0,6.0,6.0,5.0,5.0,11494
68,C.O=C(O)CC1CN1,5.0,4.0,4.0,3.0,3.0,11495
69,C.O=C1CC2CN2O1,6.0,5.0,5.0,4.0,4.0,11496
70,C.O.OC1CC2CN12,8.0,7.0,7.0,6.0,6.0,11500
71,C.O.OC1CC2CN12,8.0,7.0,7.0,6.0,6.0,11503
72,C.OC1(O)CC2CN21,7.0,6.0,6.0,5.0,5.0,11505
73,C.C1C2CC3(OO3)N12,8.0,7.0,7.0,6.0,6.0,11506
74,C.O.O=C1CC2CN12,7.0,6.0,6.0,5.0,5.0,11507
75,C.C1NC1C1CO1.O,8.0,7.0,7.0,6.0,6.0,11513
76,C.OCC(O)C1CN1,8.0,7.0,7.0,6.0,6.0,11515
77,C.OC1OC1C1CN1,7.0,6.0,6.0,5.0,5.0,11519
78,C.C1C2C3OC3ON12,8.0,7.0,7.0,6.0,6.0,11520
79,C.O=CC(O)C1CN1,7.0,6.0,6.0,5.0,5.0,11521
80,C.O=CC1ON2CC12,8.0,7.0,7.0,6.0,6.0,11522
81,C.O=C1OC1C1CN1,6.0,5.0,5.0,4.0,4.0,11523
82,C.OC12OC1C1CN12,8.0,7.0,7.0,6.0,6.0,11529
83,C.O=C1C(O)C2CN12,8.0,7.0,7.0,6.0,6.0,11530
84,C.O=CC(=O)C1CN1,8.0,7.0,7.0,6.0,6.0,11535
85,C.OCC(O)C1CN1,8.0,7.0,7.0,6.0,6.0,11544
86,C.C1NC1C1CO1.O,8.0,7.0,7.0,6.0,6.0,11550
87,C.OC1OC1C1CN1,7.0,6.0,6.0,5.0,5.0,11552
88,C.C1C2C3OC3ON12,8.0,7.0,7.0,6.0,6.0,11553
89,C.O=C1OC1C1CN1,8.0,7.0,7.0,6.0,6.0,11554
90,C.OC12OC1C1CN12,8.0,7.0,7.0,6.0,6.0,11561
91,C.C1NC1C12OC1O2,8.0,7.0,7.0,6.0,6.0,11570
92,C.O.OCC1C2CN12,8.0,7.0,7.0,6.0,6.0,11587
93,C.O.OCC1C2CN12,8.0,7.0,7.0,6.0,6.0,11590
94,C.OC(O)C1C2CN21,7.0,6.0,6.0,5.0,5.0,11592
95,C.C1C2C(C3OO3)N12,8.0,7.0,7.0,6.0,6.0,11593
96,C.O=C(O)C1C2CN21,8.0,7.0,7.0,6.0,6.0,11594
97,C.O.O=CC1C2CN12,7.0,6.0,6.0,5.0,5.0,11595
98,C.O=C(O)C1C2CN21,6.0,5.0,5.0,4.0,4.0,11596
99,C.OC1OC12C1CN12,8.0,7.0,7.0,6.0,6.0,11602
100,C.O=CC1(O)C2CN21,8.0,7.0,7.0,6.0,6.0,11603
