,smiles,ac2_am2,ac2_am3,ac3_am2,ac3_am3,min_dist_all,local_index
0,C.C=C=C(N)C(O)O,7.0,6.0,8.0,7.0,6.0,394
1,C.C=C=C(N)C=O.O,7.0,6.0,8.0,7.0,6.0,401
2,C.C=C=C(N)C(=O)O,6.0,5.0,7.0,6.0,5.0,404
3,C.C=C=C1NOC1=O,7.0,6.0,8.0,7.0,6.0,405
4,C.NC1=C=COC1=O,7.0,6.0,8.0,7.0,6.0,457
5,C.O=C(O)C1=C=CN1,7.0,6.0,8.0,7.0,6.0,594
6,C.C.C#CC(=O)O.N,8.0,7.0,7.0,6.0,6.0,8748
7,C.C#CC.N.O=CO,8.0,7.0,7.0,6.0,6.0,14326
8,C.C.C#CN.O=CO,8.0,7.0,7.0,6.0,6.0,22144
9,C.C.NC#CC(O)O,8.0,7.0,7.0,6.0,6.0,22344
10,C.C.NC#CC=O.O,8.0,7.0,7.0,6.0,6.0,22351
11,C.C.NC#CC(=O)O,7.0,6.0,6.0,5.0,5.0,22354
12,C.C.O=c1c#c[nH]o1,8.0,7.0,7.0,6.0,6.0,22355
13,C.COC(=O)C#CN,8.0,7.0,7.0,6.0,6.0,22512
14,C.CNC#CC(=O)O,8.0,7.0,7.0,6.0,6.0,23029
15,C.CC#CN.OCO,8.0,7.0,7.0,6.0,6.0,25676
16,C.C=O.CC#CN.O,8.0,7.0,7.0,6.0,6.0,25683
17,C.CC#CN.O=CO,7.0,6.0,6.0,5.0,5.0,25686
18,C.CC#CNOC=O,8.0,7.0,7.0,6.0,6.0,25687
19,C.CC#CN.O=C=O,8.0,7.0,7.0,6.0,6.0,25688
20,C.CC#CNC(=O)O,8.0,7.0,7.0,6.0,6.0,25716
21,C.NC#CCOC=O,8.0,7.0,7.0,6.0,6.0,25748
22,C.C1#CNC1.O=CO,8.0,7.0,7.0,6.0,6.0,25910
23,C.NC#CCC(=O)O,8.0,7.0,7.0,6.0,6.0,26072
24,C.C.CC.N.OCO,8.0,7.0,7.0,6.0,6.0,32010
25,C.C.C=O.CC.N.O,8.0,7.0,7.0,6.0,6.0,32017
26,C.C.CC.N.O=CO,7.0,6.0,6.0,5.0,5.0,32020
27,C.C.CC.NOC=O,8.0,7.0,7.0,6.0,6.0,32021
28,C.C.CC.N.O=C=O,8.0,7.0,7.0,6.0,6.0,32022
29,C.C.CC.NC(=O)O,8.0,7.0,7.0,6.0,6.0,32061
30,C.CC.COC=O.N,8.0,7.0,7.0,6.0,6.0,32115
31,C.CC.CN.O=CO,8.0,7.0,7.0,6.0,6.0,32352
32,C.CC.CCO.N.O,8.0,7.0,7.0,6.0,6.0,32713
33,C.CC.CCO.N.O,8.0,7.0,7.0,6.0,6.0,32724
34,C.CC.CC(O)O.N,7.0,6.0,6.0,5.0,5.0,32732
35,C.CC.CC1OO1.N,8.0,7.0,7.0,6.0,6.0,32733
36,C.CC.CC(O)ON,8.0,7.0,7.0,6.0,6.0,32734
37,C.CC.CC(O)ON,8.0,7.0,7.0,6.0,6.0,32735
38,C.CC.CC(=O)O.N,8.0,7.0,7.0,6.0,6.0,32737
39,C.CC.CC=O.N.O,7.0,6.0,6.0,5.0,5.0,32739
40,C.CC.CC=O.NO,8.0,7.0,7.0,6.0,6.0,32740
41,C.CC.CC(=O)O.N,6.0,5.0,5.0,4.0,4.0,32742
42,C.CC.CC(=O)ON,7.0,6.0,6.0,5.0,5.0,32743
