,smiles,ac2_am2,ac2_am3,ac3_am2,ac3_am3,min_dist_all,local_index
0,C.N.OC1OC2CC12,8.0,7.0,7.0,6.0,6.0,2639
1,C.N.OC1OC2C=C12,7.0,6.0,8.0,7.0,6.0,5202
2,C.CC(C)N.OCO,8.0,7.0,7.0,6.0,6.0,11996
3,C.C=O.CC(C)N.O,8.0,7.0,7.0,6.0,6.0,12003
4,C.CC(C)N.O=CO,7.0,6.0,6.0,5.0,5.0,12006
5,C.CC(C)NOC=O,8.0,7.0,7.0,6.0,6.0,12007
6,C.CC(C)N.O=C=O,8.0,7.0,7.0,6.0,6.0,12008
7,C.CC(C)NC(=O)O,8.0,7.0,7.0,6.0,6.0,12036
8,C.CC(N)COC=O,8.0,7.0,7.0,6.0,6.0,12068
9,C.CC1CN1.O=CO,8.0,7.0,7.0,6.0,6.0,12230
10,C.CC(N)CCO.O,8.0,7.0,7.0,6.0,6.0,12365
11,C.CC(N)CCO.O,8.0,7.0,7.0,6.0,6.0,12375
12,C.CC(N)CC(O)O,7.0,6.0,6.0,5.0,5.0,12382
13,C.CC(N)CC1OO1,8.0,7.0,7.0,6.0,6.0,12383
14,C.CC1CC(O)ON1,8.0,7.0,7.0,6.0,6.0,12384
15,C.CC1CC(O)ON1,8.0,7.0,7.0,6.0,6.0,12385
16,C.CC(N)CC(=O)O,8.0,7.0,7.0,6.0,6.0,12387
17,C.CC(N)CC=O.O,7.0,6.0,6.0,5.0,5.0,12389
18,C.CC(CC=O)NO,8.0,7.0,7.0,6.0,6.0,12390
19,C.CC(N)CC(=O)O,6.0,5.0,5.0,4.0,4.0,12392
20,C.CC1CC(=O)ON1,7.0,6.0,6.0,5.0,5.0,12393
21,C.CC1CC(O)(O)N1,8.0,7.0,7.0,6.0,6.0,12413
22,C.CC1CC(=O)N1.O,8.0,7.0,7.0,6.0,6.0,12417
23,C.CC(N)C1OC1O,8.0,7.0,7.0,6.0,6.0,12441
24,C.CC(N)C(O)C=O,8.0,7.0,7.0,6.0,6.0,12443
25,C.CC(N)C1OC1=O,7.0,6.0,6.0,5.0,5.0,12445
26,C.CC(N)C1OC1O,8.0,7.0,7.0,6.0,6.0,12496
27,C.CC1NC1C(O)O,8.0,7.0,7.0,6.0,6.0,12574
28,C.CC1NC1C=O.O,8.0,7.0,7.0,6.0,6.0,12580
29,C.CC1NC1C(=O)O,7.0,6.0,6.0,5.0,5.0,12582
30,C.CC1C2C(=O)ON12,8.0,7.0,7.0,6.0,6.0,12583
31,C.CC1NC12OC2=O,8.0,7.0,7.0,6.0,6.0,12610
32,C.CC1N=C1C(=O)O,8.0,7.0,7.0,6.0,6.0,12653
33,C.CC(N)C=C(O)O,8.0,7.0,7.0,6.0,6.0,12682
34,C.CC(N)C=C=O.O,8.0,7.0,7.0,6.0,6.0,12687
35,C.CC(N)COC=O,8.0,7.0,7.0,6.0,6.0,12857
36,C.NC1COC(O)C1,8.0,7.0,7.0,6.0,6.0,13025
37,C.NC(CO)CC=O,8.0,7.0,7.0,6.0,6.0,13027
38,C.NC1COC(=O)C1,7.0,6.0,6.0,5.0,5.0,13029
39,C.O=C1OCC2NC12,8.0,7.0,7.0,6.0,6.0,13117
40,C.NC1COC(O)C1,8.0,7.0,7.0,6.0,6.0,13564
41,C.CC1CN1.O=CO,8.0,7.0,7.0,6.0,6.0,14270
42,C.OC(O)CC1CN1,8.0,7.0,7.0,6.0,6.0,14434
43,C.O.O=CCC1CN1,8.0,7.0,7.0,6.0,6.0,14440
44,C.O=C(O)CC1CN1,7.0,6.0,6.0,5.0,5.0,14442
45,C.O=C1CC2CN2O1,8.0,7.0,7.0,6.0,6.0,14443
46,C.O=C1OC1C1CN1,8.0,7.0,7.0,6.0,6.0,14470
47,C.O=C(O)C1C2CN21,8.0,7.0,7.0,6.0,6.0,14543
48,C.O=C1CC2NC2O1,8.0,7.0,7.0,6.0,6.0,14756
49,C.O=C(O)CC1C=N1,8.0,7.0,7.0,6.0,6.0,15369
50,C.CC(N)CC(=O)O,8.0,7.0,7.0,6.0,6.0,15589
51,C.NC1CC(O)(O)C1,8.0,7.0,7.0,6.0,6.0,15941
52,C.NC1CC(=O)C1.O,8.0,7.0,7.0,6.0,6.0,15946
53,C.CO.NC1CC1.O,8.0,7.0,7.0,6.0,6.0,19638
54,C.CO.NC1CC1.O,8.0,7.0,7.0,6.0,6.0,19648
55,C.NC1CC1.OCO,7.0,6.0,6.0,5.0,5.0,19655
56,C.C1OO1.NC1CC1,8.0,7.0,7.0,6.0,6.0,19656
57,C.OCONC1CC1,8.0,7.0,7.0,6.0,6.0,19657
58,C.OCONC1CC1,8.0,7.0,7.0,6.0,6.0,19658
59,C.NC1CC1.O=CO,8.0,7.0,7.0,6.0,6.0,19660
60,C.C=O.NC1CC1.O,7.0,6.0,6.0,5.0,5.0,19662
61,C.C=O.ONC1CC1,8.0,7.0,7.0,6.0,6.0,19663
62,C.NC1CC1.O=CO,6.0,5.0,5.0,4.0,4.0,19665
63,C.O=CONC1CC1,7.0,6.0,6.0,5.0,5.0,19666
64,C.NC1CC1.O=C=O,7.0,6.0,6.0,5.0,5.0,19667
65,C.OC(O)NC1CC1,8.0,7.0,7.0,6.0,6.0,19687
66,C.O.O=CNC1CC1,8.0,7.0,7.0,6.0,6.0,19693
67,C.O=C(O)NC1CC1,7.0,6.0,6.0,5.0,5.0,19695
68,C.O=C1ON1C1CC1,8.0,7.0,7.0,6.0,6.0,19696
69,C.NC1CC1OCO,8.0,7.0,7.0,6.0,6.0,19723
70,C.C=O.NC1CC1O,8.0,7.0,7.0,6.0,6.0,19725
71,C.NC1CC1OC=O,7.0,6.0,6.0,5.0,5.0,19727
72,C.O=C1NC2CC2O1,8.0,7.0,7.0,6.0,6.0,19743
73,C.NC1CC1OCO,8.0,7.0,7.0,6.0,6.0,19782
74,C.C1C2NC12.OCO,8.0,7.0,7.0,6.0,6.0,19865
75,C.C1C2NC12.C=O.O,8.0,7.0,7.0,6.0,6.0,19871
76,C.C1C2NC12.O=CO,7.0,6.0,6.0,5.0,5.0,19873
77,C.O=CON1C2CC21,8.0,7.0,7.0,6.0,6.0,19874
78,C.C1C2NC12.O=C=O,8.0,7.0,7.0,6.0,6.0,19875
79,C.O=C(O)N1C2CC21,8.0,7.0,7.0,6.0,6.0,19888
80,C.O=COC12CC1N2,8.0,7.0,7.0,6.0,6.0,19904
81,C.C1C2=NC12.O=CO,8.0,7.0,7.0,6.0,6.0,19949
82,C.CC1CC1N.O.O,8.0,7.0,7.0,6.0,6.0,19951
83,C.NC1CC1CO.O,7.0,6.0,6.0,5.0,5.0,19962
84,C.NC1CC1COO,8.0,7.0,7.0,6.0,6.0,19963
85,C.C1ONC2CC12.O,8.0,7.0,7.0,6.0,6.0,19964
86,C.OCC1CC1NO,8.0,7.0,7.0,6.0,6.0,19965
87,C.NC1CC1C=O.O,8.0,7.0,7.0,6.0,6.0,19969
88,C.NC1CC1CO.O,7.0,6.0,6.0,5.0,5.0,19972
89,C.NC1CC1COO,8.0,7.0,7.0,6.0,6.0,19973
90,C.OCC1CC1NO,8.0,7.0,7.0,6.0,6.0,19974
91,C.C1ONC2CC12.O,8.0,7.0,7.0,6.0,6.0,19977
92,C.NC1CC1C(O)O,6.0,5.0,5.0,4.0,4.0,19979
93,C.NC1CC1C1OO1,7.0,6.0,6.0,5.0,5.0,19980
94,C.OC1ONC2CC21,7.0,6.0,6.0,5.0,5.0,19981
95,C.OC1ONC2CC21,7.0,6.0,6.0,5.0,5.0,19982
96,C.C1C2C3ON(O3)C12,8.0,7.0,7.0,6.0,6.0,19983
97,C.NC1CC1C(=O)O,7.0,6.0,6.0,5.0,5.0,19984
98,C.O=C1ONC2CC12,8.0,7.0,7.0,6.0,6.0,19985
99,C.NC1CC1C=O.O,6.0,5.0,5.0,4.0,4.0,19986
100,C.O=CC1CC1NO,7.0,6.0,6.0,5.0,5.0,19987
101,C.O=CC1CC1N=O,8.0,7.0,7.0,6.0,6.0,19988
102,C.NC1CC1C(=O)O,5.0,4.0,4.0,3.0,3.0,19989
103,C.O=C1ONC2CC12,6.0,5.0,5.0,4.0,4.0,19990
104,C.O.OC1NC2CC12,8.0,7.0,7.0,6.0,6.0,19998
105,C.O.OC1NC2CC12,8.0,7.0,7.0,6.0,6.0,20005
106,C.OC1(O)NC2CC21,7.0,6.0,6.0,5.0,5.0,20010
107,C.C1C2NC3(OO3)C12,8.0,7.0,7.0,6.0,6.0,20011
108,C.OC12ON1C1CC12,8.0,7.0,7.0,6.0,6.0,20012
109,C.OC12ON1C1CC12,8.0,7.0,7.0,6.0,6.0,20013
110,C.O.O=C1NC2CC12,7.0,6.0,6.0,5.0,5.0,20014
111,C.O=C1C2CC2N1O,8.0,7.0,7.0,6.0,6.0,20015
112,C.NC1CC12CO2.O,8.0,7.0,7.0,6.0,6.0,20030
113,C.NC1CC1(O)CO,8.0,7.0,7.0,6.0,6.0,20033
114,C.NC1CC12OC2O,7.0,6.0,6.0,5.0,5.0,20038
115,C.C1C2NOC3OC123,8.0,7.0,7.0,6.0,6.0,20039
116,C.NC1CC1(O)C=O,7.0,6.0,6.0,5.0,5.0,20040
117,C.O=CC12CC1NO2,8.0,7.0,7.0,6.0,6.0,20041
118,C.NC1CC12OC2=O,6.0,5.0,5.0,4.0,4.0,20042
119,C.OC12NC3CC31O2,8.0,7.0,7.0,6.0,6.0,20054
120,C.O=C1NC2CC12O,8.0,7.0,7.0,6.0,6.0,20056
121,C.NC1CC1(O)CO,8.0,7.0,7.0,6.0,6.0,20070
122,C.NC1CC12CO2.O,8.0,7.0,7.0,6.0,6.0,20077
123,C.NC1CC12OC2O,7.0,6.0,6.0,5.0,5.0,20080
124,C.C1C2NOC3OC123,8.0,7.0,7.0,6.0,6.0,20081
125,C.NC1CC12OC2=O,8.0,7.0,7.0,6.0,6.0,20082
126,C.OC12NC3CC31O2,8.0,7.0,7.0,6.0,6.0,20096
127,C.O.OCC12CC1N2,8.0,7.0,7.0,6.0,6.0,20110
128,C.O.OCC12CC1N2,8.0,7.0,7.0,6.0,6.0,20117
129,C.OC(O)C12CC1N2,7.0,6.0,6.0,5.0,5.0,20122
130,C.C1C2NC12C1OO1,8.0,7.0,7.0,6.0,6.0,20123
131,C.OC1ON2C3CC132,8.0,7.0,7.0,6.0,6.0,20124
132,C.OC1ON2C3CC132,8.0,7.0,7.0,6.0,6.0,20125
133,C.O=C(O)C12CC1N2,8.0,7.0,7.0,6.0,6.0,20126
