,smiles,ac2_am2,ac2_am3,ac3_am2,ac3_am3,min_dist_all,local_index
0,C.C=C(O)O.CC.N,8.0,7.0,7.0,6.0,6.0,3892
1,C.C=C=O.CC.N.O,8.0,7.0,7.0,6.0,6.0,3897
2,C.C=C(O)CC.N.O,8.0,7.0,7.0,6.0,6.0,4335
3,C.C=C(O)CC.N.O,8.0,7.0,7.0,6.0,6.0,4343
4,C.C=C.C=C(O)O.N,7.0,6.0,8.0,7.0,6.0,9456
5,C.C=C.C=C=O.N.O,7.0,6.0,8.0,7.0,6.0,9461
6,C.C=CC(=C)O.N.O,7.0,6.0,8.0,7.0,6.0,9790
7,C.C=CC(=C)O.N.O,7.0,6.0,8.0,7.0,6.0,9798
8,C.C.C.NC=C(O)O,8.0,7.0,7.0,6.0,6.0,34520
9,C.C.C.NC=C=O.O,8.0,7.0,7.0,6.0,6.0,34525
10,C.C.CC(O)=CN.O,8.0,7.0,7.0,6.0,6.0,34827
11,C.C.CC(O)=CN.O,8.0,7.0,7.0,6.0,6.0,34834
12,C.CC.NC=CO.O,8.0,7.0,7.0,6.0,6.0,38636
13,C.CC.NC=CO.O,8.0,7.0,7.0,6.0,6.0,38646
14,C.CC.NC=C(O)O,7.0,6.0,6.0,5.0,5.0,38653
15,C.CC.NC=C1OO1,8.0,7.0,7.0,6.0,6.0,38654
16,C.CC.Oc1c[nH]o1,8.0,7.0,7.0,6.0,6.0,38655
17,C.CC.Oc1c[nH]o1,8.0,7.0,7.0,6.0,6.0,38656
18,C.CC.NC=C=O.O,7.0,6.0,6.0,5.0,5.0,38658
19,C.CC.O=C=CNO,8.0,7.0,7.0,6.0,6.0,38659
20,C.CCOC(O)=CN,8.0,7.0,7.0,6.0,6.0,38696
21,C.CCO.NC=C=O,8.0,7.0,7.0,6.0,6.0,38698
22,C.CCOC(O)=CN,8.0,7.0,7.0,6.0,6.0,38741
23,C.CCNC=C(O)O,8.0,7.0,7.0,6.0,6.0,38820
24,C.CCNC=C=O.O,8.0,7.0,7.0,6.0,6.0,38824
25,C.CCC=CN.O.O,8.0,7.0,7.0,6.0,6.0,38925
26,C.CCC(O)=CN.O,7.0,6.0,6.0,5.0,5.0,38936
27,C.CCC(=CN)OO,8.0,7.0,7.0,6.0,6.0,38937
28,C.CCc1c[nH]o1.O,8.0,7.0,7.0,6.0,6.0,38938
29,C.CCC(O)=CNO,8.0,7.0,7.0,6.0,6.0,38939
30,C.CCC(O)=CN.O,7.0,6.0,6.0,5.0,5.0,38943
31,C.CCC(=CN)OO,8.0,7.0,7.0,6.0,6.0,38944
32,C.CCC(O)=CNO,8.0,7.0,7.0,6.0,6.0,38945
33,C.CCc1c[nH]o1.O,8.0,7.0,7.0,6.0,6.0,38948
34,C.CC1OC1=CN.O,8.0,7.0,7.0,6.0,6.0,38964
35,C.CC(O)C(O)=CN,8.0,7.0,7.0,6.0,6.0,38967
36,C.CC(O)C(O)=CN,8.0,7.0,7.0,6.0,6.0,38991
37,C.CC1OC1=CN.O,8.0,7.0,7.0,6.0,6.0,38996
38,C.CC1NC=C1O.O,8.0,7.0,7.0,6.0,6.0,39031
39,C.CC1NC=C1O.O,8.0,7.0,7.0,6.0,6.0,39036
40,C.CCOC(O)=CN,8.0,7.0,7.0,6.0,6.0,39124
41,C.CCO.NC=C=O,8.0,7.0,7.0,6.0,6.0,39126
42,C.NC=C1CCO1.O,8.0,7.0,7.0,6.0,6.0,39261
43,C.NC=C(O)CCO,8.0,7.0,7.0,6.0,6.0,39264
44,C.CCOC(O)=CN,8.0,7.0,7.0,6.0,6.0,39446
45,C.NC=C(O)CCO,8.0,7.0,7.0,6.0,6.0,39581
46,C.NC=C1CCO1.O,8.0,7.0,7.0,6.0,6.0,39586
47,C.CCNC=C(O)O,8.0,7.0,7.0,6.0,6.0,39979
48,C.CCNC=C=O.O,8.0,7.0,7.0,6.0,6.0,39983
49,C.O.OC1=CNCC1,8.0,7.0,7.0,6.0,6.0,40112
50,C.O.OC1=CNCC1,8.0,7.0,7.0,6.0,6.0,40117
51,C.C=C.NC=CO.O,7.0,6.0,8.0,7.0,6.0,41958
52,C.C=C.NC=CO.O,7.0,6.0,8.0,7.0,6.0,41968
53,C.C=C.NC=C(O)O,6.0,5.0,7.0,6.0,5.0,41975
54,C.C=C.NC=C1OO1,7.0,6.0,8.0,7.0,6.0,41976
55,C.C=C.Oc1c[nH]o1,7.0,6.0,8.0,7.0,6.0,41977
56,C.C=C.Oc1c[nH]o1,7.0,6.0,8.0,7.0,6.0,41978
57,C.C=C.NC=C=O.O,6.0,5.0,7.0,6.0,5.0,41980
58,C.C=C.O=C=CNO,7.0,6.0,8.0,7.0,6.0,41981
59,C.C=COC(O)=CN,7.0,6.0,8.0,7.0,6.0,42018
60,C.C=CO.NC=C=O,7.0,6.0,8.0,7.0,6.0,42020
61,C.C=COC(O)=CN,7.0,6.0,8.0,7.0,6.0,42063
62,C.C=CNC=C(O)O,7.0,6.0,8.0,7.0,6.0,42128
63,C.C=CNC=C=O.O,7.0,6.0,8.0,7.0,6.0,42132
64,C.C=CC=CN.O.O,7.0,6.0,8.0,7.0,6.0,42192
65,C.C=CC(O)=CN.O,6.0,5.0,7.0,6.0,5.0,42203
66,C.C=CC(=CN)OO,7.0,6.0,8.0,7.0,6.0,42204
67,C.C=Cc1c[nH]o1.O,7.0,6.0,8.0,7.0,6.0,42205
68,C.C=CC(O)=CNO,7.0,6.0,8.0,7.0,6.0,42206
69,C.C=CC(O)=CN.O,6.0,5.0,7.0,6.0,5.0,42210
70,C.C=CC(=CN)OO,7.0,6.0,8.0,7.0,6.0,42211
71,C.C=CC(O)=CNO,7.0,6.0,8.0,7.0,6.0,42212
72,C.C=Cc1c[nH]o1.O,7.0,6.0,8.0,7.0,6.0,42215
73,C.C=C1OC1=CN.O,7.0,6.0,8.0,7.0,6.0,42231
74,C.C=C(O)C(O)=CN,7.0,6.0,8.0,7.0,6.0,42234
75,C.C=C(O)C(O)=CN,7.0,6.0,8.0,7.0,6.0,42251
76,C.C=C1OC1=CN.O,7.0,6.0,8.0,7.0,6.0,42256
77,C.C=C1NC=C1O.O,7.0,6.0,8.0,7.0,6.0,42271
78,C.C=C1NC=C1O.O,7.0,6.0,8.0,7.0,6.0,42276
79,C.C=COC(O)=CN,7.0,6.0,8.0,7.0,6.0,42310
80,C.C=CO.NC=C=O,7.0,6.0,8.0,7.0,6.0,42312
81,C.NC=C1C=CO1.O,7.0,6.0,8.0,7.0,6.0,42426
82,C.NC=C(O)C=CO,7.0,6.0,8.0,7.0,6.0,42429
83,C.C=COC(O)=CN,7.0,6.0,8.0,7.0,6.0,42552
84,C.NC=C(O)C=CO,7.0,6.0,8.0,7.0,6.0,42666
85,C.NC=C1C=CO1.O,7.0,6.0,8.0,7.0,6.0,42671
86,C.C=CNC=C(O)O,7.0,6.0,8.0,7.0,6.0,42897
87,C.C=CNC=C=O.O,7.0,6.0,8.0,7.0,6.0,42901
88,C.O.Oc1cc[nH]c1,7.0,6.0,8.0,7.0,6.0,43009
89,C.O.Oc1cc[nH]c1,7.0,6.0,8.0,7.0,6.0,43014
90,C.C#C.NC=C(O)O,7.0,6.0,8.0,7.0,6.0,43901
91,C.C#C.NC=C=O.O,7.0,6.0,8.0,7.0,6.0,43906
92,C.C#CC(O)=CN.O,7.0,6.0,8.0,7.0,6.0,44036
93,C.C#CC(O)=CN.O,7.0,6.0,8.0,7.0,6.0,44043
94,C.CC.NC1=C(O)O1,8.0,7.0,7.0,6.0,6.0,46200
95,C.CC.NC(O)=C=O,8.0,7.0,7.0,6.0,6.0,46202
96,C.CCC1=C(N)O1.O,8.0,7.0,7.0,6.0,6.0,46337
97,C.CCC(O)=C(N)O,8.0,7.0,7.0,6.0,6.0,46340
98,C.C=C.NC1=C(O)O1,7.0,6.0,8.0,7.0,6.0,47660
99,C.C=C.NC(O)=C=O,7.0,6.0,8.0,7.0,6.0,47662
100,C.C=CC1=C(N)O1.O,7.0,6.0,8.0,7.0,6.0,47776
101,C.C=CC(O)=C(N)O,7.0,6.0,8.0,7.0,6.0,47779
102,C.CC.NC1=C(O)O1,8.0,7.0,7.0,6.0,6.0,50614
103,C.CCC(O)=C(N)O,8.0,7.0,7.0,6.0,6.0,50749
104,C.CCC1=C(N)O1.O,8.0,7.0,7.0,6.0,6.0,50754
105,C.C=C.NC1=C(O)O1,7.0,6.0,8.0,7.0,6.0,52074
106,C.C=CC(O)=C(N)O,7.0,6.0,8.0,7.0,6.0,52188
107,C.C=CC1=C(N)O1.O,7.0,6.0,8.0,7.0,6.0,52193
108,C.CC.N=C=C(O)O,8.0,7.0,7.0,6.0,6.0,55028
109,C.CC.N=C=C=O.O,8.0,7.0,7.0,6.0,6.0,55032
110,C.CCC(O)=C=N.O,8.0,7.0,7.0,6.0,6.0,55161
111,C.CCC(O)=C=N.O,8.0,7.0,7.0,6.0,6.0,55166
112,C.C=C.N=C=C(O)O,7.0,6.0,8.0,7.0,6.0,56488
113,C.C=C.N=C=C=O.O,7.0,6.0,8.0,7.0,6.0,56492
114,C.C=CC(O)=C=N.O,7.0,6.0,8.0,7.0,6.0,56600
115,C.C=CC(O)=C=N.O,7.0,6.0,8.0,7.0,6.0,56605
116,C.C.CC.N.OCO,8.0,7.0,7.0,6.0,6.0,75869
117,C.C.C=O.CC.N.O,8.0,7.0,7.0,6.0,6.0,75876
118,C.C.CC.N.O=CO,7.0,6.0,6.0,5.0,5.0,75879
119,C.C.CC.NOC=O,8.0,7.0,7.0,6.0,6.0,75880
120,C.C.CC.N.O=C=O,8.0,7.0,7.0,6.0,6.0,75881
121,C.C.CC.NC(=O)O,8.0,7.0,7.0,6.0,6.0,75920
122,C.C.CCOC=O.N,8.0,7.0,7.0,6.0,6.0,75974
123,C.C.CCN.O=CO,8.0,7.0,7.0,6.0,6.0,76207
124,C.C.CCCO.N.O,8.0,7.0,7.0,6.0,6.0,76506
125,C.C.CCCO.N.O,8.0,7.0,7.0,6.0,6.0,76517
126,C.C.CCC(O)O.N,7.0,6.0,6.0,5.0,5.0,76525
127,C.C.CCC1OO1.N,8.0,7.0,7.0,6.0,6.0,76526
128,C.C.CCC(O)ON,8.0,7.0,7.0,6.0,6.0,76527
