,smiles,ac2_am2,ac2_am3,ac3_am2,ac3_am3,min_dist_all,local_index
0,C.C.C.C.CO.N.O,8.0,7.0,7.0,6.0,6.0,13
1,C.C.C.C.CO.N.O,8.0,7.0,7.0,6.0,6.0,24
2,C.C.C.C.N.OCO,7.0,6.0,6.0,5.0,5.0,32
3,C.C.C.C.C1OO1.N,8.0,7.0,7.0,6.0,6.0,33
4,C.C.C.C.NOCO,8.0,7.0,7.0,6.0,6.0,34
5,C.C.C.C.NOCO,8.0,7.0,7.0,6.0,6.0,35
6,C.C.C.C.N.O=CO,8.0,7.0,7.0,6.0,6.0,37
7,C.C.C.C.C=O.N.O,7.0,6.0,6.0,5.0,5.0,39
8,C.C.C.C.C=O.NO,8.0,7.0,7.0,6.0,6.0,40
9,C.C.C.C.N.O=CO,6.0,5.0,5.0,4.0,4.0,42
10,C.C.C.C.NOC=O,7.0,6.0,6.0,5.0,5.0,43
11,C.C.C.C.N.O=C=O,7.0,6.0,6.0,5.0,5.0,44
12,C.C.C.C.NC(O)O,8.0,7.0,7.0,6.0,6.0,73
13,C.C.C.C.NC=O.O,8.0,7.0,7.0,6.0,6.0,80
14,C.C.C.C.NC(=O)O,7.0,6.0,6.0,5.0,5.0,83
15,C.C.C.C.O=C1NO1,8.0,7.0,7.0,6.0,6.0,84
16,C.C.C.COCO.N,8.0,7.0,7.0,6.0,6.0,133
17,C.C.C.C=O.CO.N,8.0,7.0,7.0,6.0,6.0,135
18,C.C.C.COC=O.N,7.0,6.0,6.0,5.0,5.0,137
19,C.C.C.COC(N)=O,8.0,7.0,7.0,6.0,6.0,157
20,C.C.C.COCO.N,8.0,7.0,7.0,6.0,6.0,215
21,C.C.C.CN.OCO,8.0,7.0,7.0,6.0,6.0,364
22,C.C.C.C=O.CN.O,8.0,7.0,7.0,6.0,6.0,371
23,C.C.C.CN.O=CO,7.0,6.0,6.0,5.0,5.0,374
24,C.C.C.CNOC=O,8.0,7.0,7.0,6.0,6.0,375
25,C.C.C.CN.O=C=O,8.0,7.0,7.0,6.0,6.0,376
26,C.C.C.CNC(=O)O,8.0,7.0,7.0,6.0,6.0,404
27,C.C.C.NCOC=O,8.0,7.0,7.0,6.0,6.0,436
28,C.C.C.C=N.O=CO,8.0,7.0,7.0,6.0,6.0,598
29,C.C.C.CC.N.O.O,8.0,7.0,7.0,6.0,6.0,722
30,C.C.C.CCO.N.O,7.0,6.0,6.0,5.0,5.0,735
31,C.C.C.CCOO.N,8.0,7.0,7.0,6.0,6.0,736
32,C.C.C.CCON.O,8.0,7.0,7.0,6.0,6.0,737
33,C.C.C.CCO.NO,8.0,7.0,7.0,6.0,6.0,738
34,C.C.C.CC=O.N.O,8.0,7.0,7.0,6.0,6.0,743
35,C.C.C.CCO.N.O,7.0,6.0,6.0,5.0,5.0,746
36,C.C.C.CCOO.N,8.0,7.0,7.0,6.0,6.0,747
37,C.C.C.CCO.NO,8.0,7.0,7.0,6.0,6.0,748
38,C.C.C.CCON.O,8.0,7.0,7.0,6.0,6.0,751
39,C.C.C.CC(O)O.N,6.0,5.0,5.0,4.0,4.0,754
40,C.C.C.CC1OO1.N,7.0,6.0,6.0,5.0,5.0,755
41,C.C.C.CC(O)ON,7.0,6.0,6.0,5.0,5.0,756
42,C.C.C.CC(O)ON,7.0,6.0,6.0,5.0,5.0,757
43,C.C.C.CC1ONO1,8.0,7.0,7.0,6.0,6.0,758
44,C.C.C.CC(=O)O.N,7.0,6.0,6.0,5.0,5.0,759
45,C.C.C.CC(=O)ON,8.0,7.0,7.0,6.0,6.0,760
46,C.C.C.CC=O.N.O,6.0,5.0,5.0,4.0,4.0,761
47,C.C.C.CC=O.NO,7.0,6.0,6.0,5.0,5.0,762
48,C.C.C.CC=O.N=O,8.0,7.0,7.0,6.0,6.0,763
