,smiles,ac2_am2,ac2_am3,ac3_am2,ac3_am3,min_dist_all,local_index
0,C.CC=CC(=O)O.N,8.0,7.0,7.0,6.0,6.0,3549
1,C.N.OC1(O)C=CC1,8.0,7.0,7.0,6.0,6.0,4129
2,C.N.O.O=C1C=CC1,8.0,7.0,7.0,6.0,6.0,4134
3,C.C=C=CC(=O)O.N,7.0,6.0,8.0,7.0,6.0,7077
4,C.N.OC1(O)C=C=C1,7.0,6.0,8.0,7.0,6.0,7529
5,C.N.O.O=C1C=C=C1,7.0,6.0,8.0,7.0,6.0,7534
6,C.C.C=C(N)C(=O)O,8.0,7.0,7.0,6.0,6.0,18703
7,C.C=C(N)C(C)(O)O,8.0,7.0,7.0,6.0,6.0,19079
8,C.C=C(N)C(C)=O.O,8.0,7.0,7.0,6.0,6.0,19084
9,C.CC=C(N)C(O)O,8.0,7.0,7.0,6.0,6.0,23501
10,C.CC=C(N)C=O.O,8.0,7.0,7.0,6.0,6.0,23508
11,C.CC=C(N)C(=O)O,7.0,6.0,6.0,5.0,5.0,23511
12,C.CC=C1NOC1=O,8.0,7.0,7.0,6.0,6.0,23512
13,C.NC1=CCOC1=O,8.0,7.0,7.0,6.0,6.0,23564
14,C.O=C(O)C1=CCN1,8.0,7.0,7.0,6.0,6.0,23717
15,C.NC1=CCC1O.O,8.0,7.0,7.0,6.0,6.0,23846
16,C.NC1=CCC1O.O,8.0,7.0,7.0,6.0,6.0,23856
17,C.NC1=CCC1(O)O,7.0,6.0,6.0,5.0,5.0,23863
18,C.NC1=CCC12OO2,8.0,7.0,7.0,6.0,6.0,23864
19,C.OC12CC=C1NO2,8.0,7.0,7.0,6.0,6.0,23865
20,C.OC12CC=C1NO2,8.0,7.0,7.0,6.0,6.0,23866
21,C.NC1=CCC1=O.O,7.0,6.0,6.0,5.0,5.0,23868
22,C.O=C1CC=C1NO,8.0,7.0,7.0,6.0,6.0,23869
23,C.NC1=CC2OC12O,8.0,7.0,7.0,6.0,6.0,23906
24,C.NC1=CC(O)C1=O,8.0,7.0,7.0,6.0,6.0,23908
25,C.NC1=CC2OC12O,8.0,7.0,7.0,6.0,6.0,23951
26,C.OC1(O)C2=CC1N2,8.0,7.0,7.0,6.0,6.0,24016
27,C.O.O=C1C2=CC1N2,8.0,7.0,7.0,6.0,6.0,24020
28,C.CC1=C(N)C(=O)O1,8.0,7.0,7.0,6.0,6.0,24202
29,C.NC1=C2CC1(O)O2,8.0,7.0,7.0,6.0,6.0,24364
30,C.NC1=C(O)CC1=O,8.0,7.0,7.0,6.0,6.0,24366
31,C.NC1=C2CC1(O)O2,8.0,7.0,7.0,6.0,6.0,24716
32,C.CC1=C(C(=O)O)N1,8.0,7.0,7.0,6.0,6.0,24910
33,C.OC1(O)CC2=C1N2,8.0,7.0,7.0,6.0,6.0,25068
34,C.O.O=C1CC2=C1N2,8.0,7.0,7.0,6.0,6.0,25072
35,C.C=C=C(N)C(O)O,7.0,6.0,8.0,7.0,6.0,25745
36,C.C=C=C(N)C=O.O,7.0,6.0,8.0,7.0,6.0,25752
37,C.C=C=C(N)C(=O)O,6.0,5.0,7.0,6.0,5.0,25755
38,C.C=C=C1NOC1=O,7.0,6.0,8.0,7.0,6.0,25756
39,C.NC1=C=COC1=O,7.0,6.0,8.0,7.0,6.0,25808
40,C.O=C(O)C1=C=CN1,7.0,6.0,8.0,7.0,6.0,25945
41,C.NC1=C=CC1O.O,7.0,6.0,8.0,7.0,6.0,26028
42,C.NC1=C=CC1O.O,7.0,6.0,8.0,7.0,6.0,26038
43,C.NC1=C=CC1(O)O,6.0,5.0,7.0,6.0,5.0,26045
44,C.NC1=C=CC12OO2,7.0,6.0,8.0,7.0,6.0,26046
45,C.OC12C=C=C1NO2,7.0,6.0,8.0,7.0,6.0,26047
46,C.OC12C=C=C1NO2,7.0,6.0,8.0,7.0,6.0,26048
47,C.NC1=C=CC1=O.O,6.0,5.0,7.0,6.0,5.0,26050
48,C.O=C1C=C=C1NO,7.0,6.0,8.0,7.0,6.0,26051
49,C.NC1=C=C2OC12O,7.0,6.0,8.0,7.0,6.0,26088
50,C.NC1=C=C(O)C1=O,7.0,6.0,8.0,7.0,6.0,26090
51,C.NC1=C=C2OC12O,7.0,6.0,8.0,7.0,6.0,26122
52,C.OC1(O)C2=C=C1N2,7.0,6.0,8.0,7.0,6.0,26156
53,C.O.O=C1C2=C=C1N2,7.0,6.0,8.0,7.0,6.0,26160
54,C.C=CCC(=O)O.N,8.0,7.0,7.0,6.0,6.0,34435
55,C.C1=CC1.N.O=CO,8.0,7.0,7.0,6.0,6.0,42744
56,C.N.OC(O)C1C=C1,8.0,7.0,7.0,6.0,6.0,43254
57,C.N.O.O=CC1C=C1,8.0,7.0,7.0,6.0,6.0,43261
58,C.N.O=C(O)C1C=C1,7.0,6.0,6.0,5.0,5.0,43264
59,C.NOC(=O)C1C=C1,8.0,7.0,7.0,6.0,6.0,43265
60,C.N.O=C1OC12C=C2,8.0,7.0,7.0,6.0,6.0,43342
61,C.NC1(C(=O)O)C=C1,8.0,7.0,7.0,6.0,6.0,43466
62,C.N.O=C1OC2=CC12,8.0,7.0,7.0,6.0,6.0,43832
63,C.NC1=CC1C(=O)O,8.0,7.0,7.0,6.0,6.0,44774
64,C.C1=CC=1.N.O=CO,7.0,6.0,8.0,7.0,6.0,45736
65,C.N.OC(O)C1=C=C1,7.0,6.0,8.0,7.0,6.0,46046
66,C.N.O.O=CC1=C=C1,7.0,6.0,8.0,7.0,6.0,46053
67,C.N.O=C(O)C1=C=C1,6.0,5.0,7.0,6.0,5.0,46056
