,smiles,ac2_am2,ac2_am3,ac3_am2,ac3_am3,min_dist_all,local_index
0,C.CC(O)C=CO.N,7.0,6.0,8.0,7.0,6.0,118
1,C.CC1C=CO1.N.O,7.0,6.0,8.0,7.0,6.0,125
2,C.CC1(O)C=CO1.N,6.0,5.0,7.0,6.0,5.0,128
3,C.CC1(ON)C=CO1,7.0,6.0,8.0,7.0,6.0,129
4,C.CC12OC=C1O2.N,7.0,6.0,8.0,7.0,6.0,159
5,C.CC1(O)OC=C1N,7.0,6.0,8.0,7.0,6.0,203
6,C.CC12C=C(O1)O2.N,7.0,6.0,8.0,7.0,6.0,357
7,C.C=CN.CC(O)O,7.0,6.0,8.0,7.0,6.0,549
8,C.C=CN.CC=O.O,7.0,6.0,8.0,7.0,6.0,556
9,C.C=CN.CC(=O)O,6.0,5.0,7.0,6.0,5.0,559
10,C.C=CNOC(C)=O,7.0,6.0,8.0,7.0,6.0,560
11,C.CC(=O)OC=CN,7.0,6.0,8.0,7.0,6.0,612
12,C.C1=CN1.CC(=O)O,7.0,6.0,8.0,7.0,6.0,749
13,C.CC(O)C=CN.O,7.0,6.0,8.0,7.0,6.0,832
14,C.CC(O)C=CN.O,7.0,6.0,8.0,7.0,6.0,842
15,C.CC(O)(O)C=CN,6.0,5.0,7.0,6.0,5.0,849
16,C.CC1(C=CN)OO1,7.0,6.0,8.0,7.0,6.0,850
17,C.CC1(O)C=CNO1,7.0,6.0,8.0,7.0,6.0,851
18,C.CC1(O)C=CNO1,7.0,6.0,8.0,7.0,6.0,852
19,C.CC(=O)C=CN.O,6.0,5.0,7.0,6.0,5.0,854
20,C.CC(=O)C=CNO,7.0,6.0,8.0,7.0,6.0,855
21,C.CC1(O)OC1=CN,7.0,6.0,8.0,7.0,6.0,892
22,C.CC(=O)C(O)=CN,7.0,6.0,8.0,7.0,6.0,894
23,C.CC1(O)OC1=CN,7.0,6.0,8.0,7.0,6.0,926
24,C.CC(O)(O)C1=CN1,7.0,6.0,8.0,7.0,6.0,960
25,C.CC(=O)C1=CN1.O,7.0,6.0,8.0,7.0,6.0,964
26,C.C=C(N)OC(C)=O,7.0,6.0,8.0,7.0,6.0,1024
