,smiles,ac2_am2,ac2_am3,ac3_am2,ac3_am3,min_dist_all,local_index
77,C.C=CCC(O)ON,8.0,7.0,7.0,6.0,6.0,46063
78,C.C=CCC(O)ON,8.0,7.0,7.0,6.0,6.0,46064
79,C.C=CCC(=O)O.N,8.0,7.0,7.0,6.0,6.0,46066
80,C.C=CCC=O.N.O,7.0,6.0,6.0,5.0,5.0,46068
81,C.C=CCC=O.NO,8.0,7.0,7.0,6.0,6.0,46069
82,C.C=CCC(=O)O.N,6.0,5.0,5.0,4.0,4.0,46071
83,C.C=CCC(=O)ON,7.0,6.0,6.0,5.0,5.0,46072
84,C.C=CCC(N)(O)O,8.0,7.0,7.0,6.0,6.0,46101
85,C.C=CCC(N)=O.O,8.0,7.0,7.0,6.0,6.0,46106
86,C.C=CC1OC1O.N,8.0,7.0,7.0,6.0,6.0,46145
87,C.C=CC(O)C=O.N,8.0,7.0,7.0,6.0,6.0,46147
88,C.C=CC1OC1=O.N,7.0,6.0,6.0,5.0,5.0,46149
89,C.C=CC1OC1O.N,8.0,7.0,7.0,6.0,6.0,46217
90,C.C=CC(N)C(O)O,8.0,7.0,7.0,6.0,6.0,46327
91,C.C=CC(N)C=O.O,8.0,7.0,7.0,6.0,6.0,46334
92,C.C=CC(N)C(=O)O,7.0,6.0,6.0,5.0,5.0,46337
93,C.C=CC1NOC1=O,8.0,7.0,7.0,6.0,6.0,46338
94,C.C=CC1(N)OC1=O,8.0,7.0,7.0,6.0,6.0,46390
95,C.C=CC(=N)C(=O)O,8.0,7.0,7.0,6.0,6.0,46478
96,C.C=CC=C(O)O.N,8.0,7.0,7.0,6.0,6.0,46523
97,C.C=CC=C=O.N.O,8.0,7.0,7.0,6.0,6.0,46528
98,C.C=C(C)OC=O.N,8.0,7.0,7.0,6.0,6.0,46759
99,C.C=C1CC(O)O1.N,8.0,7.0,7.0,6.0,6.0,47045
100,C.C=C(O)CC=O.N,8.0,7.0,7.0,6.0,6.0,47047
101,C.C=C1CC(=O)O1.N,7.0,6.0,6.0,5.0,5.0,47049
102,C.C=C1OC(=O)C1N,8.0,7.0,7.0,6.0,6.0,47168
103,C.C=C1CC(O)O1.N,8.0,7.0,7.0,6.0,6.0,47687
104,C.C=C(C)N.O=CO,8.0,7.0,7.0,6.0,6.0,48057
105,C.C=C(N)CC(O)O,8.0,7.0,7.0,6.0,6.0,48433
106,C.C=C(N)CC=O.O,8.0,7.0,7.0,6.0,6.0,48440
107,C.C=C(N)CC(=O)O,7.0,6.0,6.0,5.0,5.0,48443
108,C.C=C1CC(=O)ON1,8.0,7.0,7.0,6.0,6.0,48444
109,C.C=C(N)C1OC1=O,8.0,7.0,7.0,6.0,6.0,48496
110,C.C=C1NC1C(=O)O,8.0,7.0,7.0,6.0,6.0,48633
111,C.C=C(C)C(=O)O.N,8.0,7.0,7.0,6.0,6.0,48931
112,C.C=C1CC1(O)O.N,8.0,7.0,7.0,6.0,6.0,49511
113,C.C=C1CC1=O.N.O,8.0,7.0,7.0,6.0,6.0,49516
114,C.C=C=C.N.OCO,7.0,6.0,8.0,7.0,6.0,49995
115,C.C=C=C.C=O.N.O,7.0,6.0,8.0,7.0,6.0,50002
116,C.C=C=C.N.O=CO,6.0,5.0,7.0,6.0,5.0,50005
117,C.C=C=C.NOC=O,7.0,6.0,8.0,7.0,6.0,50006
118,C.C=C=C.N.O=C=O,7.0,6.0,8.0,7.0,6.0,50007
119,C.C=C=C.NC(=O)O,7.0,6.0,8.0,7.0,6.0,50046
120,C.C=C=COC=O.N,7.0,6.0,8.0,7.0,6.0,50100
121,C.C=C=CN.O=CO,7.0,6.0,8.0,7.0,6.0,50311
122,C.C=C=CCO.N.O,7.0,6.0,8.0,7.0,6.0,50496
123,C.C=C=CCO.N.O,7.0,6.0,8.0,7.0,6.0,50507
124,C.C=C=CC(O)O.N,6.0,5.0,7.0,6.0,5.0,50515
125,C.C=C=CC1OO1.N,7.0,6.0,8.0,7.0,6.0,50516
126,C.C=C=CC(O)ON,7.0,6.0,8.0,7.0,6.0,50517
127,C.C=C=CC(O)ON,7.0,6.0,8.0,7.0,6.0,50518
128,C.C=C=CC(=O)O.N,7.0,6.0,8.0,7.0,6.0,50520
129,C.C=C=CC=O.N.O,6.0,5.0,7.0,6.0,5.0,50522
130,C.C=C=CC=O.NO,7.0,6.0,8.0,7.0,6.0,50523
131,C.C=C=CC(=O)O.N,5.0,4.0,6.0,5.0,4.0,50525
132,C.C=C=CC(=O)ON,6.0,5.0,7.0,6.0,5.0,50526
133,C.C=C=CC(N)(O)O,7.0,6.0,8.0,7.0,6.0,50555
134,C.C=C=CC(N)=O.O,7.0,6.0,8.0,7.0,6.0,50560
135,C.C=C=C1OC1O.N,7.0,6.0,8.0,7.0,6.0,50599
136,C.C=C=C(O)C=O.N,7.0,6.0,8.0,7.0,6.0,50601
137,C.C=C=C1OC1=O.N,6.0,5.0,7.0,6.0,5.0,50603
138,C.C=C=C1OC1O.N,7.0,6.0,8.0,7.0,6.0,50654
139,C.C=C=C(N)C(O)O,7.0,6.0,8.0,7.0,6.0,50717
140,C.C=C=C(N)C=O.O,7.0,6.0,8.0,7.0,6.0,50724
141,C.C=C=C(N)C(=O)O,6.0,5.0,7.0,6.0,5.0,50727
142,C.C=C=C1NOC1=O,7.0,6.0,8.0,7.0,6.0,50728
143,C.C=C=C=C(O)O.N,7.0,6.0,8.0,7.0,6.0,50793
144,C.C=C=C=C=O.N.O,7.0,6.0,8.0,7.0,6.0,50798
145,C.C=COC(C)=O.N,8.0,7.0,7.0,6.0,6.0,51164
146,C.CC=COC=O.N,8.0,7.0,7.0,6.0,6.0,55634
