,smiles,ac2_am2,ac2_am3,ac3_am2,ac3_am3,min_dist_all,local_index
0,C.CCCC(O)O.N,8.0,7.0,7.0,6.0,6.0,7984
1,C.CCCC=O.N.O,8.0,7.0,7.0,6.0,6.0,7991
2,C.CCCC(=O)O.N,7.0,6.0,6.0,5.0,5.0,7994
3,C.CCCC(=O)ON,8.0,7.0,7.0,6.0,6.0,7995
4,C.CC1CC(=O)O1.N,8.0,7.0,7.0,6.0,6.0,8072
5,C.CC(N)CC(=O)O,8.0,7.0,7.0,6.0,6.0,8260
6,C.CC1CC1O.N.O,8.0,7.0,7.0,6.0,6.0,8427
7,C.CC1CC1O.N.O,8.0,7.0,7.0,6.0,6.0,8438
8,C.CC1CC1(O)O.N,7.0,6.0,6.0,5.0,5.0,8446
9,C.CC1CC12OO2.N,8.0,7.0,7.0,6.0,6.0,8447
10,C.CC1CC1(O)ON,8.0,7.0,7.0,6.0,6.0,8448
11,C.CC1CC1(O)ON,8.0,7.0,7.0,6.0,6.0,8449
12,C.CC1CC1=O.N.O,7.0,6.0,6.0,5.0,5.0,8451
13,C.CC1CC1=O.NO,8.0,7.0,7.0,6.0,6.0,8452
14,C.CC12CC1(O)O2.N,8.0,7.0,7.0,6.0,6.0,8502
15,C.CC1(O)CC1=O.N,8.0,7.0,7.0,6.0,6.0,8504
16,C.CC12CC1(O)O2.N,8.0,7.0,7.0,6.0,6.0,8544
17,C.CC1(N)CC1(O)O,8.0,7.0,7.0,6.0,6.0,8594
18,C.CC1(N)CC1=O.O,8.0,7.0,7.0,6.0,6.0,8599
19,C.N.O=C1CCCO1,8.0,7.0,7.0,6.0,6.0,8682
20,C.N.OC12CC1CO2,8.0,7.0,7.0,6.0,6.0,8897
21,C.N.O=C1CC1CO,8.0,7.0,7.0,6.0,6.0,8899
22,C.N.OC12CC1CO2,8.0,7.0,7.0,6.0,6.0,9349
23,C.NCCCC(=O)O,8.0,7.0,7.0,6.0,6.0,9886
24,C.NCC1CC1(O)O,8.0,7.0,7.0,6.0,6.0,10176
25,C.NCC1CC1=O.O,8.0,7.0,7.0,6.0,6.0,10181
26,C.C=CCC(O)O.N,7.0,6.0,8.0,7.0,6.0,14638
27,C.C=CCC=O.N.O,7.0,6.0,8.0,7.0,6.0,14645
28,C.C=CCC(=O)O.N,6.0,5.0,7.0,6.0,5.0,14648
29,C.C=CCC(=O)ON,7.0,6.0,8.0,7.0,6.0,14649
30,C.C=C1CC(=O)O1.N,7.0,6.0,8.0,7.0,6.0,14726
31,C.C=C(N)CC(=O)O,7.0,6.0,8.0,7.0,6.0,14850
32,C.C=C1CC1O.N.O,7.0,6.0,8.0,7.0,6.0,14897
33,C.C=C1CC1O.N.O,7.0,6.0,8.0,7.0,6.0,14908
34,C.C=C1CC1(O)O.N,6.0,5.0,7.0,6.0,5.0,14916
35,C.C=C1CC12OO2.N,7.0,6.0,8.0,7.0,6.0,14917
36,C.C=C1CC1(O)ON,7.0,6.0,8.0,7.0,6.0,14918
37,C.C=C1CC1(O)ON,7.0,6.0,8.0,7.0,6.0,14919
38,C.C=C1CC1=O.N.O,6.0,5.0,7.0,6.0,5.0,14921
39,C.C=C1CC1=O.NO,7.0,6.0,8.0,7.0,6.0,14922
40,C.N.O=C1CC=CO1,7.0,6.0,8.0,7.0,6.0,14976
41,C.N.OC12CC1=CO2,7.0,6.0,8.0,7.0,6.0,15112
42,C.N.O=C1CC1=CO,7.0,6.0,8.0,7.0,6.0,15114
43,C.N.OC12CC1=CO2,7.0,6.0,8.0,7.0,6.0,15347
44,C.NC=CCC(=O)O,7.0,6.0,8.0,7.0,6.0,15556
45,C.NC=C1CC1(O)O,7.0,6.0,8.0,7.0,6.0,15738
46,C.NC=C1CC1=O.O,7.0,6.0,8.0,7.0,6.0,15743
47,C.C#CCC(=O)O.N,7.0,6.0,8.0,7.0,6.0,17026
48,C.CCC1OC1=O.N,8.0,7.0,7.0,6.0,6.0,22097
49,C.CC1C2OC12O.N,8.0,7.0,7.0,6.0,6.0,22312
50,C.CC1C(=O)C1O.N,8.0,7.0,7.0,6.0,6.0,22314
51,C.C=CC1OC1=O.N,7.0,6.0,8.0,7.0,6.0,25029
52,C.C=C1C2OC12O.N,7.0,6.0,8.0,7.0,6.0,25165
53,C.C=C1C(=O)C1O.N,7.0,6.0,8.0,7.0,6.0,25167
54,C.CC1C2OC12O.N,8.0,7.0,7.0,6.0,6.0,33489
55,C.C=C1C2OC12O.N,7.0,6.0,8.0,7.0,6.0,36342
56,C.C.CC(N)C(O)O,8.0,7.0,7.0,6.0,6.0,43693
57,C.C.CC(N)C=O.O,8.0,7.0,7.0,6.0,6.0,43700
58,C.C.CC(N)C(=O)O,7.0,6.0,6.0,5.0,5.0,43703
59,C.C.CC1NOC1=O,8.0,7.0,7.0,6.0,6.0,43704
60,C.C.NC1COC1=O,8.0,7.0,7.0,6.0,6.0,43756
