,smiles,ac2_am2,ac2_am3,ac3_am2,ac3_am3,min_dist_all,local_index
0,C.C=CC.CO.N.O,7.0,6.0,8.0,7.0,6.0,1282
1,C.C=CC.CO.N.O,7.0,6.0,8.0,7.0,6.0,1293
2,C.C=CC.N.OCO,6.0,5.0,7.0,6.0,5.0,1301
3,C.C1OO1.C=CC.N,7.0,6.0,8.0,7.0,6.0,1302
4,C.C=CC.NOCO,7.0,6.0,8.0,7.0,6.0,1303
5,C.C=CC.NOCO,7.0,6.0,8.0,7.0,6.0,1304
6,C.C=CC.N.O=CO,7.0,6.0,8.0,7.0,6.0,1306
7,C.C=CC.C=O.N.O,6.0,5.0,7.0,6.0,5.0,1308
8,C.C=CC.C=O.NO,7.0,6.0,8.0,7.0,6.0,1309
9,C.C=CC.N.O=CO,5.0,4.0,6.0,5.0,4.0,1311
10,C.C=CC.NOC=O,6.0,5.0,7.0,6.0,5.0,1312
11,C.C=CC.N.O=C=O,6.0,5.0,7.0,6.0,5.0,1313
12,C.C=CC.NC(O)O,7.0,6.0,8.0,7.0,6.0,1342
13,C.C=CC.NC=O.O,7.0,6.0,8.0,7.0,6.0,1349
14,C.C=CC.NC(=O)O,6.0,5.0,7.0,6.0,5.0,1352
15,C.C=CC.O=C1NO1,7.0,6.0,8.0,7.0,6.0,1353
16,C.C=C(C)OCO.N,7.0,6.0,8.0,7.0,6.0,1402
17,C.C=C(C)O.C=O.N,7.0,6.0,8.0,7.0,6.0,1404
18,C.C=C(C)OC=O.N,6.0,5.0,7.0,6.0,5.0,1406
19,C.C=C(C)OC(N)=O,7.0,6.0,8.0,7.0,6.0,1426
20,C.C=C(C)OCO.N,7.0,6.0,8.0,7.0,6.0,1465
21,C.C=C(C)N.OCO,7.0,6.0,8.0,7.0,6.0,1536
22,C.C=C(C)N.C=O.O,7.0,6.0,8.0,7.0,6.0,1543
23,C.C=C(C)N.O=CO,6.0,5.0,7.0,6.0,5.0,1546
24,C.C=C(C)NOC=O,7.0,6.0,8.0,7.0,6.0,1547
25,C.C=C(C)N.O=C=O,7.0,6.0,8.0,7.0,6.0,1548
26,C.C=C(C)NC(=O)O,7.0,6.0,8.0,7.0,6.0,1576
27,C.C=C(C)C.N.O.O,7.0,6.0,8.0,7.0,6.0,1589
28,C.C=C(C)CO.N.O,6.0,5.0,7.0,6.0,5.0,1602
29,C.C=C(C)COO.N,7.0,6.0,8.0,7.0,6.0,1603
30,C.C=C(C)CON.O,7.0,6.0,8.0,7.0,6.0,1604
31,C.C=C(C)CO.NO,7.0,6.0,8.0,7.0,6.0,1605
32,C.C=C(C)C=O.N.O,7.0,6.0,8.0,7.0,6.0,1610
33,C.C=C(C)CO.N.O,6.0,5.0,7.0,6.0,5.0,1613
34,C.C=C(C)COO.N,7.0,6.0,8.0,7.0,6.0,1614
35,C.C=C(C)CO.NO,7.0,6.0,8.0,7.0,6.0,1615
36,C.C=C(C)CON.O,7.0,6.0,8.0,7.0,6.0,1618
37,C.C=C(C)C(O)O.N,5.0,4.0,6.0,5.0,4.0,1621
38,C.C=C(C)C1OO1.N,6.0,5.0,7.0,6.0,5.0,1622
39,C.C=C(C)C(O)ON,6.0,5.0,7.0,6.0,5.0,1623
40,C.C=C(C)C(O)ON,6.0,5.0,7.0,6.0,5.0,1624
41,C.C=C(C)C1ONO1,7.0,6.0,8.0,7.0,6.0,1625
42,C.C=C(C)C(=O)O.N,6.0,5.0,7.0,6.0,5.0,1626
43,C.C=C(C)C(=O)ON,7.0,6.0,8.0,7.0,6.0,1627
44,C.C=C(C)C=O.N.O,5.0,4.0,6.0,5.0,4.0,1628
45,C.C=C(C)C=O.NO,6.0,5.0,7.0,6.0,5.0,1629
46,C.C=C(C)C=O.N=O,7.0,6.0,8.0,7.0,6.0,1630
47,C.C=C(C)C(=O)O.N,4.0,3.0,5.0,4.0,3.0,1631
48,C.C=C(C)C(=O)ON,5.0,4.0,6.0,5.0,4.0,1632
49,C.C=C(C)C(N)O.O,7.0,6.0,8.0,7.0,6.0,1644
50,C.C=C(C)C(N)O.O,7.0,6.0,8.0,7.0,6.0,1654
51,C.C=C(C)C(N)(O)O,6.0,5.0,7.0,6.0,5.0,1661
52,C.C=C(C)C1(N)OO1,7.0,6.0,8.0,7.0,6.0,1662
53,C.C=C(C)C1(O)NO1,7.0,6.0,8.0,7.0,6.0,1663
54,C.C=C(C)C1(O)NO1,7.0,6.0,8.0,7.0,6.0,1664
55,C.C=C(C)C(N)=O.O,6.0,5.0,7.0,6.0,5.0,1666
56,C.C=C(C)C(=O)NO,7.0,6.0,8.0,7.0,6.0,1667
57,C.CC=COCO.N,7.0,6.0,8.0,7.0,6.0,1705
