rmat_tag,pdt_smiles,frag_in_large,pdt_cleaned
94679,[13C].[14C][15N]1[17O][17C]([16C])[18O]1.[15C],[14C][15N]1[17O][17C]([16C])[18O]1,CN1OC(C)O1
94686,[13C].[14C][15N][18O][17C]([16C])=[17O].[15C],[14C][15N][18O][17C]([16C])=[17O],CNOC(C)=O
94687,[13C].[14C][15N][17C][16C].[15C].[17O].[18O],[14C][15N][17C][16C],CNCC
94701,[13C].[14C][15N][17C]([16C])[17O].[15C].[18O],[14C][15N][17C]([16C])[17O],CNC(C)O
94702,[13C].[14C][15N][17C]([16C])[17O][18O].[15C],[14C][15N][17C]([16C])[17O][18O],CNC(C)OO
94703,[13C].[14C][15N]([18O])[17C]([16C])[17O].[15C],[14C][15N]([18O])[17C]([16C])[17O],CN(O)C(C)O
94705,[13C].[14C][15N]1[17O][17C]1[16C].[15C].[18O],[14C][15N]1[17O][17C]1[16C],CN1OC1C
94706,[13C].[14C][15N][17C]([16C])([17O])[18O].[15C],[14C][15N][17C]([16C])([17O])[18O],CNC(C)(O)O
94707,[13C].[14C][15N][17C]1([16C])[17O][18O]1.[15C],[14C][15N][17C]1([16C])[17O][18O]1,CNC1(C)OO1
94708,[13C].[14C][15N]1[18O][17C]1([16C])[17O].[15C],[14C][15N]1[18O][17C]1([16C])[17O],CN1OC1(C)O
94710,[13C].[14C][15N][17C]([16C])=[17O].[15C].[18O],[14C][15N][17C]([16C])=[17O],CNC(C)=O
94711,[13C].[14C][15N]([18O])[17C]([16C])=[17O].[15C],[14C][15N]([18O])[17C]([16C])=[17O],CN(O)C(C)=O
94715,[13C].[14C][15N]=[17C]([16C])[18O].[15C].[17O],[14C][15N]=[17C]([16C])[18O],CN=C(C)O
94737,[13C].[14C][15N][18O][16C][17C]=[17O].[15C],[14C][15N][18O][16C][17C]=[17O],CNOCC=O
94752,[13C].[14C][15N][17C](=[17O])[16C][18O].[15C],[14C][15N][17C](=[17O])[16C][18O],CNC(=O)CO
94753,[13C].[14C][15N]1[18O][16C][17C]1=[17O].[15C],[14C][15N]1[18O][16C][17C]1=[17O],CN1OCC1=O
94781,[13C].[14C][15N][18O][17C][16C][17O].[15C],[14C][15N][18O][17C][16C][17O],CNOCCO
94782,[13C].[14C][15N][17O][16C][17C][18O].[15C],[14C][15N][17O][16C][17C][18O],CNOCCO
94790,[13C].[14C][15N][18O][17C]1[16C][17O]1.[15C],[14C][15N][18O][17C]1[16C][17O]1,CNOC1CO1
94797,[13C].[14C][15N][17C]([18O])[16C][17O].[15C],[14C][15N][17C]([18O])[16C][17O],CNC(O)CO
94803,[13C].[14C][15N][17C]1[16C][17O]1.[15C].[18O],[14C][15N][17C]1[16C][17O]1,CNC1CO1
94805,[13C].[14C][15N][17C]1([18O])[16C][17O]1.[15C],[14C][15N][17C]1([18O])[16C][17O]1,CNC1(O)CO1
94806,[13C].[14C][15N]1[18O][17C]12[16C][17O]2.[15C],[14C][15N]1[18O][17C]12[16C][17O]2,CN1OC12CO2
94864,[13C].[14C][15N][16C][17C].[15C].[17O].[18O],[14C][15N][16C][17C],CNCC
94872,[13C].[14C][15N][16C][17C][18O][17O].[15C],[14C][15N][16C][17C][18O][17O],CNCCOO
94873,[13C].[14C][15N]1[16C][17C][18O]1.[15C].[17O],[14C][15N]1[16C][17C][18O]1,CN1CCO1
94874,[13C].[14C][15N]([17O])[16C][17C][18O].[15C],[14C][15N]([17O])[16C][17C][18O],CN(O)CCO
94878,[13C].[14C][15N][16C][17C][17O].[15C].[18O],[14C][15N][16C][17C][17O],CNCCO
94883,[13C].[14C][15N][16C][17C]([17O])[18O].[15C],[14C][15N][16C][17C]([17O])[18O],CNCC(O)O
94884,[13C].[14C][15N][16C][17C]1[17O][18O]1.[15C],[14C][15N][16C][17C]1[17O][18O]1,CNCC1OO1
94885,[13C].[14C][15N]1[16C][17C]([17O])[18O]1.[15C],[14C][15N]1[16C][17C]([17O])[18O]1,CN1CC(O)O1
94889,[13C].[14C][15N][16C][17C]=[17O].[15C].[18O],[14C][15N][16C][17C]=[17O],CNCC=O
94890,[13C].[14C][15N]([18O])[16C][17C]=[17O].[15C],[14C][15N]([18O])[16C][17C]=[17O],CN(O)CC=O
94891,[13C].[14C][15N][16C][17C](=[17O])[18O].[15C],[14C][15N][16C][17C](=[17O])[18O],CNCC(=O)O
94892,[13C].[14C][15N]1[16C][17C](=[17O])[18O]1.[15C],[14C][15N]1[16C][17C](=[17O])[18O]1,CN1CC(=O)O1
94899,[13C].[14C][15N]1[16C][17C]1[17O].[15C].[18O],[14C][15N]1[16C][17C]1[17O],CN1CC1O
94901,[13C].[14C][15N]1[16C][17C]1([17O])[18O].[15C],[14C][15N]1[16C][17C]1([17O])[18O],CN1CC1(O)O
94902,[13C].[14C][15N]1[16C][17C]12[17O][18O]2.[15C],[14C][15N]1[16C][17C]12[17O][18O]2,CN1CC12OO2
94903,[13C].[14C][15N]1[16C][17C]1=[17O].[15C].[18O],[14C][15N]1[16C][17C]1=[17O],CN1CC1=O
95035,[13C].[14C][15N][17O][17C]=[16C].[15C].[18O],[14C][15N][17O][17C]=[16C],CNOC=C
95040,[13C].[14C][15N][17O][17C](=[16C])[18O].[15C],[14C][15N][17O][17C](=[16C])[18O],CNOC(=C)O
95041,[13C].[14C][15N]1[17O][17C](=[16C])[18O]1.[15C],[14C][15N]1[17O][17C](=[16C])[18O]1,CN1OC(=C)O1
95057,[13C].[14C][15N][17C](=[16C])[17O].[15C].[18O],[14C][15N][17C](=[16C])[17O],CNC(=C)O
95469,[13C].[14C][15N]([16C])[17C](=[17O])[18O][15C],[14C][15N]([16C])[17C](=[17O])[18O][15C],CN(C)C(=O)OC
95540,[13C].[14C][15N][17O][17C]([16C])[18O][15C],[14C][15N][17O][17C]([16C])[18O][15C],CNOC(C)OC
95549,[13C].[14C][15N][17C]([16C])[18O][15C].[17O],[14C][15N][17C]([16C])[18O][15C],CNC(C)OC
95555,[13C].[14C][15N][17C]([16C])([17O])[18O][15C],[14C][15N][17C]([16C])([17O])[18O][15C],CNC(C)(O)OC
95556,[13C].[14C][15N]1[17O][17C]1([16C])[18O][15C],[14C][15N]1[17O][17C]1([16C])[18O][15C],CN1OC1(C)OC
