rmat_tag,pdt_smiles,frag_in_large,pdt_cleaned
1005670,[13C].[14C][15N][17C]([16C][15C])[18O][17O],[14C][15N][17C]([16C][15C])[18O][17O],CNC(CC)OO
1005671,[13C].[14C][15N]1[18O][17C]1[16C][15C].[17O],[14C][15N]1[18O][17C]1[16C][15C],CN1OC1CC
1005672,[13C].[14C][15N]([17O])[17C]([18O])[16C][15C],[14C][15N]([17O])[17C]([18O])[16C][15C],CN(O)C(O)CC
1005679,[13C].[14C][15N]1[18O][17O][17C]1[16C][15C],[14C][15N]1[18O][17O][17C]1[16C][15C],CN1OOC1CC
1005681,[13C].[14C][15N][17C]([17O])([18O])[16C][15C],[14C][15N][17C]([17O])([18O])[16C][15C],CNC(O)(O)CC
1005682,[13C].[14C][15N][17C]1([16C][15C])[17O][18O]1,[14C][15N][17C]1([16C][15C])[17O][18O]1,CNC1(CC)OO1
1005684,[13C].[14C][15N]1[17O][17C]1([18O])[16C][15C],[14C][15N]1[17O][17C]1([18O])[16C][15C],CN1OC1(O)CC
1005685,[13C].[14C][15N][17C](=[17O])[16C][15C].[18O],[14C][15N][17C](=[17O])[16C][15C],CNC(=O)CC
1005686,[13C].[14C][15N]([18O])[17C](=[17O])[16C][15C],[14C][15N]([18O])[17C](=[17O])[16C][15C],CN(O)C(=O)CC
1005687,[13C].[14C][15N]=[17C][16C][15C].[17O].[18O],[14C][15N]=[17C][16C][15C],CN=CCC
1005690,[13C].[14C][15N]=[17C]([18O])[16C][15C].[17O],[14C][15N]=[17C]([18O])[16C][15C],CN=C(O)CC
1005693,[13C].[14C][15N]=[17C]([16C][15C])[17O][18O],[14C][15N]=[17C]([16C][15C])[17O][18O],CN=C(CC)OO
1006122,[13C].[14C][15N][17O][17C][18O][15C][16C],[14C][15N][17O][17C][18O][15C][16C],CNOCOCC
1006124,[13C].[14C][15N][18O][15C][16C].[17C]=[17O],[14C][15N][18O][15C][16C],CNOCC
1006131,[13C].[14C][15N][17C][18O][15C][16C].[17O],[14C][15N][17C][18O][15C][16C],CNCOCC
1006137,[13C].[14C][15N][17C]([17O])[18O][15C][16C],[14C][15N][17C]([17O])[18O][15C][16C],CNC(O)OCC
1006138,[13C].[14C][15N]1[17O][17C]1[18O][15C][16C],[14C][15N]1[17O][17C]1[18O][15C][16C],CN1OC1OCC
1006140,[13C].[14C][15N]([17C]=[17O])[18O][15C][16C],[14C][15N]([17C]=[17O])[18O][15C][16C],CN(C=O)OCC
1006141,[13C].[14C][15N][17C](=[17O])[18O][15C][16C],[14C][15N][17C](=[17O])[18O][15C][16C],CNC(=O)OCC
1006147,[13C].[14C][15N]=[17C]([17O])[18O][15C][16C],[14C][15N]=[17C]([17O])[18O][15C][16C],CN=C(O)OCC
1006181,[13C].[14C][15N][17C]1[17O][16C][15C][18O]1,[14C][15N][17C]1[17O][16C][15C][18O]1,CNC1OCCO1
1006211,[13C].[14C][15N][16C][15C][18O][17C].[17O],[14C][15N][16C][15C][18O][17C],CNCCOC
1006217,[13C].[14C][15N][16C][15C][18O][17C][17O],[14C][15N][16C][15C][18O][17C][17O],CNCCOCO
1006218,[13C].[14C][15N]1[16C][15C][18O][17C][17O]1,[14C][15N]1[16C][15C][18O][17C][17O]1,CN1CCOCO1
1006219,[13C].[14C][15N][16C][15C][18O].[17C]=[17O],[14C][15N][16C][15C][18O],CNCCO
1006220,[13C].[14C][15N]1[16C][15C][18O]1.[17C]=[17O],[14C][15N]1[16C][15C][18O]1,CN1CCO1
1006221,[13C].[14C][15N][16C][15C][18O][17C]=[17O],[14C][15N][16C][15C][18O][17C]=[17O],CNCCOC=O
1006227,[13C].[14C][15N]1[16C][15C][18O][17C]1[17O],[14C][15N]1[16C][15C][18O][17C]1[17O],CN1CCOC1O
1006228,[13C].[14C][15N]([16C][15C][18O])[17C]=[17O],[14C][15N]([16C][15C][18O])[17C]=[17O],CN(CCO)C=O
1006229,[13C].[14C][15N]1[16C][15C][18O][17C]1=[17O],[14C][15N]1[16C][15C][18O][17C]1=[17O],CN1CCOC1=O
1006280,[13C].[14C][15N][18O][15C][16C][17C].[17O],[14C][15N][18O][15C][16C][17C],CNOCCC
1006290,[13C].[14C][15N][18O][15C][16C][17C][17O],[14C][15N][18O][15C][16C][17C][17O],CNOCCCO
1006291,[13C].[14C][15N][17O][17C][16C][15C][18O],[14C][15N][17O][17C][16C][15C][18O],CNOCCCO
1006292,[13C].[14C][15N]1[17O][17C][16C][15C][18O]1,[14C][15N]1[17O][17C][16C][15C][18O]1,CN1OCCCO1
1006294,[13C].[14C][15N][17O][17C]1[16C][15C][18O]1,[14C][15N][17O][17C]1[16C][15C][18O]1,CNOC1CCO1
1006296,[13C].[14C][15N][18O][15C][16C][17C]=[17O],[14C][15N][18O][15C][16C][17C]=[17O],CNOCCC=O
1006298,[13C].[14C][15N][17C][16C][15C][18O].[17O],[14C][15N][17C][16C][15C][18O],CNCCCO
1006303,[13C].[14C][15N][17C]1[16C][15C][18O]1.[17O],[14C][15N][17C]1[16C][15C][18O]1,CNC1CCO1
1006304,[13C].[14C][15N]([17O])[17C]1[16C][15C][18O]1,[14C][15N]([17O])[17C]1[16C][15C][18O]1,CN(O)C1CCO1
1006306,[13C].[14C][15N][17C]1[16C][15C][18O][17O]1,[14C][15N][17C]1[16C][15C][18O][17O]1,CNC1CCOO1
1006307,[13C].[14C][15N]1[18O][15C][16C][17C]1[17O],[14C][15N]1[18O][15C][16C][17C]1[17O],CN1OCCC1O
1006308,[13C].[14C][15N]1[17O][17C]1[16C][15C][18O],[14C][15N]1[17O][17C]1[16C][15C][18O],CN1OC1CCO
1006310,[13C].[14C][15N]1[17O][17C]12[16C][15C][18O]2,[14C][15N]1[17O][17C]12[16C][15C][18O]2,CN1OC12CCO2
1006311,[13C].[14C][15N][17C](=[17O])[16C][15C][18O],[14C][15N][17C](=[17O])[16C][15C][18O],CNC(=O)CCO
1006312,[13C].[14C][15N]1[18O][15C][16C][17C]1=[17O],[14C][15N]1[18O][15C][16C][17C]1=[17O],CN1OCCC1=O
1006315,[13C].[14C][15N]=[17C]1[16C][15C][18O]1.[17O],[14C][15N]=[17C]1[16C][15C][18O]1,CN=C1CCO1
1006316,[13C].[14C][15N]=[17C]([17O])[16C][15C][18O],[14C][15N]=[17C]([17O])[16C][15C][18O],CN=C(O)CCO
1006555,[13C].[14C][15N][16C][15C]=[18O].[17C]=[17O],[14C][15N][16C][15C]=[18O],CNCC=O
1006581,[13C].[14C][15N][17C](=[17O])[16C][15C]=[18O],[14C][15N][17C](=[17O])[16C][15C]=[18O],CNC(=O)CC=O
1006840,[13C].[14C][15N][17C]([18O])[16C][15C][17O],[14C][15N][17C]([18O])[16C][15C][17O],CNC(O)CCO
1006848,[13C].[14C][15N][17C]1([18O])[16C][15C][17O]1,[14C][15N][17C]1([18O])[16C][15C][17O]1,CNC1(O)CCO1
1007081,[13C].[14C][15N][17C]1[17O][15C]([16C])[18O]1,[14C][15N][17C]1[17O][15C]([16C])[18O]1,CNC1OC(C)O1
1007114,[13C].[14C][15N][16C][15C]1[17O][17C][18O]1,[14C][15N][16C][15C]1[17O][17C][18O]1,CNCC1OCO1
1007149,[13C].[14C][15N][18O][15C]1[16C][17C][17O]1,[14C][15N][18O][15C]1[16C][17C][17O]1,CNOC1CCO1
1007157,[13C].[14C][15N][17C]1[16C][15C]([18O])[17O]1,[14C][15N][17C]1[16C][15C]([18O])[17O]1,CNC1CC(O)O1
1007159,[13C].[14C][15N][17C]12[16C][15C]([17O]1)[18O]2,[14C][15N][17C]12[16C][15C]([17O]1)[18O]2,CNC12CC(O1)O2
1007382,[13C].[14C][15N][18O][17C][16C][15C]=[17O],[14C][15N][18O][17C][16C][15C]=[17O],CNOCCC=O
1007386,[13C].[14C][15N][17C]([18O])[16C][15C]=[17O],[14C][15N][17C]([18O])[16C][15C]=[17O],CNC(O)CC=O
1007529,[13C].[14C][15N]([15C][16C])[17O][17C].[18O],[14C][15N]([15C][16C])[17O][17C],CN(CC)OC
1007533,[13C].[14C][15N]([15C][16C])[17O][17C][18O],[14C][15N]([15C][16C])[17O][17C][18O],CN(CC)OCO
1007537,[13C].[14C][15N]([18O])[15C][16C].[17C]=[17O],[14C][15N]([18O])[15C][16C],CN(O)CC
1007538,[13C].[14C][15N][15C][16C].[17O]=[17C][18O],[14C][15N][15C][16C],CNCC
1007539,[13C].[14C][15N]([15C][16C])[18O][17C]=[17O],[14C][15N]([15C][16C])[18O][17C]=[17O],CN(CC)OC=O
1007547,[13C].[14C][15N]([15C][16C])[17C][17O].[18O],[14C][15N]([15C][16C])[17C][17O],CN(CC)CO
1007549,[13C].[14C][15N]([15C][16C])[17C]([17O])[18O],[14C][15N]([15C][16C])[17C]([17O])[18O],CN(CC)C(O)O
1007550,[13C].[14C][15N]([15C][16C])[17C]1[17O][18O]1,[14C][15N]([15C][16C])[17C]1[17O][18O]1,CN(CC)C1OO1
1007552,[13C].[14C][15N]([15C][16C])[17C]=[17O].[18O],[14C][15N]([15C][16C])[17C]=[17O],CN(CC)C=O
1007553,[13C].[14C][15N]([15C][16C])[17C](=[17O])[18O],[14C][15N]([15C][16C])[17C](=[17O])[18O],CN(CC)C(=O)O
1007565,[13C].[14C][15N][15C][16C][18O][17C][17O],[14C][15N][15C][16C][18O][17C][17O],CNCCOCO
1007567,[13C].[14C][15N][15C][16C][18O].[17C]=[17O],[14C][15N][15C][16C][18O],CNCCO
1007568,[13C].[14C][15N]1[15C][16C][18O]1.[17C]=[17O],[14C][15N]1[15C][16C][18O]1,CN1CCO1
1007569,[13C].[14C][15N][15C][16C][18O][17C]=[17O],[14C][15N][15C][16C][18O][17C]=[17O],CNCCOC=O
1007576,[13C].[14C][15N]([15C][16C][18O])[17C]=[17O],[14C][15N]([15C][16C][18O])[17C]=[17O],CN(CCO)C=O
1007577,[13C].[14C][15N]1[15C][16C][18O][17C]1=[17O],[14C][15N]1[15C][16C][18O][17C]1=[17O],CN1CCOC1=O
1007597,[13C].[14C][15N][15C][16C][17O][17C].[18O],[14C][15N][15C][16C][17O][17C],CNCCOC
1007600,[13C].[14C][15N]1[15C][16C][17O][17C][18O]1,[14C][15N]1[15C][16C][17O][17C][18O]1,CN1CCOCO1
1007608,[13C].[14C][15N]1[15C][16C][17O][17C]1[18O],[14C][15N]1[15C][16C][17O][17C]1[18O],CN1CCOC1O
1007654,[13C].[14C][15N]1[15C][16C]1.[17O]=[17C][18O],[14C][15N]1[15C][16C]1,CN1CC1
1007683,[13C].[14C][15N][15C][16C][17C].[17O].[18O],[14C][15N][15C][16C][17C],CNCCC
1007688,[13C].[14C][15N]([17O])[15C][16C][17C].[18O],[14C][15N]([17O])[15C][16C][17C],CN(O)CCC
1007694,[13C].[14C][15N]1[15C][16C][17C][18O][17O]1,[14C][15N]1[15C][16C][17C][18O][17O]1,CN1CCCOO1
1007697,[13C].[14C][15N][15C][16C][17C][17O].[18O],[14C][15N][15C][16C][17C][17O],CNCCCO
1007698,[13C].[14C][15N][15C][16C][17C][17O][18O],[14C][15N][15C][16C][17C][17O][18O],CNCCCOO
1007699,[13C].[14C][15N]([18O])[15C][16C][17C][17O],[14C][15N]([18O])[15C][16C][17C][17O],CN(O)CCCO
1007701,[13C].[14C][15N]1[15C][16C][17C][17O]1.[18O],[14C][15N]1[15C][16C][17C][17O]1,CN1CCCO1
1007702,[13C].[14C][15N][15C][16C][17C]([17O])[18O],[14C][15N][15C][16C][17C]([17O])[18O],CNCCC(O)O
1007703,[13C].[14C][15N][15C][16C][17C]1[17O][18O]1,[14C][15N][15C][16C][17C]1[17O][18O]1,CNCCC1OO1
1007705,[13C].[14C][15N]1[15C][16C][17C]([18O])[17O]1,[14C][15N]1[15C][16C][17C]([18O])[17O]1,CN1CCC(O)O1
1007708,[13C].[14C][15N][15C][16C][17C]=[17O].[18O],[14C][15N][15C][16C][17C]=[17O],CNCCC=O
1007709,[13C].[14C][15N]([18O])[15C][16C][17C]=[17O],[14C][15N]([18O])[15C][16C][17C]=[17O],CN(O)CCC=O
1007710,[13C].[14C][15N][15C][16C][17C](=[17O])[18O],[14C][15N][15C][16C][17C](=[17O])[18O],CNCCC(=O)O
1007711,[13C].[14C][15N]1[15C][16C][17C](=[17O])[18O]1,[14C][15N]1[15C][16C][17C](=[17O])[18O]1,CN1CCC(=O)O1
1007712,[13C].[14C][15N]1[15C][16C][17C]1.[17O].[18O],[14C][15N]1[15C][16C][17C]1,CN1CCC1
1007715,[13C].[14C][15N]1[15C][16C][17C]1[18O].[17O],[14C][15N]1[15C][16C][17C]1[18O],CN1CCC1O
1007719,[13C].[14C][15N]1[15C][16C][17C]1[17O][18O],[14C][15N]1[15C][16C][17C]1[17O][18O],CN1CCC1OO
1007720,[13C].[14C][15N]1[15C][16C][17C]1([17O])[18O],[14C][15N]1[15C][16C][17C]1([17O])[18O],CN1CCC1(O)O
1007721,[13C].[14C][15N]1[15C][16C][17C]12[17O][18O]2,[14C][15N]1[15C][16C][17C]12[17O][18O]2,CN1CCC12OO2
1007722,[13C].[14C][15N]1[15C][16C][17C]1=[17O].[18O],[14C][15N]1[15C][16C][17C]1=[17O],CN1CCC1=O
1007944,[13C].[14C][15N][15C]([16C])[18O].[17C]=[17O],[14C][15N][15C]([16C])[18O],CNC(C)O
1007945,[13C].[14C][15N]1[18O][15C]1[16C].[17C]=[17O],[14C][15N]1[18O][15C]1[16C],CN1OC1C
1007946,[13C].[14C][15N][15C]([16C])[18O][17C]=[17O],[14C][15N][15C]([16C])[18O][17C]=[17O],CNC(C)OC=O
1007952,[13C].[14C][15N]1[15C]([16C])[18O][17C]1[17O],[14C][15N]1[15C]([16C])[18O][17C]1[17O],CN1C(C)OC1O
1007953,[13C].[14C][15N]([17C]=[17O])[15C]([16C])[18O],[14C][15N]([17C]=[17O])[15C]([16C])[18O],CN(C=O)C(C)O
1007954,[13C].[14C][15N]1[15C]([16C])[18O][17C]1=[17O],[14C][15N]1[15C]([16C])[18O][17C]1=[17O],CN1C(C)OC1=O
1007959,[13C].[14C][15N][15C]1[16C][18O]1.[17C]=[17O],[14C][15N][15C]1[16C][18O]1,CNC1CO1
1007971,[13C].[14C][15N][15C]1[16C][17O][17C][18O]1,[14C][15N][15C]1[16C][17O][17C][18O]1,CNC1COCO1
1007994,[13C].[14C][15N]1[16C][15C]1[18O][17C][17O],[14C][15N]1[16C][15C]1[18O][17C][17O],CN1CC1OCO
1007995,[13C].[14C][15N]1[16C][15C]1[18O].[17C]=[17O],[14C][15N]1[16C][15C]1[18O],CN1CC1O
1007996,[13C].[14C][15N]1[16C][15C]1[18O][17C]=[17O],[14C][15N]1[16C][15C]1[18O][17C]=[17O],CN1CC1OC=O
1008009,[13C].[14C][15N][15C]([18O])[16C][17C].[17O],[14C][15N][15C]([18O])[16C][17C],CNC(O)CC
1008015,[13C].[14C][15N]([17O])[15C]1[16C][17C][18O]1,[14C][15N]([17O])[15C]1[16C][17C][18O]1,CN(O)C1CCO1
1008017,[13C].[14C][15N][15C]1[16C][17C][17O][18O]1,[14C][15N][15C]1[16C][17C][17O][18O]1,CNC1CCOO1
1008018,[13C].[14C][15N]1[18O][15C]1[16C][17C][17O],[14C][15N]1[18O][15C]1[16C][17C][17O],CN1OC1CCO
1008019,[13C].[14C][15N]1[17O][17C][16C][15C]1[18O],[14C][15N]1[17O][17C][16C][15C]1[18O],CN1OCCC1O
1008020,[13C].[14C][15N][15C]1[16C][17C]([17O])[18O]1,[14C][15N][15C]1[16C][17C]([17O])[18O]1,CNC1CC(O)O1
1008021,[13C].[14C][15N]1[17O][17C]2[16C][15C]1[18O]2,[14C][15N]1[17O][17C]2[16C][15C]1[18O]2,CN1OC2CC1O2
1008022,[13C].[14C][15N][15C]([18O])[16C][17C]=[17O],[14C][15N][15C]([18O])[16C][17C]=[17O],CNC(O)CC=O
1008023,[13C].[14C][15N]1[18O][15C]1[16C][17C]=[17O],[14C][15N]1[18O][15C]1[16C][17C]=[17O],CN1OC1CC=O
1008024,[13C].[14C][15N][15C]1[16C][17C](=[17O])[18O]1,[14C][15N][15C]1[16C][17C](=[17O])[18O]1,CNC1CC(=O)O1
1008027,[13C].[14C][15N]1[15C]2[16C][17C]1[18O]2.[17O],[14C][15N]1[15C]2[16C][17C]1[18O]2,CN1C2CC1O2
1008028,[13C].[14C][15N]1[15C]([18O])[16C][17C]1[17O],[14C][15N]1[15C]([18O])[16C][17C]1[17O],CN1C(O)CC1O
1008030,[13C].[14C][15N]1[15C]2[16C][17C]1([17O])[18O]2,[14C][15N]1[15C]2[16C][17C]1([17O])[18O]2,CN1C2CC1(O)O2
1008031,[13C].[14C][15N]1[15C]([18O])[16C][17C]1=[17O],[14C][15N]1[15C]([18O])[16C][17C]1=[17O],CN1C(O)CC1=O
1008212,[13C].[14C][15N][15C]([16C])[17O][17C].[18O],[14C][15N][15C]([16C])[17O][17C],CNC(C)OC
1008214,[13C].[14C][15N][15C]([16C])[17O][17C][18O],[14C][15N][15C]([16C])[17O][17C][18O],CNC(C)OCO
1008215,[13C].[14C][15N]1[18O][17C][17O][15C]1[16C],[14C][15N]1[18O][17C][17O][15C]1[16C],CN1OCOC1C
1008284,[13C].[14C][15N][15C]([17O])[16C][17C][18O],[14C][15N][15C]([17O])[16C][17C][18O],CNC(O)CCO
1008290,[13C].[14C][15N][15C]1[16C][17C][17O]1.[18O],[14C][15N][15C]1[16C][17C][17O]1,CNC1CCO1
1008592,[13C].[14C][15N]=[15C][16C].[17O]=[17C][18O],[14C][15N]=[15C][16C],CN=CC
1008600,[13C].[14C][15N]=[15C][16C][18O].[17C]=[17O],[14C][15N]=[15C][16C][18O],CN=CCO
1008601,[13C].[14C][15N]=[15C][16C][18O][17C]=[17O],[14C][15N]=[15C][16C][18O][17C]=[17O],CN=CCOC=O
1008611,[13C].[14C][15N]=[15C][16C][17O][17C][18O],[14C][15N]=[15C][16C][17O][17C][18O],CN=CCOCO
1008625,[13C].[14C][15N]=[15C][16C][17C].[17O].[18O],[14C][15N]=[15C][16C][17C],CN=CCC
1008628,[13C].[14C][15N]=[15C][16C][17C][18O].[17O],[14C][15N]=[15C][16C][17C][18O],CN=CCCO
1008632,[13C].[14C][15N]=[15C][16C][17C][17O][18O],[14C][15N]=[15C][16C][17C][17O][18O],CN=CCCOO
1008633,[13C].[14C][15N]=[15C][16C][17C]([17O])[18O],[14C][15N]=[15C][16C][17C]([17O])[18O],CN=CCC(O)O
1008634,[13C].[14C][15N]=[15C][16C][17C]1[17O][18O]1,[14C][15N]=[15C][16C][17C]1[17O][18O]1,CN=CCC1OO1
1008636,[13C].[14C][15N]=[15C][16C][17C]=[17O].[18O],[14C][15N]=[15C][16C][17C]=[17O],CN=CCC=O
1008637,[13C].[14C][15N]=[15C][16C][17C](=[17O])[18O],[14C][15N]=[15C][16C][17C](=[17O])[18O],CN=CCC(=O)O
1008845,[13C].[14C][15N][17O][17C][15C][16C].[18O],[14C][15N][17O][17C][15C][16C],CNOCCC
1008850,[13C].[14C][15N][17O][17C]([18O])[15C][16C],[14C][15N][17O][17C]([18O])[15C][16C],CNOC(O)CC
1008851,[13C].[14C][15N]1[17O][17C]([15C][16C])[18O]1,[14C][15N]1[17O][17C]([15C][16C])[18O]1,CN1OC(CC)O1
1008858,[13C].[14C][15N][18O][17C](=[17O])[15C][16C],[14C][15N][18O][17C](=[17O])[15C][16C],CNOC(=O)CC
1008873,[13C].[14C][15N][17C]([17O])[15C][16C].[18O],[14C][15N][17C]([17O])[15C][16C],CNC(O)CC
1008878,[13C].[14C][15N][17C]([17O])([18O])[15C][16C],[14C][15N][17C]([17O])([18O])[15C][16C],CNC(O)(O)CC
1008879,[13C].[14C][15N][17C]1([15C][16C])[17O][18O]1,[14C][15N][17C]1([15C][16C])[17O][18O]1,CNC1(CC)OO1
1008881,[13C].[14C][15N]1[17O][17C]1([18O])[15C][16C],[14C][15N]1[17O][17C]1([18O])[15C][16C],CN1OC1(O)CC
1008882,[13C].[14C][15N][17C](=[17O])[15C][16C].[18O],[14C][15N][17C](=[17O])[15C][16C],CNC(=O)CC
1008883,[13C].[14C][15N]([18O])[17C](=[17O])[15C][16C],[14C][15N]([18O])[17C](=[17O])[15C][16C],CN(O)C(=O)CC
1008907,[13C].[14C][15N][17O][17C]1[15C][16C][18O]1,[14C][15N][17O][17C]1[15C][16C][18O]1,CNOC1CCO1
1008909,[13C].[14C][15N][18O][16C][15C][17C]=[17O],[14C][15N][18O][16C][15C][17C]=[17O],CNOCCC=O
1008922,[13C].[14C][15N][17C]1([17O])[15C][16C][18O]1,[14C][15N][17C]1([17O])[15C][16C][18O]1,CNC1(O)CCO1
1008924,[13C].[14C][15N][17C](=[17O])[15C][16C][18O],[14C][15N][17C](=[17O])[15C][16C][18O],CNC(=O)CCO
1009050,[13C].[14C][15N][16C][15C][17C][17O].[18O],[14C][15N][16C][15C][17C][17O],CNCCCO
1009055,[13C].[14C][15N][16C][15C][17C]([17O])[18O],[14C][15N][16C][15C][17C]([17O])[18O],CNCCC(O)O
1009056,[13C].[14C][15N][16C][15C][17C]1[17O][18O]1,[14C][15N][16C][15C][17C]1[17O][18O]1,CNCCC1OO1
1009058,[13C].[14C][15N]1[16C][15C][17C]([18O])[17O]1,[14C][15N]1[16C][15C][17C]([18O])[17O]1,CN1CCC(O)O1
1009061,[13C].[14C][15N][16C][15C][17C]=[17O].[18O],[14C][15N][16C][15C][17C]=[17O],CNCCC=O
1009062,[13C].[14C][15N]([18O])[16C][15C][17C]=[17O],[14C][15N]([18O])[16C][15C][17C]=[17O],CN(O)CCC=O
1009063,[13C].[14C][15N][16C][15C][17C](=[17O])[18O],[14C][15N][16C][15C][17C](=[17O])[18O],CNCCC(=O)O
1009064,[13C].[14C][15N]1[16C][15C][17C](=[17O])[18O]1,[14C][15N]1[16C][15C][17C](=[17O])[18O]1,CN1CCC(=O)O1
1009073,[13C].[14C][15N]1[16C][15C][17C]1([17O])[18O],[14C][15N]1[16C][15C][17C]1([17O])[18O],CN1CCC1(O)O
1009075,[13C].[14C][15N]1[16C][15C][17C]1=[17O].[18O],[14C][15N]1[16C][15C][17C]1=[17O],CN1CCC1=O
1009205,[13C].[14C][15N][18O][17O][17C]1[15C][16C]1,[14C][15N][18O][17O][17C]1[15C][16C]1,CNOOC1CC1
1009207,[13C].[14C][15N][17O][17C]1[15C][16C]1.[18O],[14C][15N][17O][17C]1[15C][16C]1,CNOC1CC1
1009208,[13C].[14C][15N]([18O])[17O][17C]1[15C][16C]1,[14C][15N]([18O])[17O][17C]1[15C][16C]1,CN(O)OC1CC1
1009211,[13C].[14C][15N][18O][17C]1([17O])[15C][16C]1,[14C][15N][18O][17C]1([17O])[15C][16C]1,CNOC1(O)CC1
1009213,[13C].[14C][15N]1[17O][17C]2([15C][16C]2)[18O]1,[14C][15N]1[17O][17C]2([15C][16C]2)[18O]1,CN1OC2(CC2)O1
1009217,[13C].[14C][15N][17C]1[15C][16C]1.[17O].[18O],[14C][15N][17C]1[15C][16C]1,CNC1CC1
1009224,[13C].[14C][15N][17C]1([18O])[15C][16C]1.[17O],[14C][15N][17C]1([18O])[15C][16C]1,CNC1(O)CC1
1009230,[13C].[14C][15N][17C]1([17O][18O])[15C][16C]1,[14C][15N][17C]1([17O][18O])[15C][16C]1,CNC1(OO)CC1
1009231,[13C].[14C][15N]([18O])[17C]1([17O])[15C][16C]1,[14C][15N]([18O])[17C]1([17O])[15C][16C]1,CN(O)C1(O)CC1
1009233,[13C].[14C][15N]1[17O][17C]12[15C][16C]2.[18O],[14C][15N]1[17O][17C]12[15C][16C]2,CN1OC12CC2
1009547,[13C].[14C][15N][18O][15C]([16C])[17C]=[17O],[14C][15N][18O][15C]([16C])[17C]=[17O],CNOC(C)C=O
1009562,[13C].[14C][15N][17C](=[17O])[15C]([16C])[18O],[14C][15N][17C](=[17O])[15C]([16C])[18O],CNC(=O)C(C)O
1009637,[13C].[14C][15N][16C][15C]([18O])[17C]=[17O],[14C][15N][16C][15C]([18O])[17C]=[17O],CNCC(O)C=O
1009639,[13C].[14C][15N][16C][15C]1[18O][17C]1=[17O],[14C][15N][16C][15C]1[18O][17C]1=[17O],CNCC1OC1=O
1009711,[13C].[14C][15N][17O][17C]12[16C][15C]1[18O]2,[14C][15N][17O][17C]12[16C][15C]1[18O]2,CNOC12CC1O2
1009713,[13C].[14C][15N][18O][15C]1[16C][17C]1=[17O],[14C][15N][18O][15C]1[16C][17C]1=[17O],CNOC1CC1=O
1009997,[13C].[14C][15N][18O][17C]1[17O][15C]1[16C],[14C][15N][18O][17C]1[17O][15C]1[16C],CNOC1OC1C
1010012,[13C].[14C][15N][17C]1([18O])[17O][15C]1[16C],[14C][15N][17C]1([18O])[17O][15C]1[16C],CNC1(O)OC1C
1010087,[13C].[14C][15N][16C][15C]1[17O][17C]1[18O],[14C][15N][16C][15C]1[17O][17C]1[18O],CNCC1OC1O
1010154,[13C].[14C][15N][18O][17C]1[16C][15C]1[17O],[14C][15N][18O][17C]1[16C][15C]1[17O],CNOC1CC1O
1010155,[13C].[14C][15N][17O][15C]1[16C][17C]1[18O],[14C][15N][17O][15C]1[16C][17C]1[18O],CNOC1CC1O
1010169,[13C].[14C][15N][17C]1([18O])[16C][15C]1[17O],[14C][15N][17C]1([18O])[16C][15C]1[17O],CNC1(O)CC1O
1010173,[13C].[14C][15N][17C]12[16C][15C]1[17O]2.[18O],[14C][15N][17C]12[16C][15C]1[17O]2,CNC12CC1O2
1010623,[13C].[14C][15N][15C]([16C])[17C][17O].[18O],[14C][15N][15C]([16C])[17C][17O],CNC(C)CO
1010628,[13C].[14C][15N][15C]([16C])[17C]([17O])[18O],[14C][15N][15C]([16C])[17C]([17O])[18O],CNC(C)C(O)O
1010629,[13C].[14C][15N][15C]([16C])[17C]1[17O][18O]1,[14C][15N][15C]([16C])[17C]1[17O][18O]1,CNC(C)C1OO1
1010631,[13C].[14C][15N]1[17O][17C]([18O])[15C]1[16C],[14C][15N]1[17O][17C]([18O])[15C]1[16C],CN1OC(O)C1C
1010634,[13C].[14C][15N][15C]([16C])[17C]=[17O].[18O],[14C][15N][15C]([16C])[17C]=[17O],CNC(C)C=O
1010635,[13C].[14C][15N]([18O])[15C]([16C])[17C]=[17O],[14C][15N]([18O])[15C]([16C])[17C]=[17O],CN(O)C(C)C=O
1010636,[13C].[14C][15N][15C]([16C])[17C](=[17O])[18O],[14C][15N][15C]([16C])[17C](=[17O])[18O],CNC(C)C(=O)O
1010637,[13C].[14C][15N]1[18O][17C](=[17O])[15C]1[16C],[14C][15N]1[18O][17C](=[17O])[15C]1[16C],CN1OC(=O)C1C
1010646,[13C].[14C][15N]1[15C]([16C])[17C]1([17O])[18O],[14C][15N]1[15C]([16C])[17C]1([17O])[18O],CN1C(C)C1(O)O
1010648,[13C].[14C][15N]1[15C]([16C])[17C]1=[17O].[18O],[14C][15N]1[15C]([16C])[17C]1=[17O],CN1C(C)C1=O
1010660,[13C].[14C][15N][15C]1[16C][18O][17C]1[17O],[14C][15N][15C]1[16C][18O][17C]1[17O],CNC1COC1O
1010662,[13C].[14C][15N][15C]([16C][18O])[17C]=[17O],[14C][15N][15C]([16C][18O])[17C]=[17O],CNC(CO)C=O
1010664,[13C].[14C][15N][15C]1[16C][18O][17C]1=[17O],[14C][15N][15C]1[16C][18O][17C]1=[17O],CNC1COC1=O
1010743,[13C].[14C][15N]1[16C][15C]1[17C]([17O])[18O],[14C][15N]1[16C][15C]1[17C]([17O])[18O],CN1CC1C(O)O
1010746,[13C].[14C][15N]1[16C][15C]1[17C]=[17O].[18O],[14C][15N]1[16C][15C]1[17C]=[17O],CN1CC1C=O
