rmat_tag,distance,largest_frag,largest_cleaned,LogP,MW,HBD,HBA,PSA,ROTB,FSP3,SSSR,QED
2050663,3.0,C[15C][16C@H](c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[17C](=[17O])[14C@H]([15N])c1ccccc1F,CC[C@@H](C(=O)[C@H](N)c1ccccc1)c1ccc(N2Cc3ccccc3C2=O)cc1,4.609700000000004,384.4790000000001,1.0,3.0,63.400000000000006,6.0,0.2,4.0,0.6749631871645316
4043385,3.0,[15N][14C@H](c1ccccc1F)[16C@H](c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[17C](=[17O])[18O],N[C@H](c1ccccc1)[C@@H](C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1,3.715200000000003,372.42400000000004,2.0,3.0,83.63,5.0,0.13043478260869565,4.0,0.7150014684532301
1005685,3.0,C[15C][16C@H](c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[17C](=[17O])[15N][14CH]c1ccccc1F,CC[C@@H](C(=O)NCc1ccccc1)c1ccc(N2Cc3ccccc3C2=O)cc1,4.657000000000004,384.4790000000001,1.0,2.0,49.410000000000004,6.0,0.2,4.0,0.6720943415079474
1008637,3.0,C[15C](=[15N][14CH]c1ccccc1F)[16C@H](c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[17C](=[17O])[18O],CC(=NCc1ccccc1)[C@@H](C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1,4.676300000000004,398.46200000000016,1.0,3.0,69.97,6.0,0.16,4.0,0.6132792008614433
1022190,3.0,C[15C][16C@H](c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[17C]([17O])[18O][14C@H]([15N])c1ccccc1F,CC[C@H](c1ccc(N2Cc3ccccc3C2=O)cc1)C(O)O[C@H](N)c1ccccc1,4.333100000000003,402.4940000000001,2.0,4.0,75.79,7.0,0.24,4.0,0.5768516297643036
1007711,3.0,C[15C]1[16C@H](c2ccc(N3Cc4c(F)cccc4C3=O)cc2)[17C](=[17O])[18O][15N]1[14CH]c1ccccc1F,CC1[C@H](c2ccc(N3Cc4ccccc4C3=O)cc2)C(=O)ON1Cc1ccccc1,4.2931000000000035,398.46200000000016,0.0,4.0,49.85,4.0,0.2,5.0,0.6577916599757051
8009394,3.0,C[15C]1([14C@H]([15N])c2ccccc2F)[18O][17C](=[17O])[16C@H]1c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CC1([C@H](N)c2ccccc2)OC(=O)[C@H]1c1ccc(N2Cc3ccccc3C2=O)cc1,3.946100000000003,398.46200000000016,1.0,4.0,72.63,4.0,0.2,5.0,0.6757573326752553
8008758,3.0,C[15C]1[14C@@H](c2ccccc2F)[15N][18O][17C](=[17O])[16C@H]1c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CC1[C@@H](c2ccccc2)NOC(=O)[C@H]1c1ccc(N2Cc3ccccc3C2=O)cc1,4.369400000000003,398.4620000000001,1.0,4.0,58.64,3.0,0.2,5.0,0.7118273346366714
1008024,3.0,C[15C]1([15N][14CH]c2ccccc2F)[18O][17C](=[17O])[16C@H]1c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CC1(NCc2ccccc2)OC(=O)[C@H]1c1ccc(N2Cc3ccccc3C2=O)cc1,3.993400000000004,398.46200000000016,1.0,4.0,58.64,5.0,0.2,5.0,0.6604330182043804
8008747,3.0,C[15C]([14C@H]([15N])c1ccccc1F)[16C@H](c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[17C]([17O])[18O],CC([C@H](N)c1ccccc1)[C@H](c1ccc(N2Cc3ccccc3C2=O)cc1)C(O)O,3.5774000000000026,402.4940000000001,3.0,4.0,86.79,6.0,0.24,4.0,0.5502476394345828
