rmat_tag,pdt_smiles
1000437,[13C].[14C][15N][18O][17C]1([16C])[15C][17O]1
1000512,[13C].[14C][15N][16C][17C]1([18O])[15C][17O]1
1001170,[13C].[14C][15N][15C][17C](=[17O])[18O][16C]
1001255,[13C].[14C][15N]([16C])[15C][17C](=[17O])[18O]
1001301,[13C].[14C][15N][15C][17C]([16C])[17O].[18O]
1001306,[13C].[14C][15N][15C][17C]([16C])([17O])[18O]
1001307,[13C].[14C][15N][15C][17C]1([16C])[17O][18O]1
1001309,[13C].[14C][15N]1[15C][17C]([16C])([18O])[17O]1
1001310,[13C].[14C][15N][15C][17C]([16C])=[17O].[18O]
1001311,[13C].[14C][15N]([18O])[15C][17C]([16C])=[17O]
1001330,[13C].[14C][15N][15C][17C]1([17O])[16C][18O]1
1001332,[13C].[14C][15N][15C][17C](=[17O])[16C][18O]
1001404,[13C].[14C][15N]1[15C][17C]([17O])([18O])[16C]1
1001406,[13C].[14C][15N]1[15C][17C](=[17O])[16C]1.[18O]
1001626,[13C].[14C][15N][15C]([18O])[17C]([16C])=[17O]
1001896,[13C].[14C][15N][15C]1[17O][17C]1([16C])[18O]
1002237,[13C].[14C][15N]=[15C][17C]([16C])([17O])[18O]
1002239,[13C].[14C][15N]=[15C][17C]([16C])=[17O].[18O]
1005335,[13C].[14C][15N][18O][16C][15C].[17C]=[17O]
1005348,[13C].[14C][15N][17C]([17O])[18O][16C][15C]
1005351,[13C].[14C][15N]([17C]=[17O])[18O][16C][15C]
1005352,[13C].[14C][15N][17C](=[17O])[18O][16C][15C]
1005392,[13C].[14C][15N][18O][17C][17O][16C][15C]
1005405,[13C].[14C][15N][17C][17O][16C][15C].[18O]
1005408,[13C].[14C][15N]1[18O][17C]1[17O][16C][15C]
1005416,[13C].[14C][15N]=[17C]([18O])[17O][16C][15C]
1005489,[13C].[14C][15N]([16C][15C])[17O][17C].[18O]
1005492,[13C].[14C][15N]([16C][15C])[18O][17C][17O]
1005497,[13C].[14C][15N]([18O])[16C][15C].[17C]=[17O]
1005498,[13C].[14C][15N][16C][15C].[17O]=[17C][18O]
1005499,[13C].[14C][15N]([16C][15C])[18O][17C]=[17O]
1005507,[13C].[14C][15N]([16C][15C])[17C][17O].[18O]
1005509,[13C].[14C][15N]([16C][15C])[17C]([17O])[18O]
1005510,[13C].[14C][15N]([16C][15C])[17C]1[17O][18O]1
1005512,[13C].[14C][15N]([16C][15C])[17C]=[17O].[18O]
1005513,[13C].[14C][15N]([16C][15C])[17C](=[17O])[18O]
1005635,[13C].[14C][15N][18O][17C][16C][15C].[17O]
1005646,[13C].[14C][15N][18O][17O][17C][16C][15C]
1005649,[13C].[14C][15N]([18O])[17O][17C][16C][15C]
1005653,[13C].[14C][15N][17O][17C]([18O])[16C][15C]
1005654,[13C].[14C][15N]1[17O][17C]([16C][15C])[18O]1
1005661,[13C].[14C][15N][18O][17C](=[17O])[16C][15C]
1005662,[13C].[14C][15N][17C][16C][15C].[17O].[18O]
1005665,[13C].[14C][15N]([18O])[17C][16C][15C].[17O]
1005669,[13C].[14C][15N][17C]([18O])[16C][15C].[17O]
1005670,[13C].[14C][15N][17C]([16C][15C])[18O][17O]
1005671,[13C].[14C][15N]1[18O][17C]1[16C][15C].[17O]
1005672,[13C].[14C][15N]([17O])[17C]([18O])[16C][15C]
1005679,[13C].[14C][15N]1[18O][17O][17C]1[16C][15C]
1005681,[13C].[14C][15N][17C]([17O])([18O])[16C][15C]
1005682,[13C].[14C][15N][17C]1([16C][15C])[17O][18O]1
1005684,[13C].[14C][15N]1[17O][17C]1([18O])[16C][15C]
1005685,[13C].[14C][15N][17C](=[17O])[16C][15C].[18O]
1005686,[13C].[14C][15N]([18O])[17C](=[17O])[16C][15C]
1005687,[13C].[14C][15N]=[17C][16C][15C].[17O].[18O]
1005690,[13C].[14C][15N]=[17C]([18O])[16C][15C].[17O]
1005693,[13C].[14C][15N]=[17C]([16C][15C])[17O][18O]
1006122,[13C].[14C][15N][17O][17C][18O][15C][16C]
1006124,[13C].[14C][15N][18O][15C][16C].[17C]=[17O]
1006131,[13C].[14C][15N][17C][18O][15C][16C].[17O]
1006137,[13C].[14C][15N][17C]([17O])[18O][15C][16C]
1006138,[13C].[14C][15N]1[17O][17C]1[18O][15C][16C]
1006140,[13C].[14C][15N]([17C]=[17O])[18O][15C][16C]
1006141,[13C].[14C][15N][17C](=[17O])[18O][15C][16C]
1006147,[13C].[14C][15N]=[17C]([17O])[18O][15C][16C]
1006181,[13C].[14C][15N][17C]1[17O][16C][15C][18O]1
1006211,[13C].[14C][15N][16C][15C][18O][17C].[17O]
1006217,[13C].[14C][15N][16C][15C][18O][17C][17O]
1006218,[13C].[14C][15N]1[16C][15C][18O][17C][17O]1
1006219,[13C].[14C][15N][16C][15C][18O].[17C]=[17O]
1006220,[13C].[14C][15N]1[16C][15C][18O]1.[17C]=[17O]
1006221,[13C].[14C][15N][16C][15C][18O][17C]=[17O]
1006227,[13C].[14C][15N]1[16C][15C][18O][17C]1[17O]
1006228,[13C].[14C][15N]([16C][15C][18O])[17C]=[17O]
1006229,[13C].[14C][15N]1[16C][15C][18O][17C]1=[17O]
1006280,[13C].[14C][15N][18O][15C][16C][17C].[17O]
1006290,[13C].[14C][15N][18O][15C][16C][17C][17O]
1006291,[13C].[14C][15N][17O][17C][16C][15C][18O]
1006292,[13C].[14C][15N]1[17O][17C][16C][15C][18O]1
1006294,[13C].[14C][15N][17O][17C]1[16C][15C][18O]1
1006296,[13C].[14C][15N][18O][15C][16C][17C]=[17O]
1006298,[13C].[14C][15N][17C][16C][15C][18O].[17O]
1006303,[13C].[14C][15N][17C]1[16C][15C][18O]1.[17O]
1006304,[13C].[14C][15N]([17O])[17C]1[16C][15C][18O]1
1006306,[13C].[14C][15N][17C]1[16C][15C][18O][17O]1
1006307,[13C].[14C][15N]1[18O][15C][16C][17C]1[17O]
1006308,[13C].[14C][15N]1[17O][17C]1[16C][15C][18O]
