rmat_tag,pdt_smiles,frag_in_large,pdt_cleaned,LogP,MW,HBD,HBA,PSA,ROTB,FSP3,SSSR,QED
70348,[13C].[14C][17O][17C]([15N])([18O])[16C][15C],[14C][17O][17C]([15N])([18O])[16C][15C],COC(N)(O)CC,-0.35240000000000027,105.13699999999999,2.0,3.0,55.480000000000004,2.0,1.0,0.0,0.47170339872640654
71538,[13C].[14C][17O][17C]([18O])[16C][15C][15N],[14C][17O][17C]([18O])[16C][15C][15N],COC(O)CCN,-0.7000000000000002,105.13700000000003,2.0,3.0,55.480000000000004,3.0,1.0,0.0,0.4665118836651707
82406,[13C].[15C][16C][17C]1([15N])[17O][14C][18O]1,[15C][16C][17C]1([15N])[17O][14C][18O]1,CCC1(N)OCO1,0.01319999999999999,103.12099999999998,1.0,3.0,44.480000000000004,1.0,1.0,1.0,0.5082163666630454
82857,[13C].[15N][15C][16C][17C]1[17O][14C][18O]1,[15N][15C][16C][17C]1[17O][14C][18O]1,NCCC1OCO1,-0.33440000000000003,103.121,1.0,3.0,44.480000000000004,2.0,1.0,1.0,0.5199238280910384
94336,[13C].[14C][15N][18O][16C].[15C].[17C]=[17O],[14C][15N][18O][16C],CNOC,-0.23280000000000012,61.084,1.0,2.0,21.259999999999998,1.0,1.0,0.0,0.4226239885245327
94353,[13C].[14C][15N][17C](=[17O])[18O][16C].[15C],[14C][15N][17C](=[17O])[18O][16C],CNC(=O)OC,-0.02779999999999999,89.094,1.0,2.0,38.33,0.0,0.6666666666666666,0.0,0.4523374247932051
94393,[13C].[14C][15N][18O][17C][17O][16C].[15C],[14C][15N][18O][17C][17O][16C],CNOCOC,-0.25870000000000015,91.11,1.0,3.0,30.49,3.0,1.0,0.0,0.29473343170092986
94408,[13C].[14C][15N][17C]([18O])[17O][16C].[15C],[14C][15N][17C]([18O])[17O][16C],CNC(O)OC,-0.8719000000000003,91.11,2.0,3.0,41.489999999999995,2.0,1.0,0.0,0.43387597082469376
94497,[13C].[14C][15N]([16C])[17O][17C][18O].[15C],[14C][15N]([16C])[17O][17C][18O],CN(C)OCO,-0.5706000000000002,91.11,1.0,3.0,32.7,2.0,1.0,0.0,0.3646480627895529
94501,[13C].[14C][15N]([16C])[18O].[15C].[17C]=[17O],[14C][15N]([16C])[18O],CN(C)O,-0.06280000000000013,61.084,1.0,2.0,23.47,0.0,1.0,0.0,0.3964122449830158
94503,[13C].[14C][15N]([16C])[18O][17C]=[17O].[15C],[14C][15N]([16C])[18O][17C]=[17O],CN(C)OC=O,-0.3640000000000001,89.094,0.0,3.0,29.54,2.0,0.6666666666666666,0.0,0.3414245748693941
94513,[13C].[14C][15N]([16C])[17C]([17O])[18O].[15C],[14C][15N]([16C])[17C]([17O])[18O],CN(C)C(O)O,-1.1838,91.10999999999999,2.0,3.0,43.7,1.0,1.0,0.0,0.3989643932697927
94516,[13C].[14C][15N]([16C])[17C]=[17O].[15C].[18O],[14C][15N]([16C])[17C]=[17O],CN(C)C=O,-0.2956000000000001,73.095,0.0,1.0,20.310000000000002,1.0,0.6666666666666666,0.0,0.3902682398861675
94517,[13C].[14C][15N]([16C])[17C](=[17O])[18O].[15C],[14C][15N]([16C])[17C](=[17O])[18O],CN(C)C(=O)O,0.22600000000000003,89.09399999999998,1.0,1.0,40.540000000000006,0.0,0.6666666666666666,0.0,0.46103771228315016
