rmat_tag,distance,largest_frag,largest_cleaned,pmi_x,pmi_y
1007711,3.0,C[15C]1[16C@H](c2ccc(N3Cc4c(F)cccc4C3=O)cc2)[17C](=[17O])[18O][15N]1[14CH]c1ccccc1F,CC1[C@H](c2ccc(N3Cc4ccccc4C3=O)cc2)C(=O)ON1Cc1ccccc1,0.07511212617194298,0.9828863479311823
8009394,3.0,C[15C]1([14C@H]([15N])c2ccccc2F)[18O][17C](=[17O])[16C@H]1c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CC1([C@H](N)c2ccccc2)OC(=O)[C@H]1c1ccc(N2Cc3ccccc3C2=O)cc1,0.09954731310359326,0.9425037279442221
8008758,3.0,C[15C]1[14C@@H](c2ccccc2F)[15N][18O][17C](=[17O])[16C@H]1c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CC1[C@@H](c2ccccc2)NOC(=O)[C@H]1c1ccc(N2Cc3ccccc3C2=O)cc1,0.10848512597886871,0.9626240180958449
1008024,3.0,C[15C]1([15N][14CH]c2ccccc2F)[18O][17C](=[17O])[16C@H]1c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CC1(NCc2ccccc2)OC(=O)[C@H]1c1ccc(N2Cc3ccccc3C2=O)cc1,0.2558669005137908,0.7778807673125784
8008747,3.0,C[15C]([14C@H]([15N])c1ccccc1F)[16C@H](c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[17C]([17O])[18O],CC([C@H](N)c1ccccc1)[C@H](c1ccc(N2Cc3ccccc3C2=O)cc1)C(O)O,0.14130378510101677,0.9149423029025939
1005498,3.0,C[15C][16C@H]([15N][14CH]c1ccccc1F)c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CC[C@H](NCc1ccccc1)c1ccc(N2Cc3ccccc3C2=O)cc1,0.16590106154396142,0.8616026807682946
8010685,3.0,C[15C]1([16C@H](c2ccc(N3Cc4c(F)cccc4C3=O)cc2)[17C](=[17O])[18O])[15N][14C@@H]1c1ccccc1F,CC1([C@@H](C(=O)O)c2ccc(N3Cc4ccccc4C3=O)cc2)N[C@@H]1c1ccccc1,0.11291469629196467,0.926807574942411
8008754,3.0,C[15C]([14C@H]([15N])c1ccccc1F)[16C@@H]([17C]=[17O])c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CC([C@H](N)c1ccccc1)[C@@H](C=O)c1ccc(N2Cc3ccccc3C2=O)cc1,0.07385266593822491,0.9717871722098445
1053223,3.0,C[15C][16C@H](c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[17C](=[17O])[18O][15N]=[14CH]c1ccccc1F,CC[C@@H](C(=O)ON=Cc1ccccc1)c1ccc(N2Cc3ccccc3C2=O)cc1,0.08680253264705728,0.9812261545220009
1053166,4.0,C[15C][16C@H]([15N]=[14CH]c1ccccc1F)c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CC[C@H](N=Cc1ccccc1)c1ccc(N2Cc3ccccc3C2=O)cc1,0.146175259240567,0.9291555397807398
1005684,4.0,C[15C][16C@H](c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[17C]1([18O])[17O][15N]1[14CH]c1ccccc1F,CC[C@H](c1ccc(N2Cc3ccccc3C2=O)cc1)C1(O)ON1Cc1ccccc1,0.08836694393949683,0.9698597184347311
1053232,4.0,C[15C][16C@H](c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[17C]([17O])([18O])[15N]=[14CH]c1ccccc1F,CC[C@H](c1ccc(N2Cc3ccccc3C2=O)cc1)C(O)(O)N=Cc1ccccc1,0.1479880186624046,0.8802598167968405
1006848,4.0,C[15C]1[17O][17C]([18O])([15N][14CH]c2ccccc2F)[16C@H]1c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CC1OC(O)(NCc2ccccc2)[C@H]1c1ccc(N2Cc3ccccc3C2=O)cc1,0.07177523485792113,0.9770268646080676
1023363,4.0,C[15C]1=[15N][14C@H](c2ccccc2F)[18O][17C](=[17O])[16C@H]1c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CC1=N[C@H](c2ccccc2)OC(=O)[C@H]1c1ccc(N2Cc3ccccc3C2=O)cc1,0.12553046173768526,0.9487032931776481
1010794,4.0,C[15C]1([15N][14CH]c2ccccc2F)[16C@H](c2ccc(N3Cc4c(F)cccc4C3=O)cc2)[17C]1([17O])[18O],CC1(NCc2ccccc2)[C@H](c2ccc(N3Cc4ccccc4C3=O)cc2)C1(O)O,0.06382239688006802,0.9923412138761276
1005686,4.0,C[15C][16C@H](c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[17C](=[17O])[15N]([18O])[14CH]c1ccccc1F,CC[C@@H](C(=O)N(O)Cc1ccccc1)c1ccc(N2Cc3ccccc3C2=O)cc1,0.1957000495716165,0.9069213165160172
2052353,4.0,C[15C]1[15N][14C@H](c2ccccc2F)[17C](=[17O])[16C@H]1c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CC1N[C@H](c2ccccc2)C(=O)[C@H]1c1ccc(N2Cc3ccccc3C2=O)cc1,0.08212576736683457,0.9656960314058228
1053234,4.0,C[15C][16C@H](c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[17C](=[17O])[15N]=[14CH]c1ccccc1F,CC[C@@H](C(=O)N=Cc1ccccc1)c1ccc(N2Cc3ccccc3C2=O)cc1,0.08985562639512357,0.9467410373365989
1010798,4.0,C[15C]1([15N][14CH]c2ccccc2F)[16C@H](c2ccc(N3Cc4c(F)cccc4C3=O)cc2)[17C]1=[17O],CC1(NCc2ccccc2)C(=O)[C@H]1c1ccc(N2Cc3ccccc3C2=O)cc1,0.10582425016150938,0.9742226030416885
2052349,4.0,C[15C]1[15N][14C@H](c2ccccc2F)[17C]([17O])([18O])[16C@H]1c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CC1N[C@H](c2ccccc2)C(O)(O)[C@H]1c1ccc(N2Cc3ccccc3C2=O)cc1,0.09718078130366913,0.9939897450829094
8010677,4.0,C[15C]1([16C@H](c2ccc(N3Cc4c(F)cccc4C3=O)cc2)[17C]([17O])[18O])[15N][14C@@H]1c1ccccc1F,CC1([C@H](c2ccc(N3Cc4ccccc4C3=O)cc2)C(O)O)N[C@@H]1c1ccccc1,0.11725071299641497,0.9491663322015471
7049144,4.0,C[15C]([14CH]c1ccccc1F)[16C@H](c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[17C](=[17O])[18O][15N],CC(Cc1ccccc1)[C@@H](C(=O)ON)c1ccc(N2Cc3ccccc3C2=O)cc1,0.12963848708118855,0.9595563780723727
8008755,4.0,C[15C]([14C@H]([15N][18O])c1ccccc1F)[16C@@H]([17C]=[17O])c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CC([C@H](NO)c1ccccc1)[C@@H](C=O)c1ccc(N2Cc3ccccc3C2=O)cc1,0.11785912258188581,0.9810168509208126
1010636,4.0,C[15C]([16CH]c1ccc(N2Cc3c(F)cccc3C2=O)cc1)([15N][14CH]c1ccccc1F)[17C](=[17O])[18O],CC(Cc1ccc(N2Cc3ccccc3C2=O)cc1)(NCc1ccccc1)C(=O)O,0.09569584580552555,0.9489940475494684
4044022,4.0,C[15C][18O][17C](=[17O])[16C@@H](c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[14C@H]([15N])c1ccccc1F,CCOC(=O)[C@@H](c1ccc(N2Cc3ccccc3C2=O)cc1)[C@H](N)c1ccccc1,0.25108387320277487,0.8615853174534617
1005682,4.0,C[15C][16C@H](c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[17C]1([15N][14CH]c2ccccc2F)[17O][18O]1,CC[C@H](c1ccc(N2Cc3ccccc3C2=O)cc1)C1(NCc2ccccc2)OO1,0.0639153085679695,0.9778138637448722
1023629,4.0,C[15C]1[16C@H](c2ccc(N3Cc4c(F)cccc4C3=O)cc2)[17C]1([17O])[18O][14C@H]([15N])c1ccccc1F,CC1[C@H](c2ccc(N3Cc4ccccc4C3=O)cc2)C1(O)O[C@H](N)c1ccccc1,0.1343395285867672,0.9568606812783741
1023467,4.0,C[15C]([16CH]c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[17C](=[17O])[18O][14C@H]([15N])c1ccccc1F,CC(Cc1ccc(N2Cc3ccccc3C2=O)cc1)C(=O)O[C@H](N)c1ccccc1,0.08249575759640737,0.9680859576911836
1053217,4.0,C[15C][16C@H](c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[17C]([18O])[17O][15N]=[14CH]c1ccccc1F,CC[C@H](c1ccc(N2Cc3ccccc3C2=O)cc1)C(O)ON=Cc1ccccc1,0.06894422437068273,0.9808378003951655
94892,4.0,O=C1c2cccc(F)c2CN1c1ccc([16C@@H]2[17C](=[17O])[18O][15N]2[14CH]c2ccccc2F)cc1,O=C1ON(Cc2ccccc2)[C@@H]1c1ccc(N2Cc3ccccc3C2=O)cc1,0.10002975027439695,0.9778677883236188
1022191,4.0,C[15C][16C@H](c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[17C]1[17O][15N][14C@H](c2ccccc2F)[18O]1,CC[C@H](c1ccc(N2Cc3ccccc3C2=O)cc1)C1ON[C@H](c2ccccc2)O1,0.08351496532045255,0.9499919909102066
