rmat_tag,pdt_smiles
3003892,C[15C][16CH]c1ccc(N2Cc3c(F)cccc3C2=O)cc1.[13C].[15N].[17O][17C]([18O])=[14CH]c1ccccc1F
3003897,C[15C][16CH]c1ccc(N2Cc3c(F)cccc3C2=O)cc1.[13C].[15N].[17O]=[17C]=[14CH]c1ccccc1F.[18O]
3004335,C[15C][16C@H](c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[17C]([18O])=[14CH]c1ccccc1F.[13C].[15N].[17O]
3004343,C[15C][16C@H](c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[17C]([17O])=[14CH]c1ccccc1F.[13C].[15N].[18O]
3075869,C[15C].O=C1c2cccc(F)c2CN1c1ccc([16CH][14CH]c2ccccc2F)cc1.[13C].[15N].[17O][17C][18O]
3075876,C[15C].O=C1c2cccc(F)c2CN1c1ccc([16CH][14CH]c2ccccc2F)cc1.[13C].[15N].[17C]=[17O].[18O]
3075879,C[15C].O=C1c2cccc(F)c2CN1c1ccc([16CH][14CH]c2ccccc2F)cc1.[13C].[15N].[17O]=[17C][18O]
3075880,C[15C].O=C1c2cccc(F)c2CN1c1ccc([16CH][14CH]c2ccccc2F)cc1.[13C].[15N][18O][17C]=[17O]
3075881,C[15C].O=C1c2cccc(F)c2CN1c1ccc([16CH][14CH]c2ccccc2F)cc1.[13C].[15N].[17O]=[17C]=[18O]
3075920,C[15C].O=C1c2cccc(F)c2CN1c1ccc([16CH][14CH]c2ccccc2F)cc1.[13C].[15N][17C](=[17O])[18O]
3075974,C[15C].O=C1c2cccc(F)c2CN1c1ccc([16C@H]([14CH]c2ccccc2F)[18O][17C]=[17O])cc1.[13C].[15N]
3076207,C[15C].[13C].[15N][16C@@H]([14CH]c1ccccc1F)c1ccc(N2Cc3c(F)cccc3C2=O)cc1.[17O]=[17C][18O]
3076506,C[15C].O=C1c2cccc(F)c2CN1c1ccc([16C@@H]([14CH]c2ccccc2F)[17C][18O])cc1.[13C].[15N].[17O]
3076517,C[15C].O=C1c2cccc(F)c2CN1c1ccc([16C@@H]([14CH]c2ccccc2F)[17C][17O])cc1.[13C].[15N].[18O]
3076525,C[15C].O=C1c2cccc(F)c2CN1c1ccc([16C@@H]([14CH]c2ccccc2F)[17C]([17O])[18O])cc1.[13C].[15N]
3076526,C[15C].O=C1c2cccc(F)c2CN1c1ccc([16C@@H]([14CH]c2ccccc2F)[17C]2[17O][18O]2)cc1.[13C].[15N]
3076527,C[15C].[13C].[15N][18O][17C]([17O])[16C@H]([14CH]c1ccccc1F)c1ccc(N2Cc3c(F)cccc3C2=O)cc1
3076528,C[15C].[13C].[15N][17O][17C]([18O])[16C@H]([14CH]c1ccccc1F)c1ccc(N2Cc3c(F)cccc3C2=O)cc1
3076530,C[15C].O=C1c2cccc(F)c2CN1c1ccc([16C@@H]([14CH]c2ccccc2F)[17C]([17O])=[18O])cc1.[13C].[15N]
3076532,C[15C].O=C1c2cccc(F)c2CN1c1ccc([16C@@H]([14CH]c2ccccc2F)[17C]=[17O])cc1.[13C].[15N].[18O]
3076533,C[15C].O=C1c2cccc(F)c2CN1c1ccc([16C@@H]([14CH]c2ccccc2F)[17C]=[17O])cc1.[13C].[15N][18O]
3076535,C[15C].O=C1c2cccc(F)c2CN1c1ccc([16C@@H]([14CH]c2ccccc2F)[17C](=[17O])[18O])cc1.[13C].[15N]
3076536,C[15C].[13C].[15N][18O][17C](=[17O])[16C@H]([14CH]c1ccccc1F)c1ccc(N2Cc3c(F)cccc3C2=O)cc1
3076565,C[15C].[13C].[15N][17C]([17O])([18O])[16C@H]([14CH]c1ccccc1F)c1ccc(N2Cc3c(F)cccc3C2=O)cc1
3076570,C[15C].[13C].[15N][17C](=[17O])[16C@H]([14CH]c1ccccc1F)c1ccc(N2Cc3c(F)cccc3C2=O)cc1.[18O]
3077223,C[15C][18O][17C]=[17O].O=C1c2cccc(F)c2CN1c1ccc([16CH][14CH]c2ccccc2F)cc1.[13C].[15N]
3077509,C[15C][18O][17C]([17O])[16C@H]([14CH]c1ccccc1F)c1ccc(N2Cc3c(F)cccc3C2=O)cc1.[13C].[15N]
3077511,C[15C][18O].O=C1c2cccc(F)c2CN1c1ccc([16C@@H]([14CH]c2ccccc2F)[17C]=[17O])cc1.[13C].[15N]
3077513,C[15C][18O][17C](=[17O])[16C@H]([14CH]c1ccccc1F)c1ccc(N2Cc3c(F)cccc3C2=O)cc1.[13C].[15N]
3078326,C[15C][17O][17C]([18O])[16C@H]([14CH]c1ccccc1F)c1ccc(N2Cc3c(F)cccc3C2=O)cc1.[13C].[15N]
3079385,C[15C][15N].O=C1c2cccc(F)c2CN1c1ccc([16CH][14CH]c2ccccc2F)cc1.[13C].[17O]=[17C][18O]
3079761,C[15C][15N].O=C1c2cccc(F)c2CN1c1ccc([16C@@H]([14CH]c2ccccc2F)[17C]([17O])[18O])cc1.[13C]
3079768,C[15C][15N].O=C1c2cccc(F)c2CN1c1ccc([16C@@H]([14CH]c2ccccc2F)[17C]=[17O])cc1.[13C].[18O]
3079771,C[15C][15N].O=C1c2cccc(F)c2CN1c1ccc([16C@@H]([14CH]c2ccccc2F)[17C](=[17O])[18O])cc1.[13C]
3079772,C[15C][15N][18O][17C](=[17O])[16C@H]([14CH]c1ccccc1F)c1ccc(N2Cc3c(F)cccc3C2=O)cc1.[13C]
3080408,C[15C]([15N])[18O][17C](=[17O])[16C@H]([14CH]c1ccccc1F)c1ccc(N2Cc3c(F)cccc3C2=O)cc1.[13C]
3081821,C[15C]=[15N].O=C1c2cccc(F)c2CN1c1ccc([16C@@H]([14CH]c2ccccc2F)[17C](=[17O])[18O])cc1.[13C]
3082972,C[15C][17C](=[17O])[18O].O=C1c2cccc(F)c2CN1c1ccc([16CH][14CH]c2ccccc2F)cc1.[13C].[15N]
3083552,C[15C][17C]([17O])([18O])[16C@H]([14CH]c1ccccc1F)c1ccc(N2Cc3c(F)cccc3C2=O)cc1.[13C].[15N]
3083557,C[15C][17C](=[17O])[16C@H]([14CH]c1ccccc1F)c1ccc(N2Cc3c(F)cccc3C2=O)cc1.[13C].[15N].[18O]
3092317,C[15C][16C@H]([14CH]c1ccccc1F)c1ccc(N2Cc3c(F)cccc3C2=O)cc1.[13C].[15N].[17C][18O].[17O]
3092328,C[15C][16C@H]([14CH]c1ccccc1F)c1ccc(N2Cc3c(F)cccc3C2=O)cc1.[13C].[15N].[17C][17O].[18O]
3092336,C[15C][16C@H]([14CH]c1ccccc1F)c1ccc(N2Cc3c(F)cccc3C2=O)cc1.[13C].[15N].[17O][17C][18O]
3092337,C[15C][16C@H]([14CH]c1ccccc1F)c1ccc(N2Cc3c(F)cccc3C2=O)cc1.[13C].[15N].[17C]1[17O][18O]1
3092338,C[15C][16C@H]([14CH]c1ccccc1F)c1ccc(N2Cc3c(F)cccc3C2=O)cc1.[13C].[15N][18O][17C][17O]
3092339,C[15C][16C@H]([14CH]c1ccccc1F)c1ccc(N2Cc3c(F)cccc3C2=O)cc1.[13C].[15N][17O][17C][18O]
3092341,C[15C][16C@H]([14CH]c1ccccc1F)c1ccc(N2Cc3c(F)cccc3C2=O)cc1.[13C].[15N].[17O][17C]=[18O]
3092343,C[15C][16C@H]([14CH]c1ccccc1F)c1ccc(N2Cc3c(F)cccc3C2=O)cc1.[13C].[15N].[17C]=[17O].[18O]
3092344,C[15C][16C@H]([14CH]c1ccccc1F)c1ccc(N2Cc3c(F)cccc3C2=O)cc1.[13C].[15N][18O].[17C]=[17O]
3092346,C[15C][16C@H]([14CH]c1ccccc1F)c1ccc(N2Cc3c(F)cccc3C2=O)cc1.[13C].[15N].[17O]=[17C][18O]
3092347,C[15C][16C@H]([14CH]c1ccccc1F)c1ccc(N2Cc3c(F)cccc3C2=O)cc1.[13C].[15N][18O][17C]=[17O]
3092348,C[15C][16C@H]([14CH]c1ccccc1F)c1ccc(N2Cc3c(F)cccc3C2=O)cc1.[13C].[15N].[17O]=[17C]=[18O]
3092377,C[15C][16C@H]([14CH]c1ccccc1F)c1ccc(N2Cc3c(F)cccc3C2=O)cc1.[13C].[15N][17C]([17O])[18O]
3092384,C[15C][16C@H]([14CH]c1ccccc1F)c1ccc(N2Cc3c(F)cccc3C2=O)cc1.[13C].[15N][17C]=[17O].[18O]
3092387,C[15C][16C@H]([14CH]c1ccccc1F)c1ccc(N2Cc3c(F)cccc3C2=O)cc1.[13C].[15N][17C](=[17O])[18O]
3092388,C[15C][16C@H]([14CH]c1ccccc1F)c1ccc(N2Cc3c(F)cccc3C2=O)cc1.[13C].[17O]=[17C]1[15N][18O]1
3093190,C[15C]([18O][17C][17O])[16C@H]([14CH]c1ccccc1F)c1ccc(N2Cc3c(F)cccc3C2=O)cc1.[13C].[15N]
3093192,C[15C]([18O])[16C@H]([14CH]c1ccccc1F)c1ccc(N2Cc3c(F)cccc3C2=O)cc1.[13C].[15N].[17C]=[17O]
3093194,C[15C]([18O][17C]=[17O])[16C@H]([14CH]c1ccccc1F)c1ccc(N2Cc3c(F)cccc3C2=O)cc1.[13C].[15N]
3093214,C[15C]([18O][17C]([15N])=[17O])[16C@H]([14CH]c1ccccc1F)c1ccc(N2Cc3c(F)cccc3C2=O)cc1.[13C]
3093729,C[15C]([17O][17C][18O])[16C@H]([14CH]c1ccccc1F)c1ccc(N2Cc3c(F)cccc3C2=O)cc1.[13C].[15N]
3094607,C[15C]([15N])[16C@H]([14CH]c1ccccc1F)c1ccc(N2Cc3c(F)cccc3C2=O)cc1.[13C].[17O][17C][18O]
3094614,C[15C]([15N])[16C@H]([14CH]c1ccccc1F)c1ccc(N2Cc3c(F)cccc3C2=O)cc1.[13C].[17C]=[17O].[18O]
3094617,C[15C]([15N])[16C@H]([14CH]c1ccccc1F)c1ccc(N2Cc3c(F)cccc3C2=O)cc1.[13C].[17O]=[17C][18O]
3094618,C[15C]([15N][18O][17C]=[17O])[16C@H]([14CH]c1ccccc1F)c1ccc(N2Cc3c(F)cccc3C2=O)cc1.[13C]
3094619,C[15C]([15N])[16C@H]([14CH]c1ccccc1F)c1ccc(N2Cc3c(F)cccc3C2=O)cc1.[13C].[17O]=[17C]=[18O]
3094647,C[15C]([15N][17C](=[17O])[18O])[16C@H]([14CH]c1ccccc1F)c1ccc(N2Cc3c(F)cccc3C2=O)cc1.[13C]
3095170,C[15C]([15N])([18O][17C]=[17O])[16C@H]([14CH]c1ccccc1F)c1ccc(N2Cc3c(F)cccc3C2=O)cc1.[13C]
3096049,C[15C](=[15N])[16C@H]([14CH]c1ccccc1F)c1ccc(N2Cc3c(F)cccc3C2=O)cc1.[13C].[17O]=[17C][18O]
3096707,C[15C]([16C@H]([14CH]c1ccccc1F)c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[17C]([17O])[18O].[13C].[15N]
3096714,C[15C]([17C]=[17O])[16C@H]([14CH]c1ccccc1F)c1ccc(N2Cc3c(F)cccc3C2=O)cc1.[13C].[15N].[18O]
3096717,C[15C]([16C@H]([14CH]c1ccccc1F)c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[17C](=[17O])[18O].[13C].[15N]
3096718,C[15C]([16C@H]([14CH]c1ccccc1F)c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[17C](=[17O])[18O][15N].[13C]
3097405,C[15C]1([16C@H]([14CH]c2ccccc2F)c2ccc(N3Cc4c(F)cccc4C3=O)cc2)[18O][17C]1=[17O].[13C].[15N]
3098503,C[15C]([15N])([16C@H]([14CH]c1ccccc1F)c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[17C](=[17O])[18O].[13C]
