rmat_tag,pdt_smiles
1310625,[14C][13C][15N][17O][18O][16C].[15C].[17C]
1310643,[14C][13C][15N]([17C])[18O][16C].[15C].[17O]
1310650,[14C][13C][15N]([17C][17O])[18O][16C].[15C]
1310659,[14C][13C][15N]=[17C][18O][16C].[15C].[17O]
1310688,[14C][13C][15N][17O][16C].[15C].[17C][18O]
1310704,[14C][13C][15N][17C][18O][17O][16C].[15C]
1310711,[14C][13C][15N][17C]([18O])[17O][16C].[15C]
1310720,[14C][13C][15N]=[17C]([18O])[17O][16C].[15C]
1310729,[14C][13C][15N][18O][16C][17O][17C].[15C]
1310737,[14C][13C][15N][17C][17O][16C][18O].[15C]
1310744,[14C][13C][15N]=[17C]1[17O][16C][18O]1.[15C]
1310768,[14C][13C][15N][18O][16C]=[17O].[15C].[17C]
1310784,[14C][13C][15N]([16C])[17O][18O].[15C].[17C]
1310796,[14C][13C][15N]([16C])[17O][17C].[15C].[18O]
1310805,[14C][13C][15N][16C].[15C].[17O]=[17C][18O]
1310813,[14C][13C][15N]([16C])[17C]=[18O].[15C].[17O]
1310818,[14C][13C][15N]([16C])[17C]([17O])=[18O].[15C]
1310825,[14C][13C][15N]1[16C][18O][17O]1.[15C].[17C]
1310832,[14C][13C][15N][16C][18O][17C][17O].[15C]
1310837,[14C][13C][15N]([17C])[16C][18O].[15C].[17O]
1310842,[14C][13C][15N]1[16C][18O][17C]1[17O].[15C]
1310849,[14C][13C][15N][16C]=[18O].[15C].[17C]=[17O]
1310855,[14C][13C][15N]([18O])[16C][17O].[15C].[17C]
1310861,[14C][13C][15N]1[16C][17O]1.[15C].[17C][18O]
1310868,[14C][13C][15N][16C][17O][17C]=[18O].[15C]
1310873,[14C][13C][15N]([16C][17O])[17C]=[18O].[15C]
1310878,[14C][13C][15N][16C]1[17O][18O]1.[15C].[17C]
1310883,[14C][13C][15N][16C]([18O])[17O][17C].[15C]
1310888,[14C][13C][15N]1[17C][18O][16C]1[17O].[15C]
1310899,[14C][13C][15N]([16C]=[17O])[18O][17C].[15C]
1310924,[14C][13C][15N]=[16C][18O][17O].[15C].[17C]
1310930,[14C][13C][15N]=[16C][18O][17C]=[17O].[15C]
1310940,[14C][13C][15N]=[16C][17O][17C][18O].[15C]
1310974,[14C][13C][15N][18O][17O][17C][16C].[15C]
1310982,[14C][13C][15N]1[17O][17C]([16C])[18O]1.[15C]
1310994,[14C][13C][15N]([17C][16C])[18O][17O].[15C]
1310999,[14C][13C][15N]1[18O][17C]1[16C].[15C].[17O]
1311004,[14C][13C][15N][17C]([16C])[17O].[15C].[18O]
1311009,[14C][13C][15N][17C]([16C])([17O])[18O].[15C]
1311014,[14C][13C][15N]([18O])[17C]([16C])=[17O].[15C]
1311021,[14C][13C][15N]=[17C]([16C])[17O][18O].[15C]
1311035,[14C][13C][15N][17O][17C][16C][18O].[15C]
1311043,[14C][13C][15N][17C][16C][18O][17O].[15C]
1311048,[14C][13C][15N]([17O])[17C]1[16C][18O]1.[15C]
1311053,[14C][13C][15N][17C]1([17O])[16C][18O]1.[15C]
