rmat_tag,pdt_smiles
500000,[13C]C(Cl)=CC(Cl)=C[14C]1[16C](C=c2c(=C[15C][15N])c(C3CCCCC3)c(-c3ccccc3)n2CC(=O)N2CCOCC2)=[17C]1[17O][18O]
500001,[13C]C(Cl)=CC(Cl)=C[14C]1[16C](C=c2c(=C[15C][15N][18O])c(C3CCCCC3)c(-c3ccccc3)n2CC(=O)N2CCOCC2)=[17C]1[17O]
500002,[13C]C(Cl)=CC(Cl)=C[14C]1[16C]2=[17C]1[17O][18O][15N][15C]C=c1c(C3CCCCC3)c(-c3ccccc3)n(CC(=O)N3CCOCC3)c1=C2
500003,[13C]C(Cl)=CC(Cl)=C[14C]1[16C](C=c2c(=C[15C][15N]=[18O])c(C3CCCCC3)c(-c3ccccc3)n2CC(=O)N2CCOCC2)=[17C]1[17O]
500004,[13C]C(Cl)=CC(Cl)=C[14C]1[16C]2=[17C]1[17O][15N][15C]C=c1c(C3CCCCC3)c(-c3ccccc3)n(CC(=O)N3CCOCC3)c1=C2.[18O]
500005,[13C]C(Cl)=CC(Cl)=C[14C]1[16C]2=[17C]1[17O][15N]([18O])[15C]C=c1c(C3CCCCC3)c(-c3ccccc3)n(CC(=O)N3CCOCC3)c1=C2
500006,[13C]C(Cl)=CC(Cl)=C[14C]1[16C]2=[17C]1[15N][15C]C=c1c(C3CCCCC3)c(-c3ccccc3)n(CC(=O)N3CCOCC3)c1=C2.[17O].[18O]
500007,[13C]C(Cl)=CC(Cl)=C[14C]1[16C]2=[17C]1[15N][15C]C=c1c(C3CCCCC3)c(-c3ccccc3)n(CC(=O)N3CCOCC3)c1=C2.[17O][18O]
500008,[13C]C(Cl)=CC(Cl)=C[14C]1[16C]2=[17C]1[15N][15C]C=c1c(C3CCCCC3)c(-c3ccccc3)n(CC(=O)N3CCOCC3)c1=C2.[17O]=[18O]
500009,[13C]C(Cl)=CC(Cl)=C[14C]1[16C]2=[17C]1[15N]([18O])[15C]C=c1c(C3CCCCC3)c(-c3ccccc3)n(CC(=O)N3CCOCC3)c1=C2.[17O]
500010,[13C]C(Cl)=CC(Cl)=C[14C]1[16C]2=[17C]1[15N]([18O][17O])[15C]C=c1c(C3CCCCC3)c(-c3ccccc3)n(CC(=O)N3CCOCC3)c1=C2
500011,[13C]C(Cl)=CC(Cl)=C[14C]1[16C]2=[17C]1[15N]([17O])[15C]C=c1c(C3CCCCC3)c(-c3ccccc3)n(CC(=O)N3CCOCC3)c1=C2.[18O]
500012,[13C]C(Cl)=CC(Cl)=C[14C]1[16C]2=[17C]1[15N]([17O][18O])[15C]C=c1c(C3CCCCC3)c(-c3ccccc3)n(CC(=O)N3CCOCC3)c1=C2
500084,[13C]C(Cl)=CC(Cl)=C[14C]([17C])[16C]C=c1c(=C[15C]([15N])[18O])c(C2CCCCC2)c(-c2ccccc2)n1CC(=O)N1CCOCC1.[17O]
500085,[13C]C(Cl)=CC(Cl)=C[14C]([17C])[16C]C=c1c(=C[15C]([15N])[18O][17O])c(C2CCCCC2)c(-c2ccccc2)n1CC(=O)N1CCOCC1
500086,[13C]C(Cl)=CC(Cl)=C[14C]([17C])[16C]C=c1c(=C[15C]2[15N][18O]2)c(C2CCCCC2)c(-c2ccccc2)n1CC(=O)N1CCOCC1.[17O]
500087,[13C]C(Cl)=CC(Cl)=C[14C]([17C])[16C]C=c1c(=C[15C]([18O])[15N][17O])c(C2CCCCC2)c(-c2ccccc2)n1CC(=O)N1CCOCC1
500088,[13C]C(Cl)=CC(Cl)=C[14C]([17C])[16C]C=c1c(=C[15C]2[15N][17O][18O]2)c(C2CCCCC2)c(-c2ccccc2)n1CC(=O)N1CCOCC1
500089,[13C]C(Cl)=CC(Cl)=C[14C]([17C])[16C]C=c1c(=C[15C]2[18O][15N]2[17O])c(C2CCCCC2)c(-c2ccccc2)n1CC(=O)N1CCOCC1
500090,[13C]C(Cl)=CC(Cl)=C[14C]([17C])[16C]C=c1c(=C[15C]([18O])[15N]=[17O])c(C2CCCCC2)c(-c2ccccc2)n1CC(=O)N1CCOCC1
500091,[13C]C(Cl)=CC(Cl)=C[14C]1[16C]C=c2c(c(C3CCCCC3)c(-c3ccccc3)n2CC(=O)N2CCOCC2)=C[15C]([15N])[18O][17C]1.[17O]
500092,[13C]C(Cl)=CC(Cl)=C[14C]1[16C]C=c2c(c(C3CCCCC3)c(-c3ccccc3)n2CC(=O)N2CCOCC2)=C[15C]([15N][17O])[18O][17C]1
500093,[13C]C(Cl)=CC(Cl)=C[14C]1[16C]C=c2c(c(C3CCCCC3)c(-c3ccccc3)n2CC(=O)N2CCOCC2)=C[15C]([15N]=[17O])[18O][17C]1
500094,[13C]C(Cl)=CC(Cl)=C[14C]([16C]C=c1c(=C[15C]([15N])[18O])c(C2CCCCC2)c(-c2ccccc2)n1CC(=O)N1CCOCC1)[17C][17O]
500095,[13C]C(Cl)=CC(Cl)=C[14C]1[16C]C=c2c(c(C3CCCCC3)c(-c3ccccc3)n2CC(=O)N2CCOCC2)=C[15C]([15N])[18O][17O][17C]1
500096,[13C]C(Cl)=CC(Cl)=C[14C]([16C]C=c1c(=C[15C]2[15N][18O]2)c(C2CCCCC2)c(-c2ccccc2)n1CC(=O)N1CCOCC1)[17C][17O]
500097,[13C]C(Cl)=CC(Cl)=C[14C]1[16C]C=c2c(c(C3CCCCC3)c(-c3ccccc3)n2CC(=O)N2CCOCC2)=C[15C]([18O])[15N][17O][17C]1
500098,[13C]C(Cl)=CC(Cl)=C[14C]1[16C]C=c2c(c(C3CCCCC3)c(-c3ccccc3)n2CC(=O)N2CCOCC2)=C[15C]2[18O][15N]2[17O][17C]1
500099,[13C]C(Cl)=CC(Cl)=C[14C]1[16C]C=c2c(c(C3CCCCC3)c(-c3ccccc3)n2CC(=O)N2CCOCC2)=C[15C]([15N])[18O][17C]1[17O]
500100,[13C]C(Cl)=CC(Cl)=C[14C]1[16C]C=c2c(c(C3CCCCC3)c(-c3ccccc3)n2CC(=O)N2CCOCC2)=C[15C]2[15N][17O][17C]1[18O]2
500101,[13C]C(Cl)=CC(Cl)=C[14C]([16C]C=c1c(=C[15C]([15N])[18O])c(C2CCCCC2)c(-c2ccccc2)n1CC(=O)N1CCOCC1)[17C]=[17O]
500102,[13C]C(Cl)=CC(Cl)=C[14C]([16C]C=c1c(=C[15C]2[15N][18O]2)c(C2CCCCC2)c(-c2ccccc2)n1CC(=O)N1CCOCC1)[17C]=[17O]
500103,[13C]C(Cl)=CC(Cl)=C[14C]1[16C]C=c2c(c(C3CCCCC3)c(-c3ccccc3)n2CC(=O)N2CCOCC2)=C[15C]([15N])[18O][17C]1=[17O]
500104,[13C]C(Cl)=CC(Cl)=C[14C]1[16C]C=c2c(c(C3CCCCC3)c(-c3ccccc3)n2CC(=O)N2CCOCC2)=C[15C]([18O])[15N][17C]1.[17O]
500105,[13C]C(Cl)=CC(Cl)=C[14C]1[16C]C=c2c(c(C3CCCCC3)c(-c3ccccc3)n2CC(=O)N2CCOCC2)=C[15C]([18O][17O])[15N][17C]1
500106,[13C]C(Cl)=CC(Cl)=C[14C]1[16C]C=c2c(c(C3CCCCC3)c(-c3ccccc3)n2CC(=O)N2CCOCC2)=C[15C]2[18O][15N]2[17C]1.[17O]
500107,[13C]C(Cl)=CC(Cl)=C[14C]1[16C]C=c2c(c(C3CCCCC3)c(-c3ccccc3)n2CC(=O)N2CCOCC2)=C[15C]([18O])[15N]([17O])[17C]1
500108,[13C]C(Cl)=CC(Cl)=C[14C]1[16C]C=c2c(c(C3CCCCC3)c(-c3ccccc3)n2CC(=O)N2CCOCC2)=C[15C]2[18O][17O][15N]2[17C]1
500109,[13C]C(Cl)=CC(Cl)=C[14C]1[16C]C=c2c(c(C3CCCCC3)c(-c3ccccc3)n2CC(=O)N2CCOCC2)=C[15C]2[15N][17C]1[18O]2.[17O]
500110,[13C]C(Cl)=CC(Cl)=C[14C]1[16C]C=c2c(c(C3CCCCC3)c(-c3ccccc3)n2CC(=O)N2CCOCC2)=C[15C]2[18O][17C]1[15N]2[17O]
500111,[13C]C(Cl)=CC(Cl)=C[14C]1[16C]C=c2c(c(C3CCCCC3)c(-c3ccccc3)n2CC(=O)N2CCOCC2)=C[15C]([18O])[15N][17C]1[17O]
500112,[13C]C(Cl)=CC(Cl)=C[14C]1[16C]C=c2c(c(C3CCCCC3)c(-c3ccccc3)n2CC(=O)N2CCOCC2)=C[15C]2[15N][17C]1[17O][18O]2
500113,[13C]C(Cl)=CC(Cl)=C[14C]1[16C]C=c2c(c(C3CCCCC3)c(-c3ccccc3)n2CC(=O)N2CCOCC2)=C[15C]2[18O][15N]2[17C]1[17O]
500114,[13C]C(Cl)=CC(Cl)=C[14C]1[16C]C=c2c(c(C3CCCCC3)c(-c3ccccc3)n2CC(=O)N2CCOCC2)=C[15C]([18O])[15N]2[17O][17C]12
500115,[13C]C(Cl)=CC(Cl)=C[14C]1[16C]C=c2c(c(C3CCCCC3)c(-c3ccccc3)n2CC(=O)N2CCOCC2)=C[15C]2[15N][17C]1([17O])[18O]2
500116,[13C]C(Cl)=CC(Cl)=C[14C]1[16C]C=c2c(c(C3CCCCC3)c(-c3ccccc3)n2CC(=O)N2CCOCC2)=C[15C]2[18O][17C]13[17O][15N]23
500117,[13C]C(Cl)=CC(Cl)=C[14C]1[16C]C=c2c(c(C3CCCCC3)c(-c3ccccc3)n2CC(=O)N2CCOCC2)=C[15C]([18O])[15N][17C]1=[17O]
500118,[13C]C(Cl)=CC(Cl)=C[14C]1[16C]C=c2c(c(C3CCCCC3)c(-c3ccccc3)n2CC(=O)N2CCOCC2)=C[15C]2[18O][15N]2[17C]1=[17O]
500119,[13C]C(Cl)=CC(Cl)=C[14C]1[16C]C=c2c(c(C3CCCCC3)c(-c3ccccc3)n2CC(=O)N2CCOCC2)=C[15C]([18O])[15N]=[17C]1.[17O]
500120,[13C]C(Cl)=CC(Cl)=C[14C]1[16C]C=c2c(c(C3CCCCC3)c(-c3ccccc3)n2CC(=O)N2CCOCC2)=C[15C]([18O][17O])[15N]=[17C]1
500121,[13C]C(Cl)=CC(Cl)=C[14C]1[16C]C=c2c(c(C3CCCCC3)c(-c3ccccc3)n2CC(=O)N2CCOCC2)=C[15C]2[15N]=[17C]1[18O]2.[17O]
500122,[13C]C(Cl)=CC(Cl)=C[14C]1[16C]C=c2c(c(C3CCCCC3)c(-c3ccccc3)n2CC(=O)N2CCOCC2)=C[15C]([18O])[15N]=[17C]1[17O]
500123,[13C]C(Cl)=CC(Cl)=C[14C]1[16C]C=c2c(c(C3CCCCC3)c(-c3ccccc3)n2CC(=O)N2CCOCC2)=C[15C]2[15N]=[17C]1[17O][18O]2
500124,[13C]C(Cl)=CC(Cl)=C[14C]([17C])[16C]1C=c2c(c(C3CCCCC3)c(-c3ccccc3)n2CC(=O)N2CCOCC2)=C[15C]([15N])[18O]1.[17O]
500125,[13C]C(Cl)=CC(Cl)=C[14C]([17C])[16C]1C=c2c(c(C3CCCCC3)c(-c3ccccc3)n2CC(=O)N2CCOCC2)=C[15C]([15N][17O])[18O]1
500126,[13C]C(Cl)=CC(Cl)=C[14C]([17C])[16C]1C=c2c(c(C3CCCCC3)c(-c3ccccc3)n2CC(=O)N2CCOCC2)=C[15C]([15N]=[17O])[18O]1
500127,[13C]C(Cl)=CC(Cl)=C[14C]([17C][17O])[16C]1C=c2c(c(C3CCCCC3)c(-c3ccccc3)n2CC(=O)N2CCOCC2)=C[15C]([15N])[18O]1
500128,[13C]C(Cl)=CC(Cl)=C[14C]1[17C][17O][15N][15C]2C=c3c(C4CCCCC4)c(-c4ccccc4)n(CC(=O)N4CCOCC4)c3=C[16C]1[18O]2
500129,[13C]C(Cl)=CC(Cl)=C[14C]([17C]=[17O])[16C]1C=c2c(c(C3CCCCC3)c(-c3ccccc3)n2CC(=O)N2CCOCC2)=C[15C]([15N])[18O]1
500130,[13C]C(Cl)=CC(Cl)=C[14C]1[17C][15N][15C]2C=c3c(C4CCCCC4)c(-c4ccccc4)n(CC(=O)N4CCOCC4)c3=C[16C]1[18O]2.[17O]
500131,[13C]C(Cl)=CC(Cl)=C[14C]1[17C][15N]([17O])[15C]2C=c3c(C4CCCCC4)c(-c4ccccc4)n(CC(=O)N4CCOCC4)c3=C[16C]1[18O]2
500132,[13C]C(Cl)=CC(Cl)=C[14C]1[16C]2C=c3c(c(C4CCCCC4)c(-c4ccccc4)n3CC(=O)N3CCOCC3)=C[15C]([15N][17C]1[17O])[18O]2
500133,[13C]C(Cl)=CC(Cl)=C[14C]1[16C]2C=c3c(c(C4CCCCC4)c(-c4ccccc4)n3CC(=O)N3CCOCC3)=C[15C]([18O]2)[15N]2[17O][17C]12
