rmat_tag,pdt_smiles
1733813,[16C]C=c1c(=C[15C]=[14C]2C=C(Cl)C=C(Cl)[13C]2[15N])c(C2CCCCC2)c(-c2ccccc2)n1CC(=O)N1CCOCC1.[17C].[17O].[18O]
1733814,[16C]C=c1c(=C[15C]=[14C]2C=C(Cl)C=C(Cl)[13C]2[15N])c(C2CCCCC2)c(-c2ccccc2)n1CC(=O)N1CCOCC1.[17C].[17O][18O]
1733815,[16C]C=c1c(=C[15C]=[14C]2C=C(Cl)C=C(Cl)[13C]2[15N])c(C2CCCCC2)c(-c2ccccc2)n1CC(=O)N1CCOCC1.[17C].[17O]=[18O]
1733816,[16C]C=c1c(=C[15C]=[14C]2C=C(Cl)C=C(Cl)[13C]2[15N][18O])c(C2CCCCC2)c(-c2ccccc2)n1CC(=O)N1CCOCC1.[17C].[17O]
1733817,[16C]C=c1c(=C[15C]=[14C]2C=C(Cl)C=C(Cl)[13C]2[15N][18O][17O])c(C2CCCCC2)c(-c2ccccc2)n1CC(=O)N1CCOCC1.[17C]
1733818,[16C]C=c1c(=C[15C]=[14C]2C=C(Cl)C=C(Cl)[13C]2[15N]=[18O])c(C2CCCCC2)c(-c2ccccc2)n1CC(=O)N1CCOCC1.[17C].[17O]
1733819,[16C]C=c1c(=C[15C]=[14C]2C=C(Cl)C=C(Cl)[13C]2[15N][17O])c(C2CCCCC2)c(-c2ccccc2)n1CC(=O)N1CCOCC1.[17C].[18O]
1733820,[16C]C=c1c(=C[15C]=[14C]2C=C(Cl)C=C(Cl)[13C]2[15N][17O][18O])c(C2CCCCC2)c(-c2ccccc2)n1CC(=O)N1CCOCC1.[17C]
1733821,[16C]C=c1c(=C[15C]=[14C]2C=C(Cl)C=C(Cl)[13C]2[15N]([17O])[18O])c(C2CCCCC2)c(-c2ccccc2)n1CC(=O)N1CCOCC1.[17C]
1733822,[16C]C=c1c(=C[15C]=[14C]2C=C(Cl)C=C(Cl)[13C]2[15N]2[17O][18O]2)c(C2CCCCC2)c(-c2ccccc2)n1CC(=O)N1CCOCC1.[17C]
1733823,[16C]C=c1c(=C[15C]=[14C]2C=C(Cl)C=C(Cl)[13C]2[15N]=[17O])c(C2CCCCC2)c(-c2ccccc2)n1CC(=O)N1CCOCC1.[17C].[18O]
1733824,[16C]C=c1c(=C[15C]=[14C]2C=C(Cl)C=C(Cl)[13C]2[15N])c(C2CCCCC2)c(-c2ccccc2)n1CC(=O)N1CCOCC1.[17C][18O].[17O]
1733825,[16C]C=c1c(=C[15C]=[14C]2C=C(Cl)C=C(Cl)[13C]2[15N])c(C2CCCCC2)c(-c2ccccc2)n1CC(=O)N1CCOCC1.[17C][18O][17O]
1733826,[16C]C=c1c(=C[15C]=[14C]2C=C(Cl)C=C(Cl)[13C]2[15N][18O][17C])c(C2CCCCC2)c(-c2ccccc2)n1CC(=O)N1CCOCC1.[17O]
1733827,[16C]C=c1c(=C[15C]=[14C]2C=C(Cl)C=C(Cl)[13C]2[15N][17O])c(C2CCCCC2)c(-c2ccccc2)n1CC(=O)N1CCOCC1.[17C][18O]
1733828,[16C]C=c1c(=C[15C]=[14C]2C=C(Cl)C=C(Cl)[13C]2[15N][17O][18O][17C])c(C2CCCCC2)c(-c2ccccc2)n1CC(=O)N1CCOCC1
1733829,[16C]C=c1c(=C[15C]=[14C]2C=C(Cl)C=C(Cl)[13C]2[15N]([17O])[18O][17C])c(C2CCCCC2)c(-c2ccccc2)n1CC(=O)N1CCOCC1
1733830,[16C]C=c1c(=C[15C]=[14C]2C=C(Cl)C=C(Cl)[13C]2[15N]=[17O])c(C2CCCCC2)c(-c2ccccc2)n1CC(=O)N1CCOCC1.[17C][18O]
1733831,[16C]C=c1c(=C[15C]=[14C]2C=C(Cl)C=C(Cl)[13C]2[15N])c(C2CCCCC2)c(-c2ccccc2)n1CC(=O)N1CCOCC1.[17C]=[18O].[17O]
1733832,[16C]C=c1c(=C[15C]=[14C]2C=C(Cl)C=C(Cl)[13C]2[15N][17O])c(C2CCCCC2)c(-c2ccccc2)n1CC(=O)N1CCOCC1.[17C]=[18O]
1733833,[16C]C=c1c(=C[15C]=[14C]2C=C(Cl)C=C(Cl)[13C]2[15N]=[17O])c(C2CCCCC2)c(-c2ccccc2)n1CC(=O)N1CCOCC1.[17C]=[18O]
1733834,[16C]C=c1c(=C[15C]=[14C]2C=C(Cl)C=C(Cl)[13C]2[15N])c(C2CCCCC2)c(-c2ccccc2)n1CC(=O)N1CCOCC1.[17C][17O].[18O]
1733835,[16C]C=c1c(=C[15C]=[14C]2C=C(Cl)C=C(Cl)[13C]2[15N])c(C2CCCCC2)c(-c2ccccc2)n1CC(=O)N1CCOCC1.[17C][17O][18O]
1733836,[16C]C=c1c(=C[15C]=[14C]2C=C(Cl)C=C(Cl)[13C]2[15N][18O])c(C2CCCCC2)c(-c2ccccc2)n1CC(=O)N1CCOCC1.[17C][17O]
1733837,[16C]C=c1c(=C[15C]=[14C]2C=C(Cl)C=C(Cl)[13C]2[15N][18O][17O][17C])c(C2CCCCC2)c(-c2ccccc2)n1CC(=O)N1CCOCC1
1733838,[16C]C=c1c(=C[15C]=[14C]2C=C(Cl)C=C(Cl)[13C]2[15N]=[18O])c(C2CCCCC2)c(-c2ccccc2)n1CC(=O)N1CCOCC1.[17C][17O]
1733839,[16C]C=c1c(=C[15C]=[14C]2C=C(Cl)C=C(Cl)[13C]2[15N][17O][17C])c(C2CCCCC2)c(-c2ccccc2)n1CC(=O)N1CCOCC1.[18O]
1733840,[16C]C=c1c(=C[15C]=[14C]2C=C(Cl)C=C(Cl)[13C]2[15N]([18O])[17O][17C])c(C2CCCCC2)c(-c2ccccc2)n1CC(=O)N1CCOCC1
1733841,[16C]C=c1c(=C[15C]=[14C]2C=C(Cl)C=C(Cl)[13C]2[15N])c(C2CCCCC2)c(-c2ccccc2)n1CC(=O)N1CCOCC1.[17O][17C][18O]
1733842,[16C]C=c1c(=C[15C]=[14C]2C=C(Cl)C=C(Cl)[13C]2[15N])c(C2CCCCC2)c(-c2ccccc2)n1CC(=O)N1CCOCC1.[17C]1[17O][18O]1
1733843,[16C]C=c1c(=C[15C]=[14C]2C=C(Cl)C=C(Cl)[13C]2[15N][18O][17C][17O])c(C2CCCCC2)c(-c2ccccc2)n1CC(=O)N1CCOCC1
1733844,[16C]C=c1c(=C[15C]=[14C]2C=C(Cl)C=C(Cl)[13C]2[15N][17O][17C][18O])c(C2CCCCC2)c(-c2ccccc2)n1CC(=O)N1CCOCC1
1733845,[16C]C=c1c(=C[15C]=[14C]2C=C(Cl)C=C(Cl)[13C]2[15N]2[17O][17C][18O]2)c(C2CCCCC2)c(-c2ccccc2)n1CC(=O)N1CCOCC1
1733846,[16C]C=c1c(=C[15C]=[14C]2C=C(Cl)C=C(Cl)[13C]2[15N])c(C2CCCCC2)c(-c2ccccc2)n1CC(=O)N1CCOCC1.[17O][17C]=[18O]
