,rmat_tag,pdt_smiles,frag_in_large,pdt_cleaned,pmi_x,pmi_y
0,121,[13C].[14C].[15C].[16C][18O][17O][15N].[17C],[16C][18O][17O][15N],COON,0.19787153383010161,0.9500441577990688
100,1061,[13C].[14C].[15C].[16C]1[17C]2[18O][15N]12.[17O],[16C]1[17C]2[18O][15N]12,C1C2ON12,0.2501469565441427,0.824445147081132
200,2201,[13C].[14C].[15C][18O][16C]1[17C]=[15N][17O]1,[15C][18O][16C]1[17C]=[15N][17O]1,COC1C=NO1,0.19792163486422146,0.9080545833411783
300,3279,[13C].[14C].[15C][17O].[18O][15N]1[16C][17C]1,[18O][15N]1[16C][17C]1,ON1CC1,0.33031197100637655,0.836481637126076
400,4298,[13C].[14C].[15C]=[17O].[16C]=[17C]1[15N][18O]1,[16C]=[17C]1[15N][18O]1,C=C1NO1,0.2165093992763698,0.7834906007257502
500,5077,[13C].[14C].[15C][15N].[17O][16C]1[17C][18O]1,[17O][16C]1[17C][18O]1,OC1CO1,0.3363703092655857,0.8997111431917674
600,5912,[13C].[14C].[17C][16C]([17O])[15N]1[15C][18O]1,[17C][16C]([17O])[15N]1[15C][18O]1,CC(O)N1CO1,0.32757191984646195,0.7847500393739594
700,6823,[13C].[14C].[16C][17O][15C]([15N])[18O].[17C],[16C][17O][15C]([15N])[18O],COC(N)O,0.38604088932603153,0.7504820189540167
800,7701,[13C].[14C].[15C]=[15N][17C]=[16C].[17O].[18O],[15C]=[15N][17C]=[16C],C=NC=C,0.17266065461597388,0.9486152238727288
900,8995,[13C].[14C].[15C][17C]1([18O])[15N][17O]1.[16C],[15C][17C]1([18O])[15N][17O]1,CC1(O)NO1,0.5965505465713787,0.6906859687978605
1000,9749,[13C].[14C].[15C][17C]1[17O][16C]1[18O][15N],[15C][17C]1[17O][16C]1[18O][15N],CC1OC1ON,0.2483755364246227,0.870616735504487
1100,10700,[13C].[14C].[18O][15C][17C]12[16C][15N]1[17O]2,[18O][15C][17C]12[16C][15N]1[17O]2,OCC12CN1O2,0.32787813863438375,0.8296017233200159
1200,11513,[13C].[14C].[18O][17C]12[15C][17O][15N]1[16C]2,[18O][17C]12[15C][17O][15N]1[16C]2,OC12CON1C2,0.6698271438717995,0.7296101469607253
1300,12547,[13C].[14C].[16C][17O][17C](=[18O])[15C][15N],[16C][17O][17C](=[18O])[15C][15N],COC(=O)CN,0.17973200549646945,0.8476875652466852
