rmat_tag,pdt_smiles
1500000,O=C(Cn1c(-c2ccccc2)c(C2CCCCC2)c2c1=C[16C]1[17C]3[17O][14C]14C=C(Cl)C=C(Cl)[13C]4[15N]([15C]C=2)[18O]3)N1CCOCC1
1500001,O=C(Cn1c(-c2ccccc2)c(C2CCCCC2)c2c1=C[16C]1[17C](=[18O])[17O][14C]13C=C(Cl)C=C(Cl)[13C]3[15N][15C]C=2)N1CCOCC1
1500002,O=C(Cn1c(-c2ccccc2)c(C2CCCCC2)c2c1=C[16C]1[17C][15N]([15C]C=2)[13C]2C(Cl)=CC(Cl)=C[14C]21[17O])N1CCOCC1.[18O]
1500003,O=C(Cn1c(-c2ccccc2)c(C2CCCCC2)c2c1=C[16C]1[17C][15N]([15C]C=2)[13C]2C(Cl)=CC(Cl)=C[14C]21[17O][18O])N1CCOCC1
1500004,O=C(Cn1c(-c2ccccc2)c(C2CCCCC2)c2c1=C[16C]1[17C]([18O])[15N]([15C]C=2)[13C]2C(Cl)=CC(Cl)=C[14C]21[17O])N1CCOCC1
1500005,O=C(Cn1c(-c2ccccc2)c(C2CCCCC2)c2c1=C[16C]1[17C]3[18O][17O][14C]14C=C(Cl)C=C(Cl)[13C]4[15N]3[15C]C=2)N1CCOCC1
1500006,O=C(Cn1c(-c2ccccc2)c(C2CCCCC2)c2c1=C[16C]1[17C](=[18O])[15N]([15C]C=2)[13C]2C(Cl)=CC(Cl)=C[14C]21[17O])N1CCOCC1
1500007,O=C(Cn1c(-c2ccccc2)c(C2CCCCC2)c2c1=C[16C]1[17C]3[17O][14C]14C=C(Cl)C=C(Cl)[13C]4[15N]3[15C]C=2)N1CCOCC1.[18O]
1500008,O=C(Cn1c(-c2ccccc2)c(C2CCCCC2)c2c1=C[16C]1[14C]34C=C(Cl)C=C(Cl)[13C]3[15N]([15C]C=2)[17C]1([18O])[17O]4)N1CCOCC1
1500009,[17C][16C]1([18O])C=c2c(c(C3CCCCC3)c(-c3ccccc3)n2CC(=O)N2CCOCC2)=C[15C][15N][13C]2C(Cl)=CC(Cl)=C[14C]21[17O]
1500010,[17C][16C]12C=c3c(c(C4CCCCC4)c(-c4ccccc4)n3CC(=O)N3CCOCC3)=C[15C][15N][13C]3C(Cl)=CC(Cl)=C[14C]31[17O][18O]2
1500011,[17C][16C]12C=c3c(c(C4CCCCC4)c(-c4ccccc4)n3CC(=O)N3CCOCC3)=C[15C][15N]([18O]1)[13C]1C(Cl)=CC(Cl)=C[14C]12[17O]
1500012,[17C][16C]1([18O])C=c2c(c(C3CCCCC3)c(-c3ccccc3)n2CC(=O)N2CCOCC2)=C[15C][15N]2[17O][14C]13C=C(Cl)C=C(Cl)[13C]23
1500013,O=C(Cn1c(-c2ccccc2)c(C2CCCCC2)c2c1=C[16C]1([17C][18O]1)[14C]1([17O])C=C(Cl)C=C(Cl)[13C]1[15N][15C]C=2)N1CCOCC1
1500014,O=C(Cn1c(-c2ccccc2)c(C2CCCCC2)c2c1=C[16C]1([17C][18O]1)[14C]13C=C(Cl)C=C(Cl)[13C]1[15N]([15C]C=2)[17O]3)N1CCOCC1
