rmat_tag,pdt_smiles
121,[13C].[14C].[15C].[16C][18O][17O][15N].[17C]
136,[13C].[14C].[15C].[16C][18O][15N].[17C]=[17O]
146,[13C].[14C].[15C].[16C][18O][17C][15N][17O]
153,[13C].[14C].[15C].[16C][18O][17C]([15N])[17O]
162,[13C].[14C].[15C].[16C][18O][17O][15N]=[17C]
169,[13C].[14C].[15C].[16C][18O][17C](=[15N])[17O]
216,[13C].[14C].[15C].[16C][17O][17C][18O][15N]
228,[13C].[14C].[15C].[16C][17O][15N][17C][18O]
234,[13C].[14C].[15C].[16C][17O][17C][15N]=[18O]
242,[13C].[14C].[15C].[16C][17O][15N]=[17C].[18O]
250,[13C].[14C].[15C].[16C][17O][17C]=[15N][18O]
260,[13C].[14C].[15C].[15N][18O][16C][17O].[17C]
270,[13C].[14C].[15C].[17C][15N][18O][16C][17O]
275,[13C].[14C].[15C].[15N][17C][17O][16C][18O]
282,[13C].[14C].[15C].[15N]=[17C][18O][16C][17O]
289,[13C].[14C].[15C].[15N]#[17C][18O][16C][17O]
298,[13C].[14C].[15C].[17C]=[15N][17O][16C]=[18O]
326,[13C].[14C].[15C].[15N][17C][18O][16C]=[17O]
343,[13C].[14C].[15C].[16C][15N][17O][18O].[17C]
351,[13C].[14C].[15C].[16C][15N][17O][18O][17C]
363,[13C].[14C].[15C].[16C][15N]([18O])[17O][17C]
372,[13C].[14C].[15C].[16C][15N][18O].[17C]=[17O]
380,[13C].[14C].[15C].[16C][15N]([17C])[18O].[17O]
385,[13C].[14C].[15C].[16C][15N][17C][18O][17O]
390,[13C].[14C].[15C].[16C][15N]([17O])[17C]=[18O]
395,[13C].[14C].[15C].[16C][15N]1[17C][17O]1.[18O]
400,[13C].[14C].[15C].[16C][15N][17C]([17O])=[18O]
405,[13C].[14C].[15C].[16C][15N]1[18O][17C]1=[17O]
412,[13C].[14C].[15C].[16C][15N]=[17C][17O].[18O]
418,[13C].[14C].[15C].[15N][16C][18O][17O].[17C]
424,[13C].[14C].[15C].[17C][18O][16C][15N].[17O]
431,[13C].[14C].[15C].[17C][17O][15N]1[16C][18O]1
436,[13C].[14C].[15C].[15N][16C][18O][17C]=[17O]
451,[13C].[14C].[15C].[17O]=[17C][15N]1[16C][18O]1
473,[13C].[14C].[15C].[17O]=[17C]=[15N][16C]=[18O]
480,[13C].[14C].[15C].[17C].[18O][15N]1[16C][17O]1
492,[13C].[14C].[15C].[16C]1[15N][18O][17C][17O]1
497,[13C].[14C].[15C].[17C][15N]1[16C][17O][18O]1
502,[13C].[14C].[15C].[18O][17C][15N]1[16C][17O]1
507,[13C].[14C].[15C].[18O][17C]1[15N][16C][17O]1
512,[13C].[14C].[15C].[17O][16C][15N]=[17C][18O]
517,[13C].[14C].[15C].[15N][16C]([17O])[18O].[17C]
522,[13C].[14C].[15C].[17C][18O][16C]([15N])[17O]
527,[13C].[14C].[15C].[17C][15N][16C]([17O])[18O]
532,[13C].[14C].[15C].[17C]1[18O][16C]2[17O][15N]12
537,[13C].[14C].[15C].[17C]=[15N][16C]1[17O][18O]1
551,[13C].[14C].[15C].[17C].[17O]=[16C][15N]=[18O]
557,[13C].[14C].[15C].[17O]=[16C][15N][17C][18O]
582,[13C].[14C].[15C].[16C]=[15N][17O][18O][17C]
595,[13C].[14C].[15C].[16C]=[15N][17O][17C]=[18O]
604,[13C].[14C].[15C].[16C]=[15N][17C][18O].[17O]
609,[13C].[14C].[15C].[16C]=[15N][17C]([17O])[18O]
