,rmat_tag,distance,largest_frag,largest_cleaned,pmi_x,pmi_y
0,808757,4.0,[13C]C(Cl)=CC(Cl)=C[14C]([15N])[15C]1C=c2c(C3CCCCC3)c(-c3ccccc3)n(CC(=O)N3CCOCC3)c2=C[16C]1[17C](=[17O])[18O],CC(Cl)=CC(Cl)=CC(N)C1C=c2c(C3CCCCC3)c(-c3ccccc3)n(CC(=O)N3CCOCC3)c2=CC1C(=O)O,0.3533913443684345,0.7268033712591608
100,910687,5.0,[13C]C(Cl)=CC(Cl)=C[14C]1([15N])[15c]2cc3c(C4CCCCC4)c(-c4ccccc4)n(CC(=O)N4CCOCC4)c3c[16c]2[17C]1([17O])[18O],CC(Cl)=CC(Cl)=CC1(N)c2cc3c(C4CCCCC4)c(-c4ccccc4)n(CC(=O)N4CCOCC4)c3cc2C1(O)O,0.4851607867240577,0.8085139954928455
200,813932,6.0,[13C]C(Cl)=CC(Cl)=C[14C]1[15c]2cc3c(C4CCCCC4)c(-c4ccccc4)n(CC(=O)N4CCOCC4)c3c[16c]2[15N]1[18O][17C]=[17O],CC(Cl)=CC(Cl)=CC1c2cc3c(C4CCCCC4)c(-c4ccccc4)n(CC(=O)N4CCOCC4)c3cc2N1OC=O,0.48118307218483214,0.7655619946251062
300,1637777,6.0,O=C(Cn1c(-c2ccccc2)c(C2CCCCC2)c(=C[15C]2[15N]3[13C]4C(Cl)=CC(Cl)=C[14C]423)c1=C[16C][17C](=[17O])[18O])N1CCOCC1,O=C(Cn1c(-c2ccccc2)c(C2CCCCC2)c(=CC2N3C4C(Cl)=CC(Cl)=CC423)c1=CCC(=O)O)N1CCOCC1,0.3752536460612272,0.726777551711101
400,342429,7.0,[13C]C(Cl)=CC(Cl)=C[14C]([15N])=[17C]([17O])[16c]1cc2c(c[15c]1[18O])c(C1CCCCC1)c(-c1ccccc1)n2CC(=O)N1CCOCC1,CC(Cl)=CC(Cl)=CC(N)=C(O)c1cc2c(cc1O)c(C1CCCCC1)c(-c1ccccc1)n2CC(=O)N1CCOCC1,0.3266630455948373,0.7856959729802373
500,454952,7.0,[13C]C(Cl)=CC(Cl)=C[14C]([15N])[16C]12C=c3c(c(C4CCCCC4)c(-c4ccccc4)n3CC(=O)N3CCOCC3)=C[15C]1[17C]21[17O][18O]1,CC(Cl)=CC(Cl)=CC(N)C12C=c3c(c(C4CCCCC4)c(-c4ccccc4)n3CC(=O)N3CCOCC3)=CC1C21OO1,0.4413485177288231,0.933280731202039
600,1640625,7.0,O=C(Cn1c(-c2ccccc2)c(C2CCCCC2)c2c1=C[16C][15C]([18O][17C][17O])([14C]13C=C(Cl)C=C(Cl)[13C]1[15N]3)C=2)N1CCOCC1,O=C(Cn1c(-c2ccccc2)c(C2CCCCC2)c2c1=CCC(OCO)(C13C=C(Cl)C=C(Cl)C1N3)C=2)N1CCOCC1,0.4015694519188542,0.6938349836443807
700,1435641,7.0,O=C(Cn1c(-c2ccccc2)c(C2CCCCC2)c2c[15c][16c]([17O][17C][14C]34C=C(Cl)C=C(Cl)[13C]3[15N]4)cc21)N1CCOCC1,O=C(Cn1c(-c2ccccc2)c(C2CCCCC2)c2ccc(OCC34C=C(Cl)C=C(Cl)C3N4)cc21)N1CCOCC1,0.2988962659414872,0.7709097280584684
800,1607929,7.0,O=C(Cn1c(-c2ccccc2)c(C2CCCCC2)c2c1=C[16C]1[15C](C=2)[14C]2C=C(Cl)C=C(Cl)[13C]2[15N][17C]1([17O])[18O])N1CCOCC1,O=C(Cn1c(-c2ccccc2)c(C2CCCCC2)c2c1=CC1C(C=2)C2C=C(Cl)C=C(Cl)C2NC1(O)O)N1CCOCC1,0.3479077868857524,0.6994302117420922
900,809931,7.0,[13C]C(Cl)=CC(Cl)=C[14C]([15N])[15C]12C=c3c(C4CCCCC4)c(-c4ccccc4)n(CC(=O)N4CCOCC4)c3=C[16C]1[17C](=[18O])[17O]2,CC(Cl)=CC(Cl)=CC(N)C12C=c3c(C4CCCCC4)c(-c4ccccc4)n(CC(=O)N4CCOCC4)c3=CC1C(=O)O2,0.31122259763982707,0.7695622111068295
1000,143009,7.0,[13C]C(Cl)=CC(Cl)=C[14C]12[15N][17C]([17O]1)[18O]2,CC(Cl)=CC(Cl)=CC12NC(O1)O2,0.23825154584608177,0.804374924772435
1100,808399,7.0,[13C]C(Cl)=CC(Cl)=C[14C]([15N][17C]=[17O])[15C]1C=c2c(C3CCCCC3)c(-c3ccccc3)n(CC(=O)N3CCOCC3)c2=C[16C]1,CC(Cl)=CC(Cl)=CC(NC=O)C1C=c2c(C3CCCCC3)c(-c3ccccc3)n(CC(=O)N3CCOCC3)c2=CC1,0.332801176395734,0.7677953818176947
1200,230734,8.0,[13C]C(Cl)=CC(Cl)=C[14C]([17O])[17C]1([18O])[15c]2cc3c(C4CCCCC4)c(-c4ccccc4)n(CC(=O)N4CCOCC4)c3c[16c]21,CC(Cl)=CC(Cl)=CC(O)C1(O)c2cc3c(C4CCCCC4)c(-c4ccccc4)n(CC(=O)N4CCOCC4)c3cc21,0.5314756689868654,0.7330934174720923
1300,401978,8.0,[13C]C(Cl)=CC(Cl)=C[14C][16c]1cc2c(c[15c]1[17O][17C][18O][15N])c(C1CCCCC1)c(-c1ccccc1)n2CC(=O)N1CCOCC1,CC(Cl)=CC(Cl)=CCc1cc2c(cc1OCON)c(C1CCCCC1)c(-c1ccccc1)n2CC(=O)N1CCOCC1,0.37554538442634466,0.7412798582328551
1400,1637331,8.0,O=C(Cn1c(-c2ccccc2)c(C2CCCCC2)c2c1=C[16C]1[17C]([18O])[17O][15C](C=2)[14C]23C=C(Cl)C=C(Cl)[13C]2[15N]13)N1CCOCC1,O=C(Cn1c(-c2ccccc2)c(C2CCCCC2)c2c1=CC1C(O)OC(C=2)C23C=C(Cl)C=C(Cl)C2N13)N1CCOCC1,0.4481617170972653,0.7343034177091199
1500,1354923,8.0,O=C(Cn1c(-c2ccccc2)c(C2CCCCC2)c2c[15c]3[16c](cc21)[17C]3[17O][14C]1C=C(Cl)C=C(Cl)[13C]1[15N][18O])N1CCOCC1,O=C(Cn1c(-c2ccccc2)c(C2CCCCC2)c2cc3c(cc21)C3OC1C=C(Cl)C=C(Cl)C1NO)N1CCOCC1,0.28019211232383184,0.7740523277423464
1600,1513047,8.0,O=C(Cn1c(-c2ccccc2)c(C2CCCCC2)c2c1=C[16C]1([15N]3[13C]4C(Cl)=CC(Cl)=C[14C]431)[17C]([17O])([18O])[15C]C=2)N1CCOCC1,O=C(Cn1c(-c2ccccc2)c(C2CCCCC2)c2c1=CC1(N3C4C(Cl)=CC(Cl)=CC431)C(O)(O)CC=2)N1CCOCC1,0.3838020022012729,0.7041235027125698
1700,1609096,8.0,O=C(Cn1c(-c2ccccc2)c(C2CCCCC2)c2c1=C[16C]1[15C]3(C=2)[17O][17C]1([18O])[15N][13C]1C(Cl)=CC(Cl)=C[14C]13)N1CCOCC1,O=C(Cn1c(-c2ccccc2)c(C2CCCCC2)c2c1=CC1C3(C=2)OC1(O)NC1C(Cl)=CC(Cl)=CC13)N1CCOCC1,0.38590320538496947,0.6887461672989372
1800,1512517,8.0,O=C(Cn1c(-c2ccccc2)c(C2CCCCC2)c2c1=C[16C]1([17O][17C]1[18O])[14C]13C=C(Cl)C=C(Cl)[13C]1[15N]3[15C]C=2)N1CCOCC1,O=C(Cn1c(-c2ccccc2)c(C2CCCCC2)c2c1=CC1(OC1O)C13C=C(Cl)C=C(Cl)C1N3CC=2)N1CCOCC1,0.41198392826457836,0.7281508461952882
1900,810827,8.0,[13C]C(Cl)=CC(Cl)=C[14C]1[15N]([18O])[15C]12C=c1c(C3CCCCC3)c(-c3ccccc3)n(CC(=O)N3CCOCC3)c1=C[16C]2=[17C]=[17O],CC(Cl)=CC(Cl)=CC1N(O)C12C=c1c(C3CCCCC3)c(-c3ccccc3)n(CC(=O)N3CCOCC3)c1=CC2=C=O,0.3236707175058527,0.8209224909180084
2000,97317,8.0,[13C]C(Cl)=CC(Cl)=C[14C][15N][15C]C=c1c(C2CCCCC2)c(-c2ccccc2)n(CC(=O)N2CCOCC2)c1=C[16C]1[17C][18O]1,CC(Cl)=CC(Cl)=CCNCC=c1c(C2CCCCC2)c(-c2ccccc2)n(CC(=O)N2CCOCC2)c1=CC1CO1,0.26041650399690724,0.8813558407307261
2100,466141,8.0,[13C]C(Cl)=CC(Cl)=C[14C]([15N])([18O])[16c]1cc2c(c[15c]1[17O][17C])c(C1CCCCC1)c(-c1ccccc1)n2CC(=O)N1CCOCC1,CC(Cl)=CC(Cl)=CC(N)(O)c1cc2c(cc1OC)c(C1CCCCC1)c(-c1ccccc1)n2CC(=O)N1CCOCC1,0.40011760451684153,0.6838425511186202
2200,252829,8.0,[13C]C(Cl)=CC(Cl)=C[14C]1[15N][15C]2([17O])C=c3c(C4CCCCC4)c(-c4ccccc4)n(CC(=O)N4CCOCC4)c3=C[16C]2[17C]1[18O],CC(Cl)=CC(Cl)=CC1NC2(O)C=c3c(C4CCCCC4)c(-c4ccccc4)n(CC(=O)N4CCOCC4)c3=CC2C1O,0.3521082974802871,0.7196969027961605
2300,1434532,8.0,O=C(Cn1c(-c2ccccc2)c(C2CCCCC2)c2c1=C[16C]1[15C](C=2)[17C]1[14C]12C=C(Cl)C=C(Cl)[13C]1[15N]2)N1CCOCC1,O=C(Cn1c(-c2ccccc2)c(C2CCCCC2)c2c1=CC1C(C=2)C1C12C=C(Cl)C=C(Cl)C1N2)N1CCOCC1,0.44709620326241917,0.7838064307341335
