,smiles,min_dist_all,natoms,drugbank_matches
185,C1OC12NO2,7.0,5,0
186,NC(=O)CO,6.0,5,316
187,O=C1CON1,7.0,5,0
188,N=CCO,6.0,4,47
189,N=CCOO,7.0,5,0
190,C1=NOC1,7.0,4,0
191,OCC=NO,7.0,5,5
192,C1=NOOC1,8.0,5,0
193,N=C1CO1,7.0,4,0
194,ON=C1CO1,8.0,5,0
195,N=C(O)CO,7.0,5,2
196,N=C1COO1,8.0,5,0
197,OC1=NOC1,8.0,5,0
198,OCC1=NO1,8.0,5,0
199,N#CCO,7.0,4,10
200,N#CCOO,8.0,5,0
201,O=CC=O,5.0,4,110
202,NCC=O,4.0,4,2079
203,O=CCNO,5.0,5,8
204,O=CCN=O,6.0,5,0
205,NC(O)C=O,5.0,5,50
206,O=CC1NO1,6.0,5,0
207,NC(=O)C=O,6.0,5,64
208,N=CC=O,5.0,4,61
209,O=CC=NO,6.0,5,33
210,N=C(O)C=O,6.0,5,1
211,O=CC1=NO1,7.0,5,0
212,N#CC=O,6.0,4,0
213,O1C2OC12,5.0,4,0
214,NCC(O)O,4.0,5,107
215,NCC1OO1,5.0,5,0
216,OC1CNO1,5.0,5,0
217,C1C2ON1O2,6.0,5,0
218,NC1OC1O,5.0,5,0
219,N1OC2OC12,6.0,5,0
220,NC12OC1O2,6.0,5,0
221,N=CC(O)O,5.0,5,0
222,N=CC1OO1,6.0,5,0
223,OC1C=NO1,6.0,5,0
224,N=C1OC1O,6.0,5,0
225,N1=C2OC2O1,7.0,5,0
226,N#CC(O)O,6.0,5,0
227,N#CC1OO1,7.0,5,0
228,NCC(=O)O,3.0,5,1139
229,O=C1CNO1,4.0,5,0
230,NC1OC1=O,4.0,5,0
231,N=CC(=O)O,4.0,5,14
232,O=C1C=NO1,5.0,5,0
233,N=c1oc1=O,5.0,5,0
234,N#CC(=O)O,5.0,5,0
235,ON1CC1,3.0,4,0
236,OON1CC1,6.0,5,0
237,OC1CN1,3.0,4,0
238,OOC1CN1,6.0,5,0
239,C1C2ON12,4.0,4,0
240,OC1CN1O,6.0,5,0
241,C1C2OON12,7.0,5,0
242,O=C1CN1,4.0,4,0
243,O=C1CN1O,6.0,5,0
244,OC1(O)CN1,5.0,5,0
245,C1NC12OO2,6.0,5,0
246,OC12CN1O2,6.0,5,0
247,OC1=NC1,4.0,4,0
248,OOC1=NC1,7.0,5,0
249,N1C2OC12,7.0,4,0
250,ON1C2OC21,8.0,5,0
251,OC1NC1O,7.0,5,0
252,N1C2OOC12,8.0,5,0
253,OC1C2ON12,8.0,5,0
254,OC12NC1O2,6.0,5,0
255,O1C2N3OC123,7.0,5,0
256,O=C1NC1O,6.0,5,0
257,O=C1C2ON12,7.0,5,0
258,OC1C=N1,7.0,4,0
259,OOC1C=N1,8.0,5,0
260,N1=C2OC12,8.0,4,0
261,OC1=NC1O,8.0,5,0
262,N1=C2OOC12,9.0,5,0
263,O=c1[nH]c1=O,7.0,5,0
264,O=c1cn1,6.0,4,0
265,O=c1nc1O,7.0,5,0
266,N1C23OC12O3,7.0,5,0
267,OC1(O)C=N1,6.0,5,0
268,C1=NC12OO2,7.0,5,0
269,OC12N=C1O2,7.0,5,0
270,C=COO,6.0,4,0
271,C=CON,6.0,4,1
272,C=COON,8.0,5,0
273,C=CONO,8.0,5,0
274,C=CON=O,9.0,5,0
275,C=C(O)O,4.0,4,1
276,C=C1OO1,5.0,4,0
277,C=C(O)ON,6.0,5,0
278,C=C1ONO1,7.0,5,0
279,C=CNO,6.0,4,7
280,C=CNOO,9.0,5,0
281,C=CN=O,7.0,4,7
282,C=CN(O)O,9.0,5,0
283,C=Cn1oo1,10.0,5,0
284,C=C(N)O,6.0,4,2
285,C=C(N)OO,8.0,5,0
286,C=C1NO1,7.0,4,0
287,C=C(O)NO,8.0,5,0
288,C=C1NOO1,9.0,5,0
289,C=C1ON1O,9.0,5,0
290,C=C(O)N=O,9.0,5,0
291,C=C=NO,7.0,4,0
292,C=C=NOO,10.0,5,0
293,OC=CO,6.0,4,18
294,c1coo1,7.0,4,0
295,NOC=CO,8.0,5,0
296,C1=CONO1,9.0,5,0
297,OC1=CO1,5.0,4,0
298,NOC1=CO1,7.0,5,0
299,O=C=CO,5.0,4,0
300,NOC=C=O,7.0,5,0
301,NC=CO,6.0,4,13
302,NC=COO,7.0,5,0
303,c1co[nH]1,7.0,4,0
304,OC=CNO,7.0,5,0
305,C1=COON1,8.0,5,0
306,On1cco1,8.0,5,0
307,O=NC=CO,8.0,5,0
308,NC1=CO1,7.0,4,0
309,ONC1=CO1,8.0,5,0
310,O=NC1=CO1,9.0,5,0
311,NC(O)=CO,7.0,5,0
312,Nc1coo1,8.0,5,0
313,Oc1co[nH]1,8.0,5,0
314,OC=C1NO1,8.0,5,0
315,c1on2c1O2,9.0,5,0
316,N=C=CO,7.0,4,0
317,N=C=COO,8.0,5,0
