,smiles,min_dist_all,natoms,drugbank_matches
15777,O=CC1=C2NC12O,6.0,7,0
15778,O=CC1=C2N3OC123,7.0,7,0
15779,N=c1cc1C=O,5.0,6,0
15780,O=Cc1cc1=NO,6.0,7,0
15781,N=c1c(O)c1C=O,6.0,7,0
15782,O=Cc1c2noc1-2,7.0,7,0
15783,O=CC1=C2N=C12,6.0,6,0
15784,C=CONCC=O,6.0,7,0
15785,C=COC(N)C=O,6.0,7,0
15786,C=CON=CC=O,7.0,7,0
15787,C=COC(=N)C=O,7.0,7,0
15788,C=CNCC=O,5.0,6,11
15789,C=CN(O)CC=O,6.0,7,0
15790,C=CNC(O)C=O,6.0,7,0
15791,C=CN1OC1C=O,7.0,7,0
15792,C=CNC(=O)C=O,7.0,7,0
15793,C=CN=CC=O,6.0,6,4
15794,C=CN=C(O)C=O,7.0,7,0
15795,C=C(O)NCC=O,6.0,7,1
15796,C=C1ON1CC=O,7.0,7,0
15797,C=C1NC(C=O)O1,7.0,7,0
15798,C=C(O)N=CC=O,7.0,7,0
15799,C=C1N=C(C=O)O1,8.0,7,0
15800,C=C=NCC=O,6.0,6,0
15801,C=C=NC(O)C=O,7.0,7,0
15802,C=C=NC(=O)C=O,8.0,7,0
15803,C=CCC=O,5.0,5,140
15804,C=CC(O)C=O,6.0,6,43
15805,C=CC(C=O)ON,7.0,7,0
15806,C=CC(=O)C=O,6.0,6,9
15807,C=CC(N)C=O,5.0,6,13
15808,C=CC(C=O)NO,6.0,7,0
15809,C=CC(C=O)N=O,7.0,7,0
15810,C=CC(N)(O)C=O,6.0,7,0
15811,C=CC1(C=O)NO1,7.0,7,0
15812,C=CC(=N)C=O,6.0,6,11
15813,C=CC(C=O)=NO,7.0,7,0
15814,C=C(O)CC=O,6.0,6,25
15815,C=C(CC=O)ON,7.0,7,1
15816,C=C1OC1C=O,7.0,6,0
15817,C=C(O)C(N)C=O,6.0,7,2
15818,C=C1ONC1C=O,7.0,7,0
15819,C=C1OC1(N)C=O,7.0,7,0
15820,C=C(O)C(=N)C=O,7.0,7,0
15821,C=C1ON=C1C=O,8.0,7,0
15822,C=C(N)CC=O,6.0,6,2
15823,C=C(CC=O)NO,7.0,7,0
15824,C=C(CC=O)N=O,8.0,7,0
15825,C=C(N)C(O)C=O,7.0,7,0
15826,C=C1NOC1C=O,8.0,7,0
15827,C=C(N)C(=O)C=O,7.0,7,0
15828,C=C1NC1C=O,6.0,6,0
15829,C=C1C(C=O)N1O,7.0,7,0
15830,C=C1NC1(O)C=O,7.0,7,0
15831,C=C1N2OC12C=O,8.0,7,0
15832,C=C1N=C1C=O,7.0,6,0
15833,C=C=CC=O,5.0,5,0
15834,C=C=C(O)C=O,6.0,6,0
15835,C=C=C(C=O)ON,7.0,7,0
15836,C=C=C(N)C=O,6.0,6,0
15837,C=C=C(C=O)NO,7.0,7,0
15838,C=C=C(C=O)N=O,8.0,7,0
15839,O=CCNC=CO,6.0,7,0
15840,O=CCn1cco1,7.0,7,0
15841,O=CC1NC=CO1,7.0,7,0
15842,O=CC=NC=CO,7.0,7,0
15843,O=Cc1ncco1,8.0,7,0
15844,O=CCNC1=CO1,7.0,7,0
15845,O=CC=NC1=CO1,8.0,7,0
15846,O=CCN=C=CO,7.0,7,0
15847,O=CC1N=C=CO1,8.0,7,0
15848,O=CCC=CO,6.0,6,8
15849,NOC=CCC=O,7.0,7,0
15850,O=CC1C=CO1,7.0,6,0
15851,NC(C=O)C=CO,6.0,7,1
15852,O=CC1C=CON1,7.0,7,0
15853,NC1(C=O)C=CO1,7.0,7,0
15854,N=C(C=O)C=CO,7.0,7,1
15855,O=Cc1ccon1,8.0,7,12
15856,O=CCC1=CO1,7.0,6,0
15857,NC(C=O)C1=CO1,7.0,7,0
15858,N=C(C=O)C1=CO1,8.0,7,0
15859,NC(=CO)CC=O,7.0,7,0
15860,O=CCc1co[nH]1,8.0,7,0
15861,NC1=COC1C=O,8.0,7,0
15862,O=CC1NC1=CO,7.0,7,0
15863,O=CC1c2con21,8.0,7,0
15864,O=CC12NC1=CO2,8.0,7,0
15865,O=CC1=NC1=CO,8.0,7,0
15866,O=CC=C=CO,6.0,6,0
15867,NOC=C=CC=O,7.0,7,0
15868,O=CC1=C=CO1,7.0,6,0
15869,NC(=C=CO)C=O,7.0,7,0
15870,O=CC1=C=CON1,8.0,7,0
15871,O=C=CNCC=O,7.0,7,0
15872,O=C=CN=CC=O,8.0,7,0
15873,O=C=C=NCC=O,8.0,7,0
15874,O=C=CCC=O,7.0,6,0
15875,NC(C=O)C=C=O,7.0,7,0
15876,N=C(C=O)C=C=O,8.0,7,0
15877,NC(=C=O)CC=O,8.0,7,0
15878,O=C=C1NC1C=O,8.0,7,0
15879,O=C=C1N=C1C=O,9.0,7,0
15880,O=C=C=CC=O,7.0,6,0
15881,NC(=C=C=O)C=O,8.0,7,0
15882,O=CCN1C=C1,6.0,6,0
15883,O=CC(O)N1C=C1,7.0,7,0
15884,O=CC(=O)N1C=C1,8.0,7,0
15885,O=CCN1C=C1O,7.0,7,0
15886,O=CC1OC2=CN21,8.0,7,0
15887,NC=CCC=O,4.0,6,4
15888,O=CCC=CNO,5.0,7,0
15889,O=CCC=CN=O,6.0,7,0
15890,NC=CC(O)C=O,5.0,7,0
15891,O=CC1C=CNO1,6.0,7,0
15892,NC=CC(=O)C=O,6.0,7,1
15893,O=CC1C=CN1,5.0,6,0
15894,O=CC1C=CN1O,6.0,7,0
15895,O=CC1(O)C=CN1,6.0,7,0
15896,O=CC12C=CN1O2,7.0,7,0
15897,O=CC1=NC=C1,6.0,6,0
15898,NC=C(O)CC=O,5.0,7,0
15899,O=CCc1c[nH]o1,6.0,7,0
15900,NC=C1OC1C=O,6.0,7,0
15901,O=CC1NC=C1O,6.0,7,0
15902,O=CC1c2cn1o2,7.0,7,0
15903,O=CC12NC=C1O2,7.0,7,0
15904,O=CC1=NC=C1O,7.0,7,0
15905,O=CCC1=CN1,5.0,6,0
15906,O=CCC1=CN1O,6.0,7,0
15907,O=CC(O)C1=CN1,6.0,7,0
15908,O=CC1ON2C=C12,7.0,7,0
15909,O=CC(=O)C1=CN1,7.0,7,0
15910,O=CC1C2=CN21,6.0,6,0
15911,O=CC1(O)C2=CN21,7.0,7,0
15912,NC=C=CC=O,4.0,6,0
15913,O=CC=C=CNO,5.0,7,0
15914,O=CC=C=CN=O,6.0,7,0
15915,NC=C=C(O)C=O,5.0,7,0
15916,O=CC1=C=CNO1,6.0,7,0
15917,O=CC1=C=CN1,5.0,6,0
15918,O=CC1=C=CN1O,6.0,7,0
15919,O=CCn1c2oc1=2,8.0,7,0
15920,NC(O)=CCC=O,5.0,7,0
15921,O=CCC=C1NO1,6.0,7,0
15922,NC1=CC(C=O)O1,6.0,7,0
15923,O=CC1C=C(O)N1,6.0,7,0
15924,O=CC1C=C2ON21,7.0,7,0
15925,O=CC12C=C(N1)O2,7.0,7,0
15926,O=CC1=NC(O)=C1,7.0,7,0
15927,NC1=C(CC=O)O1,6.0,7,0
15928,O=CC1NC2=C1O2,7.0,7,0
15929,O=Cc1nc2oc1=2,8.0,7,0
15930,O=CCC1=C(O)N1,6.0,7,0
15931,O=CCc1c2on1-2,7.0,7,0
15932,O=CC1OC2=C1N2,7.0,7,0
15933,O=CC1C2=C(O)N21,7.0,7,0
15934,O=CC12OC3=C1N32,8.0,7,0
15935,NC(O)=C=CC=O,5.0,7,0
15936,O=CC=C=C1NO1,6.0,7,0
15937,NC1=C=C(C=O)O1,6.0,7,0
15938,O=CC1=C=C(O)N1,6.0,7,0
15939,O=CC1=C=C2ON12,7.0,7,0
15940,N=C=CCC=O,5.0,6,0
15941,O=CCC=C=NO,6.0,7,0
15942,N=C=CC(O)C=O,6.0,7,0
15943,O=CC1C=C=NO1,7.0,7,0
15944,N=C=CC(=O)C=O,7.0,7,0
15945,O=CC1C=C=N1,6.0,6,0
15946,O=CC1(O)C=C=N1,7.0,7,0
15947,N=C=C(O)CC=O,6.0,7,0
15948,O=CCC1=C=NO1,7.0,7,0
15949,N=C=C1OC1C=O,7.0,7,0
15950,O=CC1N=C=C1O,7.0,7,0
15951,O=CC12N=C=C1O2,8.0,7,0
15952,O=CCC1=C=N1,6.0,6,0
15953,O=CC(O)C1=C=N1,7.0,7,0
15954,O=CC(=O)C1=C=N1,8.0,7,0
15955,N=C=C=CC=O,5.0,6,0
15956,O=CC=C=C=NO,6.0,7,0
15957,N=C=C=C(O)C=O,6.0,7,0
15958,O=CC1=C=C=NO1,7.0,7,0
15959,O=CC1=C=C=N1,6.0,6,0
15960,O=CC1C=C1,6.0,5,0
15961,O=CC1(O)C=C1,7.0,6,0
15962,NOC1(C=O)C=C1,8.0,7,0
15963,NC1(C=O)C=C1,6.0,6,0
15964,O=CC1(NO)C=C1,7.0,7,0
15965,O=CC1(N=O)C=C1,8.0,7,0
15966,O=CC1C=C1O,7.0,6,0
15967,NOC1=CC1C=O,8.0,7,0
15968,O=CC12C=C1O2,8.0,6,0
15969,NC1(C=O)C=C1O,7.0,7,0
15970,O=CC12C=C1ON2,8.0,7,0
15971,NC1=CC1C=O,5.0,6,0
15972,O=CC1C=C1NO,6.0,7,0
15973,O=CC1C=C1N=O,7.0,7,0
15974,NC1=CC1(O)C=O,6.0,7,0
15975,O=CC12C=C1NO2,7.0,7,0
15976,O=CC12C=C1N2,6.0,6,0
15977,O=CC12C=C1N2O,7.0,7,0
15978,O=CC1=C=C1,6.0,5,0
15979,O=CC1C2=C1O2,8.0,6,0
15980,NC1(C=O)C2=C1O2,8.0,7,0
15981,NC1=C(O)C1C=O,6.0,7,0
15982,O=CC1c2[nH]oc21,7.0,7,0
15983,NC1=C2OC12C=O,7.0,7,0
15984,O=CC12NC1=C2O,7.0,7,0
15985,O=CC12c3on1c32,8.0,7,0
15986,O=CC1=C=C1O,7.0,6,0
15987,NOC1=C=C1C=O,8.0,7,0
15988,O=CC1C2=C1N2,6.0,6,0
15989,O=CC1C2=C1N2O,7.0,7,0
15990,O=CC1(O)C2=C1N2,7.0,7,0
15991,O=CC12ON3C1=C32,8.0,7,0
15992,O=CC12C3=C1N32,7.0,6,0
15993,NC1=C=C1C=O,5.0,6,0
15994,O=CC1=C=C1NO,6.0,7,0
15995,O=CC1=C=C1N=O,7.0,7,0
15996,C#CONCC=O,7.0,7,0
15997,C#COC(N)C=O,7.0,7,0
15998,C#CON=CC=O,8.0,7,0
15999,C#COC(=N)C=O,8.0,7,0
16000,C#CNCC=O,6.0,6,0
16001,C#CN(O)CC=O,7.0,7,0
16002,C#CNC(O)C=O,7.0,7,0
16003,C#CN1OC1C=O,8.0,7,0
16004,C#CNC(=O)C=O,8.0,7,0
16005,C#CN=CC=O,7.0,6,0
16006,C#CN=C(O)C=O,8.0,7,0
16007,C#CCC=O,6.0,5,1
16008,C#CC(O)C=O,7.0,6,0
16009,C#CC(C=O)ON,8.0,7,0
16010,C#CC(=O)C=O,7.0,6,0
16011,C#CC(N)C=O,6.0,6,1
16012,C#CC(C=O)NO,7.0,7,0
16013,C#CC(C=O)N=O,8.0,7,0
16014,C#CC(N)(O)C=O,7.0,7,0
16015,C#CC1(C=O)NO1,8.0,7,0
16016,C#CC(=N)C=O,7.0,6,0
16017,C#CC(C=O)=NO,8.0,7,0
16018,O=CCNC#CO,7.0,7,0
16019,O=CCn1c#co1,8.0,7,0
16020,O=CC1NC#CO1,8.0,7,0
16021,O=CC=NC#CO,8.0,7,0
16022,O=Cc1nc#co1,9.0,7,0
16023,O=CCC#CO,7.0,6,0
16024,NOC#CCC=O,8.0,7,0
16025,O=CC1C#CO1,8.0,6,0
16026,NC(C#CO)C=O,7.0,7,0
16027,O=CC1C#CON1,8.0,7,0
16028,NC1(C=O)C#CO1,8.0,7,0
16029,N=C(C#CO)C=O,8.0,7,0
16030,O=Cc1c#con1,9.0,7,0
16031,O=CCN1C#C1,7.0,6,0
16032,O=CC(O)N1C#C1,8.0,7,0
16033,O=CC(=O)N1C#C1,9.0,7,0
16034,NC#CCC=O,5.0,6,0
16035,O=CCC#CNO,6.0,7,0
16036,O=CCC#CN=O,7.0,7,0
16037,NC#CC(O)C=O,6.0,7,0
16038,O=CC1C#CNO1,7.0,7,0
16039,NC#CC(=O)C=O,7.0,7,0
16040,O=CC1C#CN1,6.0,6,0
16041,O=CC1C#CN1O,7.0,7,0
16042,O=CC1(O)C#CN1,7.0,7,0
16043,O=CC12C#CN1O2,8.0,7,0
16044,O=CC1=NC#C1,7.0,6,0
16045,O=CC1C#C1,7.0,5,0
16046,O=CC1(O)C#C1,8.0,6,0
16047,NOC1(C=O)C#C1,9.0,7,0
16048,NC1(C=O)C#C1,7.0,6,0
16049,O=CC1(NO)C#C1,8.0,7,0
16050,O=CC1(N=O)C#C1,9.0,7,0
16051,NCC1C2OC1O2,5.0,7,0
16052,C1NC12C1OC2O1,6.0,7,0
16053,N=CC1C2OC1O2,6.0,7,0
16054,C1=NC12C1OC2O1,7.0,7,0
16055,N#CC1C2OC1O2,7.0,7,0
16056,C=C1C2OC1O2,6.0,6,0
16057,NC=C1C2OC1O2,6.0,7,0
16058,N=C=C1C2OC1O2,7.0,7,0
16059,OC(O)C1CNC1,4.0,7,0
16060,C1NCC1C1OO1,5.0,7,0
16061,OC1ON2CC1C2,5.0,7,0
16062,OC1OC12CNC2,5.0,7,0
16063,C1N2CC13OC3O2,6.0,7,0
16064,OC(O)C12CN1C2,5.0,7,0
16065,C1N2CC12C1OO1,6.0,7,0
16066,OC1OC2NCC12,5.0,7,0
16067,C1C2C3OC2N1O3,6.0,7,0
16068,C1NC2OC3OC123,6.0,7,0
16069,OC1OC2N3CC123,6.0,7,0
16070,C1NC23OC(O2)C13,6.0,7,0
16071,C1N2C34OC(O3)C124,7.0,7,0
16072,OC(O)C1C=NC1,5.0,7,0
16073,C1=NCC1C1OO1,6.0,7,0
16074,OC1OC12C=NC2,6.0,7,0
16075,OC1OC2=NCC21,6.0,7,0
16076,C1N=C2OC3OC123,7.0,7,0
16077,C=C(CN)C(O)O,3.0,7,0
16078,C=C(CN)C1OO1,4.0,7,0
16079,C=C1CNOC1O,4.0,7,0
16080,C=C1CN2OC1O2,5.0,7,0
16081,NCC1=COC1O,4.0,7,0
16082,C1=C2CNOC2O1,5.0,7,0
16083,NCC1=C2OC1O2,5.0,7,0
16084,OC(O)C1=CNC1,4.0,7,0
16085,C1=C(C2OO2)CN1,5.0,7,0
16086,OC1ON2C=C1C2,5.0,7,0
16087,OC1OC2=C1CN2,5.0,7,0
16088,C1C2=C3OC2ON13,6.0,7,0
16089,OC(O)C1=C=NC1,5.0,7,0
16090,C1=NCC=1C1OO1,6.0,7,0
16091,N1C2OC3OC1C23,6.0,7,0
16092,O1C2OC3N4C1C234,7.0,7,0
16093,OC1OC2N=CC12,6.0,7,0
16094,C1=NC2OC3OC123,7.0,7,0
16095,N1=C2OC3OC1C23,7.0,7,0
16096,C=C1C(N)OC1O,4.0,7,0
16097,C=C1C2NOC1O2,5.0,7,0
16098,NC1OC2OC=C12,5.0,7,0
16099,OC1OC2NC=C12,5.0,7,0
16100,C1=C2C3OC2N1O3,6.0,7,0
16101,N1C2=C3C1OC3O2,6.0,7,0
16102,OC1OC2N=C=C12,6.0,7,0
16103,C1=NC23OC(O2)C13,7.0,7,0
16104,C=C1C2OC1(N)O2,5.0,7,0
16105,C1=C2C3OC2(N1)O3,6.0,7,0
16106,C1=NC23OC(O2)C=13,7.0,7,0
16107,C=C(C=N)C(O)O,4.0,7,0
16108,C=C(C=N)C1OO1,5.0,7,0
16109,C=C1C=NOC1O,5.0,7,0
16110,N=CC1=COC1O,5.0,7,0
16111,C1=NOC2OC=C12,6.0,7,0
16112,N=CC1=C2OC1O2,6.0,7,0
16113,OC(O)C1=CN=C1,5.0,7,0
16114,C1=NC=C1C1OO1,6.0,7,0
16115,OC1OC2=C1C=N2,6.0,7,0
16116,C=C1C(=N)OC1O,5.0,7,0
16117,C=C1C2=NOC1O2,6.0,7,0
16118,N=C1OC2OC=C12,6.0,7,0
16119,OC1OC2=NC=C21,6.0,7,0
16120,N1=C2OC3OC1=C23,7.0,7,0
16121,C=C(C#N)C(O)O,5.0,7,0
16122,C=C(C#N)C1OO1,6.0,7,0
16123,N#CC1=COC1O,6.0,7,0
16124,N#CC1=C2OC1O2,7.0,7,0
16125,C1NCC2OC1O2,7.0,7,0
16126,C1=NCC2OC1O2,8.0,7,0
16127,C1CC2OC1O2,6.0,6,0
16128,NC1CC2OC1O2,7.0,7,0
16129,N=C1CC2OC1O2,8.0,7,0
16130,N1C2C3OC(O3)C12,8.0,7,0
16131,N1=C2C3OC(O3)C12,9.0,7,0
16132,C1=CC2OC1O2,6.0,6,0
16133,NC1=CC2OC1O2,7.0,7,0
16134,N1C2=C1C1OC2O1,8.0,7,0
16135,C1#CC2OC1O2,7.0,6,0
16136,OC(O)CN1CC1,4.0,7,0
16137,C1CN1CC1OO1,5.0,7,0
16138,OC1OC1N1CC1,5.0,7,0
16139,C1CN1C12OC1O2,6.0,7,0
16140,OC1CN2CC2O1,5.0,7,0
16141,C1C2OC3OC3N12,6.0,7,0
16142,C1C2OC3(CN13)O2,6.0,7,0
16143,NCCCC(O)O,3.0,7,29
16144,NCCCC1OO1,4.0,7,0
16145,OC1CCCNO1,4.0,7,0
16146,C1CC2ON(C1)O2,5.0,7,0
16147,NCCC1OC1O,4.0,7,0
16148,C1CC2OC2ON1,5.0,7,0
16149,NCCC12OC1O2,5.0,7,0
16150,OC(O)C1CCN1,4.0,7,0
16151,C1CC(C2OO2)N1,5.0,7,0
16152,OC1ON2CCC12,5.0,7,0
16153,OC1OC12CCN2,5.0,7,0
16154,C1CC23OC2ON13,6.0,7,0
16155,OC(O)C1=NCC1,5.0,7,0
16156,C1CC(C2OO2)=N1,6.0,7,0
16157,NCC1CC(O)O1,4.0,7,0
16158,C1NOC2CC1O2,5.0,7,0
16159,NCC1OC2OC12,5.0,7,0
16160,OC1OC2CNC12,5.0,7,0
16161,C1C2OC3ON1C23,6.0,7,0
16162,C1NC23OC2OC13,6.0,7,0
16163,OC1OC2CN=C12,6.0,7,0
16164,NCC12CC(O1)O2,5.0,7,0
16165,C1NC2C3OC12O3,6.0,7,0
16166,C1N=C2C3OC12O3,7.0,7,0
16167,OC(O)CC1CN1,4.0,7,0
16168,C1NC1CC1OO1,5.0,7,0
16169,OC1CC2CN2O1,5.0,7,0
16170,OC1OC1C1CN1,5.0,7,0
16171,C1C2C3OC3ON12,6.0,7,0
16172,C1NC1C12OC1O2,6.0,7,0
16173,OC(O)C1C2CN21,5.0,7,0
16174,C1C2C(C3OO3)N12,6.0,7,0
16175,OC1OC12C1CN12,6.0,7,0
16176,OC1CC2(CN2)O1,5.0,7,0
16177,C1C2ON3CC13O2,6.0,7,0
16178,C1NC12OC1OC12,6.0,7,0
16179,OC1OC23CN2C13,6.0,7,0
16180,C1N2C13OC1OC123,7.0,7,0
16181,OC(O)CC1=NC1,5.0,7,0
16182,C1N=C1CC1OO1,6.0,7,0
16183,OC1OC1C1=NC1,6.0,7,0
16184,C1N=C1C12OC1O2,7.0,7,0
16185,NCC=CC(O)O,3.0,7,1
16186,NCC=CC1OO1,4.0,7,0
16187,OC1C=CCNO1,4.0,7,0
16188,C1=CC2ON(C1)O2,5.0,7,0
16189,NCC=C1OC1O,4.0,7,0
16190,C1=C2OC2ONC1,5.0,7,0
16191,OC(O)C1=CCN1,4.0,7,0
16192,C1=C(C2OO2)NC1,5.0,7,0
16193,OC1ON2CC=C12,5.0,7,0
16194,NCC1=CC(O)O1,4.0,7,0
16195,C1=C2CNOC1O2,5.0,7,0
16196,NCC1=C2OC2O1,5.0,7,0
16197,OC1OC2=C1NC2,5.0,7,0
16198,C1C2=C3C(O2)ON13,6.0,7,0
16199,OC(O)C=C1CN1,4.0,7,0
16200,C(=C1CN1)C1OO1,5.0,7,0
16201,OC1C=C2CN2O1,5.0,7,0
16202,OC1OC1=C1CN1,5.0,7,0
16203,C1C2=C3OC3ON12,6.0,7,0
16204,OC(O)C1=C2CN21,5.0,7,0
16205,C1C2=C(C3OO3)N12,6.0,7,0
16206,NCC#CC(O)O,4.0,7,0
16207,NCC#CC1OO1,5.0,7,0
16208,OC1C#CCNO1,5.0,7,0
16209,C1#CC2ON(C1)O2,6.0,7,0
16210,C1C2OC3C(O2)N13,8.0,7,0
16211,NC1CCC(O)O1,4.0,7,0
16212,C1CC2ONC1O2,5.0,7,0
16213,NC1CC2OC2O1,5.0,7,0
16214,OC1OC2CC1N2,5.0,7,0
16215,C1C2OC3ON2C13,6.0,7,0
16216,C1C2NC13OC3O2,6.0,7,0
16217,OC1OC2CC1=N2,6.0,7,0
16218,NC1OC2CC1O2,5.0,7,0
16219,N1C2OC3OC2C13,6.0,7,0
16220,N1=C2C3OC1C2O3,7.0,7,0
16221,OC1CC2NC2O1,5.0,7,0
16222,C1C2OC3C1N3O2,6.0,7,0
16223,N1C2OC3OC3C12,6.0,7,0
16224,OC1OC2C3C1N23,6.0,7,0
16225,O1C2C3N2C32OC12,7.0,7,0
16226,C1C2OC3NC13O2,6.0,7,0
16227,O1C2OC34C1N3C24,7.0,7,0
16228,OC1CC2=NC2O1,6.0,7,0
16229,N1=C2C1OC1OC21,7.0,7,0
16230,NC1C=CC(O)O1,4.0,7,1
16231,C1=CC2ONC1O2,5.0,7,0
16232,NC1C=C2OC2O1,5.0,7,0
16233,OC1OC2C=C1N2,5.0,7,0
16234,C1=C2C3OC1N2O3,6.0,7,0
16235,NC1OC2C=C1O2,5.0,7,0
16236,N1C2=C3OC2OC13,6.0,7,0
16237,OC1C=C2NC2O1,5.0,7,0
16238,C1=C2C3OC1ON23,6.0,7,0
16239,N1C2=C3OC3OC12,6.0,7,0
16240,OC1OC2C3=C1N32,6.0,7,0
16241,NC1C#CC(O)O1,5.0,7,0
16242,C1#CC2ONC1O2,6.0,7,0
16243,NC12CCC(O1)O2,5.0,7,0
16244,C1C2NC13OC2O3,6.0,7,0
16245,C1C2=NC13OC2O3,7.0,7,0
16246,C1C2OC3(NC13)O2,6.0,7,0
16247,O1C2OC13C1C2N13,7.0,7,0
16248,C1C2=NC23OC1O3,7.0,7,0
16249,NC12C=CC(O1)O2,5.0,7,0
16250,C1=C2NC13OC2O3,6.0,7,0
16251,C1=C2NC23OC1O3,6.0,7,0
16252,O1C2OC13C1=C2N13,7.0,7,0
16253,NC12C#CC(O1)O2,6.0,7,0
16254,N=CCCC(O)O,4.0,7,0
16255,N=CCCC1OO1,5.0,7,0
16256,OC1CCC=NO1,5.0,7,0
16257,N=CCC1OC1O,5.0,7,0
16258,C1=NOC2OC2C1,6.0,7,0
16259,N=CCC12OC1O2,6.0,7,0
16260,OC(O)C1CC=N1,5.0,7,0
16261,C1=NC(C2OO2)C1,6.0,7,0
16262,OC1OC12CC=N2,6.0,7,0
16263,N=CC1CC(O)O1,5.0,7,0
16264,C1=NOC2CC1O2,6.0,7,0
16265,N=CC1OC2OC12,6.0,7,0
16266,OC1OC2C=NC12,6.0,7,0
16267,C1=NC23OC2OC13,7.0,7,0
16268,N=CC12CC(O1)O2,6.0,7,0
16269,C1=NC2C3OC12O3,7.0,7,0
16270,OC(O)CC1C=N1,5.0,7,0
16271,C1=NC1CC1OO1,6.0,7,0
16272,OC1OC1C1C=N1,6.0,7,0
16273,C1=NC1C12OC1O2,7.0,7,0
16274,OC1CC2(C=N2)O1,6.0,7,0
16275,C1=NC12OC1OC12,7.0,7,0
16276,N=CC=CC(O)O,4.0,7,1
16277,N=CC=CC1OO1,5.0,7,0
16278,OC1C=CC=NO1,5.0,7,0
16279,N=CC=C1OC1O,5.0,7,0
16280,C1=NOC2OC2=C1,6.0,7,0
16281,OC(O)C1=CC=N1,5.0,7,0
16282,C1=NC(C2OO2)=C1,6.0,7,0
16283,N=CC1=CC(O)O1,5.0,7,0
16284,C1=NOC2C=C1O2,6.0,7,0
16285,N=CC1=C2OC2O1,6.0,7,0
16286,OC1OC2=C1N=C2,6.0,7,0
16287,OC(O)C=C1C=N1,5.0,7,0
16288,C1=NC1=CC1OO1,6.0,7,0
16289,OC1OC1=C1C=N1,6.0,7,0
16290,N=CC#CC(O)O,5.0,7,0
16291,N=CC#CC1OO1,6.0,7,0
16292,OC1C#CC=NO1,6.0,7,0
16293,N=C1CCC(O)O1,5.0,7,0
16294,C1CC2ON=C1O2,6.0,7,0
16295,N=C1CC2OC2O1,6.0,7,0
16296,OC1OC2=NC1C2,6.0,7,0
16297,C1C2=NC13OC3O2,7.0,7,0
16298,N=C1OC2CC1O2,6.0,7,0
16299,N1=C2OC3OC2C13,7.0,7,0
16300,OC1CC2N=C2O1,6.0,7,0
16301,N1=C2OC3OC3C12,7.0,7,0
16302,C1C2OC3=NC13O2,7.0,7,0
16303,N=C1C=CC(O)O1,5.0,7,0
16304,C1=CC2ON=C1O2,6.0,7,0
16305,N=C1C=C2OC2O1,6.0,7,0
16306,OC1OC2=NC1=C2,6.0,7,0
16307,N=C1OC2C=C1O2,6.0,7,0
16308,N1=C2OC3OC2=C13,7.0,7,0
16309,OC1C=C2N=C2O1,6.0,7,0
16310,N1=C2OC3OC3=C12,7.0,7,0
16311,N=C1C#CC(O)O1,6.0,7,0
16312,C1#CC2ON=C1O2,7.0,7,0
16313,N#CCCC(O)O,5.0,7,0
16314,N#CCCC1OO1,6.0,7,0
16315,N#CCC1OC1O,6.0,7,0
16316,N#CCC12OC1O2,7.0,7,0
16317,N#CC1CC(O)O1,6.0,7,0
16318,N#CC1OC2OC12,7.0,7,0
16319,N#CC12CC(O1)O2,7.0,7,0
16320,N#CC=CC(O)O,5.0,7,0
16321,N#CC=CC1OO1,6.0,7,0
16322,N#CC=C1OC1O,6.0,7,0
16323,N#CC1=CC(O)O1,6.0,7,0
16324,N#CC1=C2OC2O1,7.0,7,0
16325,N#CC#CC(O)O,6.0,7,0
16326,N#CC#CC1OO1,7.0,7,0
16327,OC(O)C1CC1,5.0,6,0
16328,C1CC1C1OO1,6.0,6,0
16329,NOC(O)C1CC1,6.0,7,0
16330,C1CC1C1ONO1,7.0,7,0
16331,OC1OC12CC2,6.0,6,0
16332,NOC1OC12CC2,7.0,7,0
16333,NC1(C(O)O)CC1,6.0,7,0
16334,NC1(C2OO2)CC1,7.0,7,0
16335,OC1ONC12CC2,7.0,7,0
16336,C1CC12C1ON2O1,8.0,7,0
16337,OC1OC2CC12,6.0,6,0
16338,NOC1OC2CC21,7.0,7,0
16339,C1C2OC3OC123,7.0,6,0
16340,NC12CC1OC2O,7.0,7,0
16341,C1C2OC3ONC123,8.0,7,0
16342,C1C2C3OC12O3,7.0,6,0
16343,NC12CC13OC2O3,8.0,7,0
16344,NC1CC1C(O)O,4.0,7,0
16345,NC1CC1C1OO1,5.0,7,0
16346,OC1ONC2CC21,5.0,7,0
16347,C1C2C3ON(O3)C12,6.0,7,0
16348,NC1CC12OC2O,5.0,7,0
16349,C1C2NOC3OC123,6.0,7,0
16350,OC(O)C12CC1N2,5.0,7,0
16351,C1C2NC12C1OO1,6.0,7,0
16352,OC1ON2C3CC132,6.0,7,0
16353,NC12CC1C(O)O2,5.0,7,0
16354,C1C2C3ONC12O3,6.0,7,0
16355,NC12CC13OC3O2,6.0,7,0
16356,OC1OC23CC12N3,6.0,7,0
16357,C1C23OC4ON2C143,7.0,7,0
16358,N=C1CC1C(O)O,5.0,7,0
16359,N=C1CC1C1OO1,6.0,7,0
16360,OC1ON=C2CC21,6.0,7,0
16361,N=C1CC12OC2O,6.0,7,0
16362,C1C2=NOC3OC123,7.0,7,0
16363,OC(O)C12CC1=N2,6.0,7,0
16364,C1C2=NC12C1OO1,7.0,7,0
16365,OC(O)C1=CC1,5.0,6,0
