,smiles,min_dist_all,natoms
4957,NOCOC1=CC1,8.0,7
4958,OCONC1=CC1,7.0,7
4959,C1=C(N2OCO2)C1,8.0,7
4960,C1OC2=C(C2)O1,8.0,6
4961,NC1=C(OCO)C1,7.0,7
4962,C1ONC2=C(C2)O1,8.0,7
4963,OCON1C2=C1C2,8.0,7
4964,NC1C2OCOC12,7.0,7
4965,N=C1C2OCOC12,8.0,7
4966,OCOC1C2NC21,7.0,7
4967,C1OC2C3C2N3O1,8.0,7
4968,C1OC2C3NC32O1,8.0,7
4969,OCOC1C2=NC21,8.0,7
4970,C1OC2C3=NC32O1,9.0,7
4971,OCOC1C=C1,7.0,6
4972,NOCOC1C=C1,8.0,7
4973,C1=C2OCOC12,8.0,6
4974,NC1=CC1OCO,7.0,7
4975,C1=C2NOCOC12,8.0,7
4976,NC1=C2OCOC12,8.0,7
4977,OCOC1C2=C1N2,8.0,7
4978,C1OC2C3=C2N3O1,9.0,7
4979,OCOC1C#C1,8.0,6
4980,NOCOC1C#C1,9.0,7
4981,C1OC2(O1)C1NC12,8.0,7
4982,C1OC2(O1)C1=NC12,9.0,7
4983,C1=CC12OCO2,6.0,6
4984,NC1=CC12OCO2,7.0,7
4985,C1OC2(O1)C1=C2N1,8.0,7
4986,C1#CC12OCO2,7.0,6
4987,OCOC12C3C1N32,8.0,7
4988,C1OC23C4N2C43O1,9.0,7
4989,OCONC1C=C1,6.0,7
4990,C1=CC1N1OCO1,7.0,7
4991,NC1C=C1OCO,6.0,7
4992,C1=C2OCONC12,7.0,7
4993,OCON1C2=CC21,7.0,7
4994,NC1C2=C1OCO2,7.0,7
4995,OCOC1=C2NC21,7.0,7
4996,C1OC2=C3C2N3O1,8.0,7
4997,OCONC1C#C1,7.0,7
4998,C1#CC1N1OCO1,8.0,7
4999,NC1(OCO)C=C1,6.0,7
5000,C1=CC12NOCO2,7.0,7
5001,NC12C=C1OCO2,7.0,7
5002,OCOC12C=C1N2,7.0,7
5003,C1=C2N3OCOC123,8.0,7
5004,C1OC2=C3NC32O1,8.0,7
5005,OCOC12C3=C1N32,8.0,7
5006,NC1(OCO)C#C1,7.0,7
5007,C1#CC12NOCO2,8.0,7
5008,OCON=c1cc1,7.0,7
5009,N=c1cc1OCO,7.0,7
5010,C1=C2OCON=C12,8.0,7
5011,N=c1c2c1OCO2,8.0,7
5012,OCOC1=C2N=C21,8.0,7
5013,OCON=c1c#c1,8.0,7
5014,OCOC1=C=C1,8.0,6
5015,NOCOC1=C=C1,9.0,7
5016,OCONC1=C=C1,7.0,7
5017,C1=CC=1N1OCO1,8.0,7
5018,C1=C2OCOC=12,9.0,6
5019,NC1=C=C1OCO,7.0,7
5020,C1=C2NOCOC=12,8.0,7
5021,OCON1C2=C=C21,8.0,7
5022,CN(C)COC=O,6.0,7
5023,CCN(C)OC=O,4.0,7
5024,CNC(C)OC=O,4.0,7
5025,CN=C(C)OC=O,5.0,7
5026,CNCCOC=O,4.0,7
5027,CN=CCOC=O,5.0,7
5028,CN1CC1OC=O,5.0,7
5029,C=CN(C)OC=O,4.0,7
5030,C=C(NC)OC=O,4.0,7
5031,CNC=COC=O,4.0,7
5032,CN=C=COC=O,5.0,7
5033,CN1C=C1OC=O,5.0,7
5034,C#CN(C)OC=O,5.0,7
5035,CNC#COC=O,5.0,7
5036,CCNCOC=O,4.0,7
5037,CC=NCOC=O,5.0,7
5038,O=COCN1CC1,5.0,7
5039,C=CNCOC=O,4.0,7
5040,C=C=NCOC=O,5.0,7
5041,O=COCN1C=C1,5.0,7
5042,C#CNCOC=O,5.0,7
5043,O=COCN1C#C1,6.0,7
5044,C=NC(C)OC=O,5.0,7
5045,C=NCCOC=O,5.0,7
5046,C=NC(=C)OC=O,5.0,7
5047,C=NC=COC=O,5.0,7
5048,C=NC#COC=O,6.0,7
5049,CCN=COC=O,5.0,7
5050,C=CN=COC=O,5.0,7
5051,C#CN=COC=O,6.0,7
5052,CC(C)OC=O,5.0,6
5053,CC(C)NOC=O,6.0,7
5054,CC(C)(N)OC=O,6.0,7
5055,CC(C)=NOC=O,7.0,7
5056,CCCOC=O,5.0,6
5057,CC(N)COC=O,6.0,7
5058,CC(=N)COC=O,7.0,7
5059,CCCNOC=O,4.0,7
5060,CC(CN)OC=O,4.0,7
5061,CC1CN1OC=O,5.0,7
5062,CC1(OC=O)CN1,5.0,7
5063,CCC(N)OC=O,4.0,7
5064,CC1NC1OC=O,5.0,7
5065,CC1=NC1OC=O,6.0,7
5066,CCC=NOC=O,5.0,7
5067,CC(C=N)OC=O,5.0,7
5068,CC1(OC=O)C=N1,6.0,7
5069,CCC(=N)OC=O,5.0,7
5070,CC1N=C1OC=O,6.0,7
5071,CC(C#N)OC=O,6.0,7
5072,C=C(C)OC=O,5.0,6
5073,C=C(C)NOC=O,6.0,7
5074,CC=COC=O,5.0,6
5075,CC(N)=COC=O,6.0,7
5076,CC=CNOC=O,5.0,7
5077,CC(=CN)OC=O,5.0,7
5078,CC1=CN1OC=O,6.0,7
5079,CC=C(N)OC=O,5.0,7
5080,CC1=C(OC=O)N1,6.0,7
5081,CC=C=NOC=O,6.0,7
5082,CC(=C=N)OC=O,6.0,7
5083,CC#COC=O,6.0,6
5084,CC#CNOC=O,6.0,7
5085,NCCCOC=O,4.0,7
5086,O=COCC1CN1,5.0,7
5087,O=COCC1=NC1,6.0,7
5088,N=CCCOC=O,5.0,7
5089,O=COCC1C=N1,6.0,7
5090,N#CCCOC=O,6.0,7
5091,C=CCOC=O,5.0,6
5092,C=C(N)COC=O,6.0,7
5093,NC=CCOC=O,5.0,7
5094,O=COCC1=CN1,6.0,7
5095,N=C=CCOC=O,6.0,7
5096,O=COCC1=C=N1,7.0,7
5097,C#CCOC=O,6.0,6
5098,NC#CCOC=O,6.0,7
5099,O=CON1CCC1,5.0,7
5100,O=COC1CNC1,5.0,7
5101,O=COC12CN1C2,6.0,7
5102,O=COC1CCN1,5.0,7
5103,O=COC1C2CN21,6.0,7
5104,O=COC1C=NC1,6.0,7
5105,O=COC1=NCC1,6.0,7
5106,C=CCNOC=O,4.0,7
5107,C=C(CN)OC=O,4.0,7
5108,C=C1CN1OC=O,5.0,7
5109,NCC=COC=O,4.0,7
5110,O=COC=C1CN1,5.0,7
5111,O=CON1C=CC1,5.0,7
5112,O=COC1=CNC1,5.0,7
5113,O=COC1=CCN1,5.0,7
5114,O=COC1=C2CN21,6.0,7
5115,O=COC1=C=NC1,6.0,7
5116,C#CCNOC=O,5.0,7
5117,NCC#COC=O,5.0,7
5118,O=CON1C#CC1,6.0,7
5119,O=COC1CC=N1,6.0,7
5120,C=CC(N)OC=O,4.0,7
5121,C=C1NC1OC=O,5.0,7
5122,O=COC1C=CN1,5.0,7
5123,O=COC1C2=CN21,6.0,7
5124,O=COC1C=C=N1,6.0,7
5125,C#CC(N)OC=O,5.0,7
5126,O=COC1C#CN1,6.0,7
5127,C=CC=NOC=O,5.0,7
5128,C=C(C=N)OC=O,5.0,7
5129,N=CC=COC=O,5.0,7
5130,O=COC=C1C=N1,6.0,7
5131,O=COC1=CN=C1,6.0,7
5132,O=COC1=CC=N1,6.0,7
5133,C#CC=NOC=O,6.0,7
5134,N=CC#COC=O,6.0,7
5135,C=CC(=N)OC=O,5.0,7
5136,C=C1N=C1OC=O,6.0,7
5137,O=COC1=NC=C1,6.0,7
5138,C#CC(=N)OC=O,6.0,7
5139,O=COC1=NC#C1,7.0,7
5140,C=C(C#N)OC=O,6.0,7
5141,N#CC=COC=O,6.0,7
5142,N#CC#COC=O,7.0,7
5143,C=C=COC=O,6.0,6
5144,C=C=CNOC=O,5.0,7
5145,C=C=C(N)OC=O,5.0,7
5146,C=C=C=NOC=O,6.0,7
5147,NC=C=COC=O,5.0,7
5148,N=C=C=COC=O,6.0,7
5149,O=CON1C=C=C1,6.0,7
5150,O=COC1=C=CN1,6.0,7
5151,O=COC1=C=C=N1,7.0,7
5152,O=COC1CC1,6.0,6
5153,O=CONC1CC1,5.0,7
5154,NC1(OC=O)CC1,5.0,7
5155,O=CON=C1CC1,6.0,7
5156,NC1CC1OC=O,5.0,7
5157,N=C1CC1OC=O,6.0,7
5158,O=CON1C2CC21,6.0,7
5159,O=COC12CC1N2,6.0,7
5160,O=COC12CC1=N2,7.0,7
5161,O=COC1=CC1,6.0,6
5162,O=CONC1=CC1,6.0,7
5163,NC1=C(OC=O)C1,6.0,7
5164,O=CON1C2=C1C2,7.0,7
5165,O=COC1C2NC21,6.0,7
5166,O=COC1C2=NC21,7.0,7
5167,O=COC1C=C1,6.0,6
5168,NC1=CC1OC=O,6.0,7
5169,O=COC1C2=C1N2,7.0,7
5170,O=COC1C#C1,7.0,6
5171,O=COC12C3C1N32,7.0,7
5172,O=CONC1C=C1,5.0,7
5173,NC1C=C1OC=O,5.0,7
5174,O=CON1C2=CC21,6.0,7
5175,O=COC1=C2NC21,6.0,7
5176,O=CONC1C#C1,6.0,7
5177,NC1(OC=O)C=C1,5.0,7
5178,O=COC12C=C1N2,6.0,7
5179,O=COC12C3=C1N32,7.0,7
5180,NC1(OC=O)C#C1,6.0,7
5181,O=CON=c1cc1,6.0,7
5182,N=c1cc1OC=O,6.0,7
5183,O=COC1=C2N=C21,7.0,7
5184,O=CON=c1c#c1,7.0,7
5185,O=COC1=C=C1,7.0,6
5186,O=CONC1=C=C1,6.0,7
5187,NC1=C=C1OC=O,6.0,7
5188,O=CON1C2=C=C21,7.0,7
5189,CCON(C)C,6.0,6
5190,CCOON(C)C,7.0,7
5191,CC(O)ON(C)C,5.0,7
5192,CC(=O)ON(C)C,4.0,7
5193,CCN(C)C,7.0,5
5194,CC(O)N(C)C,6.0,6
5195,CC(OO)N(C)C,7.0,7
5196,CC(=O)N(C)C,5.0,6
5197,CN(C)C(C)(O)O,5.0,7
5198,CN(C)C1(C)OO1,6.0,7
5199,CN(C)OCCO,7.0,7
5200,CN(C)OC1CO1,6.0,7
5201,CN(C)OCC=O,6.0,7
5202,CN(C)CCO,6.0,6
5203,CN(C)CCOO,7.0,7
5204,CN(C)C1CO1,7.0,6
5205,CN(C)C(O)CO,7.0,7
5206,CN(C)C1COO1,8.0,7
5207,CN(C)C1(O)CO1,6.0,7
5208,CN(C)C(=O)CO,6.0,7
5209,CN(C)CC=O,5.0,6
5210,CN(C)C(O)C=O,6.0,7
5211,CN(C)C(=O)C=O,7.0,7
5212,CN(C)CC(O)O,5.0,7
5213,CN(C)CC1OO1,6.0,7
5214,CN(C)C1OC1O,6.0,7
5215,CN(C)C12OC1O2,7.0,7
5216,CN(C)CC(=O)O,4.0,7
5217,CN(C)C1OC1=O,5.0,7
5218,C=CON(C)C,7.0,6
5219,C=COON(C)C,8.0,7
5220,C=C(O)ON(C)C,6.0,7
5221,C=CN(C)C,7.0,5
5222,C=C(O)N(C)C,7.0,6
5223,C=C(OO)N(C)C,8.0,7
5224,CN(C)OC=CO,8.0,7
5225,CN(C)OC1=CO1,7.0,7
5226,CN(C)OC=C=O,7.0,7
5227,CN(C)C=CO,7.0,6
5228,CN(C)C=COO,8.0,7
5229,CN(C)C1=CO1,8.0,6
5230,CN(C)C(O)=CO,8.0,7
5231,CN(C)c1coo1,9.0,7
5232,CN(C)C=C=O,6.0,6
5233,CN(C)C(O)=C=O,7.0,7
5234,CN(C)C=C(O)O,6.0,7
5235,CN(C)C=C1OO1,7.0,7
5236,CN(C)C1=C(O)O1,7.0,7
5237,C#CON(C)C,8.0,6
5238,C#COON(C)C,9.0,7
5239,C#CN(C)C,8.0,5
5240,CN(C)OC#CO,9.0,7
5241,CN(C)C#CO,8.0,6
5242,CN(C)C#COO,9.0,7
5243,CCOCNC,6.0,6
5244,CCOCN(C)O,7.0,7
5245,CCOOCNC,7.0,7
5246,CCON(C)CO,7.0,7
5247,CNCOC(C)O,5.0,7
5248,CC1OCN(C)O1,6.0,7
5249,CNCOC(C)=O,4.0,7
5250,CCN(C)CO,6.0,6
5251,CCN(C)COO,7.0,7
5252,CC1OCN1C,7.0,6
5253,CC(O)N(C)CO,7.0,7
5254,CC1OOCN1C,8.0,7
5255,CN1COC1(C)O,6.0,7
5256,CC(=O)N(C)CO,6.0,7
5257,CNCOCCO,7.0,7
5258,CN1COCCO1,8.0,7
5259,CNCOCC=O,6.0,7
5260,CN1CCOC1,7.0,6
5261,CN1COCC1O,8.0,7
5262,CN1COCC1=O,7.0,7
5263,CNCOC1CO1,6.0,7
5264,CN(CO)CCO,7.0,7
5265,CN1CCOOC1,8.0,7
5266,CN1COC1CO,8.0,7
5267,CN(CO)C1CO1,8.0,7
5268,CN1COC12CO2,7.0,7
5269,CN1COC(O)C1,6.0,7
5270,CN1COC2OC21,7.0,7
5271,CN(CO)CC=O,6.0,7
5272,CN1COC1C=O,7.0,7
5273,CN1COC(=O)C1,5.0,7
5274,C=COCNC,6.0,6
5275,C=COCN(C)O,7.0,7
5276,C=COOCNC,7.0,7
5277,C=CON(C)CO,7.0,7
5278,C=C(O)OCNC,6.0,7
5279,C=C1OCN(C)O1,7.0,7
5280,C=CN(C)CO,6.0,6
5281,C=CN(C)COO,7.0,7
5282,C=C1OCN1C,7.0,6
5283,C=C(O)N(C)CO,7.0,7
5284,C=C1OOCN1C,8.0,7
5285,CNCOC=CO,7.0,7
5286,CN1COC=CO1,8.0,7
5287,CNCOC=C=O,7.0,7
5288,CN1C=COC1,7.0,6
5289,CN1COC=C1O,8.0,7
5290,CNCOC1=CO1,7.0,7
5291,CN(C=CO)CO,7.0,7
5292,CN1C=COOC1,8.0,7
5293,CN1COC1=CO,8.0,7
5294,CN(CO)C1=CO1,8.0,7
5295,CN1C=C(O)OC1,7.0,7
5296,CN1COC2=C1O2,8.0,7
5297,CN(C=C=O)CO,7.0,7
5298,CN1COC1=C=O,8.0,7
5299,C#COCNC,7.0,6
5300,C#COCN(C)O,8.0,7
5301,C#COOCNC,8.0,7
5302,C#CON(C)CO,8.0,7
5303,C#CN(C)CO,7.0,6
5304,C#CN(C)COO,8.0,7
5305,CNCOC#CO,8.0,7
5306,CN1COC#CO1,9.0,7
5307,CN1C#COC1,8.0,6
5308,CN(C#CO)CO,8.0,7
5309,CN1C#COOC1,9.0,7
5310,CCON(C)C=O,6.0,7
5311,CCN(C)C=O,5.0,6
5312,CC(O)N(C)C=O,6.0,7
5313,CC(=O)N(C)C=O,7.0,7
5314,CN(C=O)CCO,6.0,7
5315,CN(C=O)C1CO1,7.0,7
5316,CN(C=O)CC=O,7.0,7
5317,C=CON(C)C=O,6.0,7
5318,C=CN(C)C=O,5.0,6
5319,C=C(O)N(C)C=O,6.0,7
5320,CN(C=O)C=CO,6.0,7
5321,CN(C=O)C1=CO1,7.0,7
5322,CN(C=O)C=C=O,7.0,7
5323,C#CON(C)C=O,7.0,7
5324,C#CN(C)C=O,6.0,6
5325,CN(C#CO)C=O,7.0,7
5326,CCOC(O)NC,5.0,7
5327,CCOC1ON1C,6.0,7
5328,CNC1OC(C)O1,6.0,7
5329,CCN(C)C(O)O,5.0,7
5330,CCN(C)C1OO1,6.0,7
5331,CC1OC(O)N1C,6.0,7
5332,CN1C2OC1(C)O2,7.0,7
5333,CNC1OCCO1,6.0,7
5334,CN1CCOC1O,6.0,7
5335,CN1C2COC1O2,7.0,7
5336,CN1CC2OC1O2,7.0,7
5337,C=COC(O)NC,5.0,7
5338,C=COC1ON1C,6.0,7
5339,C=C1OC(NC)O1,6.0,7
5340,C=CN(C)C(O)O,5.0,7
5341,C=CN(C)C1OO1,6.0,7
5342,C=C1OC(O)N1C,6.0,7
5343,CNC1OC=CO1,6.0,7
5344,CN1C=COC1O,6.0,7
5345,CN1C2=COC1O2,7.0,7
5346,CN1C=C2OC1O2,7.0,7
5347,C#COC(O)NC,6.0,7
5348,C#COC1ON1C,7.0,7
5349,C#CN(C)C(O)O,6.0,7
5350,C#CN(C)C1OO1,7.0,7
5351,CNC1OC#CO1,7.0,7
5352,CN1C#COC1O,7.0,7
5353,CCOC(=O)NC,4.0,7
5354,CCN(C)C(=O)O,4.0,7
5355,CC1OC(=O)N1C,5.0,7
5356,CN1CCOC1=O,5.0,7
5357,C=COC(=O)NC,4.0,7
5358,C=CN(C)C(=O)O,4.0,7
5359,C=C1OC(=O)N1C,5.0,7
5360,Cn1ccoc1=O,5.0,7
5361,C#COC(=O)NC,5.0,7
5362,C#CN(C)C(=O)O,5.0,7
5363,Cn1c#coc1=O,6.0,7
5364,CCOC=NC,7.0,6
5365,CCOOC=NC,8.0,7
5366,CN=COC(C)O,6.0,7
5367,CN=COC(C)=O,5.0,7
5368,CN=COCCO,8.0,7
5369,CN=COCC=O,7.0,7
5370,CN=COC1CO1,7.0,7
5371,C=COC=NC,7.0,6
5372,C=COOC=NC,8.0,7
5373,C=C(O)OC=NC,7.0,7
5374,CN=COC=CO,8.0,7
5375,CN=COC=C=O,8.0,7
5376,CN=COC1=CO1,8.0,7
5377,C#COC=NC,8.0,6
5378,C#COOC=NC,9.0,7
5379,CN=COC#CO,9.0,7
5380,CCOC(O)=NC,6.0,7
5381,CN=C1OC(C)O1,7.0,7
5382,CN=C1OCCO1,7.0,7
5383,C=COC(O)=NC,6.0,7
5384,C=C1OC(=NC)O1,7.0,7
5385,CN=c1occo1,7.0,7
5386,C#COC(O)=NC,7.0,7
5387,CN=c1oc#co1,8.0,7
5388,CNOC(C)C,6.0,6
5389,CNOOC(C)C,7.0,7
5390,CC(C)ON(C)O,7.0,7
5391,CNOC(C)(C)O,5.0,7
5392,CN1OC(C)(C)O1,6.0,7
5393,CNC(C)C,5.0,5
5394,CC(C)N(C)O,6.0,6
5395,CC(C)N(C)OO,7.0,7
5396,CNC(C)(C)O,6.0,6
5397,CNC(C)(C)OO,7.0,7
5398,CN1OC1(C)C,7.0,6
5399,CN(O)C(C)(C)O,7.0,7
5400,CN1OOC1(C)C,8.0,7
5401,CN=C(C)C,6.0,5
5402,CCCONC,4.0,6
5403,CCCOONC,5.0,7
5404,CCCON(C)O,5.0,7
5405,CNOCC(C)O,5.0,7
5406,CNOC(C)CO,5.0,7
5407,CC1CON(C)O1,6.0,7
5408,CNOC1(C)CO1,6.0,7
5409,CNOCC(C)=O,6.0,7
5410,CNC(C)CO,4.0,6
5411,CNC(C)COO,5.0,7
5412,CC1CON1C,5.0,6
5413,CC(CO)N(C)O,5.0,7
5414,CC1COON1C,6.0,7
5415,CNC1(C)CO1,5.0,6
5416,CN(O)C1(C)CO1,6.0,7
5417,CNC(C)(O)CO,5.0,7
5418,CNC1(C)COO1,6.0,7
5419,CN1OCC1(C)O,6.0,7
5420,CN1OC1(C)CO,6.0,7
5421,CN=C(C)CO,5.0,6
5422,CN=C(C)COO,6.0,7
5423,CNOC(C)C=O,4.0,7
5424,CNC(C)C=O,3.0,6
5425,CC(C=O)N(C)O,4.0,7
5426,CNC(C)(O)C=O,4.0,7
5427,CN1OC1(C)C=O,5.0,7
5428,CN=C(C)C=O,4.0,6
5429,CCC(O)ONC,3.0,7
5430,CCC1ON(C)O1,4.0,7
5431,CNOC1OC1C,4.0,7
5432,CNC(C)C(O)O,3.0,7
5433,CNC(C)C1OO1,4.0,7
5434,CC1C(O)ON1C,4.0,7
5435,CNC1(C)OC1O,4.0,7
5436,CN1OC2OC21C,5.0,7
5437,CN=C(C)C(O)O,4.0,7
5438,CN=C(C)C1OO1,5.0,7
5439,CCC(=O)ONC,2.0,7
5440,CNC(C)C(=O)O,2.0,7
5441,CC1C(=O)ON1C,3.0,7
5442,CNC1(C)OC1=O,3.0,7
5443,CN=C(C)C(=O)O,3.0,7
5444,CCCNC,5.0,5
5445,CCCN(C)O,6.0,6
5446,CCCN(C)OO,7.0,7
5447,CNCC(C)O,6.0,6
5448,CNCC(C)OO,7.0,7
5449,CC1CN(C)O1,7.0,6
5450,CC(O)CN(C)O,7.0,7
5451,CC1CN(C)OO1,8.0,7
5452,CNCC(C)=O,5.0,6
5453,CC(=O)CN(C)O,6.0,7
5454,CNCC(C)(O)O,5.0,7
5455,CNCC1(C)OO1,6.0,7
5456,CN1CC(C)(O)O1,6.0,7
5457,CC1CN1C,6.0,5
5458,CN1CC1(C)O,7.0,6
5459,CN1CC1(C)OO,8.0,7
5460,CCC(O)NC,4.0,6
5461,CCC(NC)OO,5.0,7
5462,CCC1ON1C,5.0,6
5463,CCC(O)N(C)O,5.0,7
5464,CCC1OON1C,6.0,7
5465,CNC1OC1C,5.0,6
5466,CC1OC1N(C)O,6.0,7
5467,CNC(O)C(C)O,5.0,7
5468,CNC1OOC1C,6.0,7
5469,CC(O)C1ON1C,6.0,7
5470,CC1ON(C)C1O,6.0,7
5471,CNC1OC1(C)O,6.0,7
5472,CN1OC2(C)OC12,7.0,7
5473,CNC(O)C(C)=O,6.0,7
5474,CC(=O)C1ON1C,7.0,7
5475,CC1C(O)N1C,5.0,6
5476,CC1C(OO)N1C,6.0,7
5477,CN1C2OC21C,6.0,6
5478,CN1C(O)C1(C)O,6.0,7
5479,CN1C2OOC21C,7.0,7
5480,CCC(=O)NC,3.0,6
5481,CCC(=O)N(C)O,4.0,7
5482,CNC(=O)C(C)O,4.0,7
5483,CC1ON(C)C1=O,5.0,7
5484,CNC(=O)C(C)=O,5.0,7
5485,CC1C(=O)N1C,4.0,6
5486,CN1C(=O)C1(C)O,5.0,7
5487,CCC(O)(O)NC,3.0,7
5488,CCC1(NC)OO1,4.0,7
5489,CCC1(O)ON1C,4.0,7
5490,CNC1(O)OC1C,4.0,7
5491,CC1OC12ON2C,5.0,7
5492,CNC12OC1(C)O2,5.0,7
5493,CC1N(C)C1(O)O,4.0,7
5494,CC1N(C)C12OO2,5.0,7
5495,CN1C2(C)OC12O,5.0,7
5496,CCC=NC,6.0,5
5497,CN=CC(C)O,7.0,6
5498,CN=CC(C)OO,8.0,7
5499,CN=CC(C)=O,6.0,6
5500,CN=CC(C)(O)O,6.0,7
5501,CN=CC1(C)OO1,7.0,7
5502,CCC(O)=NC,5.0,6
5503,CCC(=NC)OO,6.0,7
5504,CN=C1OC1C,6.0,6
5505,CN=C(O)C(C)O,6.0,7
5506,CN=C1OOC1C,7.0,7
5507,CN=C1OC1(C)O,7.0,7
5508,CN=C(O)C(C)=O,7.0,7
5509,C=C(C)ONC,6.0,6
5510,C=C(C)OONC,7.0,7
5511,C=C(C)ON(C)O,7.0,7
5512,C=C(C)NC,5.0,5
5513,C=C(C)N(C)O,6.0,6
5514,C=C(C)N(C)OO,7.0,7
5515,CC=CONC,5.0,6
5516,CC=COONC,6.0,7
5517,CC=CON(C)O,6.0,7
5518,CNOC=C(C)O,6.0,7
5519,CNOC(C)=CO,6.0,7
5520,CC1=CON(C)O1,7.0,7
5521,CNC(C)=CO,5.0,6
5522,CNC(C)=COO,6.0,7
5523,Cc1con1C,6.0,6
5524,CC(=CO)N(C)O,6.0,7
5525,CC1=COON1C,7.0,7
5526,CNOC(C)=C=O,5.0,7
5527,CNC(C)=C=O,4.0,6
5528,CC(=C=O)N(C)O,5.0,7
5529,CC=C(O)ONC,4.0,7
5530,CC=C1ON(C)O1,5.0,7
5531,CNOC1=C(C)O1,5.0,7
5532,CNC(C)=C(O)O,4.0,7
5533,CNC(C)=C1OO1,5.0,7
5534,Cc1c(O)on1C,5.0,7
5535,CC=CNC,5.0,5
5536,CC=CN(C)O,6.0,6
5537,CC=CN(C)OO,7.0,7
5538,CNC=C(C)O,6.0,6
5539,CNC=C(C)OO,7.0,7
5540,Cc1cn(C)o1,7.0,6
5541,CC(O)=CN(C)O,7.0,7
5542,CC1=CN(C)OO1,8.0,7
5543,CC1=CN1C,6.0,5
5544,CC=C(O)NC,5.0,6
5545,CC=C(NC)OO,6.0,7
5546,CC=C1ON1C,6.0,6
5547,CC=C(O)N(C)O,6.0,7
5548,CC=C1OON1C,7.0,7
5549,CNC1=C(C)O1,6.0,6
5550,CC1=C(N(C)O)O1,7.0,7
5551,CNC(O)=C(C)O,6.0,7
5552,CNc1ooc1C,7.0,7
5553,CC(O)=C1ON1C,7.0,7
5554,Cc1on(C)c1O,7.0,7
5555,CC1=C(O)N1C,6.0,6
5556,CC1=C(OO)N1C,7.0,7
5557,CC=C=NC,6.0,5
5558,CN=C=C(C)O,7.0,6
5559,CN=C=C(C)OO,8.0,7
5560,CC#CONC,6.0,6
5561,CC#COONC,7.0,7
5562,CC#CON(C)O,7.0,7
5563,CC#CNC,6.0,5
5564,CC#CN(C)O,7.0,6
5565,CC#CN(C)OO,8.0,7
5566,CNOC1COC1,6.0,7
5567,CNC1COC1,5.0,6
5568,CN(O)C1COC1,6.0,7
5569,CNC1(O)COC1,6.0,7
5570,CN1OC12COC2,7.0,7
5571,CN=C1COC1,6.0,6
5572,CNOCCCO,5.0,7
5573,CN1OCCCO1,6.0,7
5574,CNOCC1CO1,6.0,7
5575,CNC(CO)CO,5.0,7
5576,CNC1COOC1,6.0,7
5577,CN1OCC1CO,6.0,7
5578,CNC1(CO)CO1,6.0,7
5579,CN1OCC12CO2,7.0,7
5580,CN=C(CO)CO,6.0,7
5581,CN=C1COOC1,7.0,7
5582,CNOC1CCO1,4.0,7
5583,CNC1COC1O,4.0,7
5584,CN1OC2OCC21,5.0,7
5585,CNC12COC1O2,5.0,7
5586,CN=C1COC1O,5.0,7
5587,CNOCCC=O,4.0,7
5588,CNC(C=O)CO,4.0,7
5589,CN1OCC1C=O,5.0,7
5590,CNC1(C=O)CO1,5.0,7
5591,CN=C(C=O)CO,5.0,7
5592,CNC1COC1=O,3.0,7
5593,CN=C1COC1=O,4.0,7
5594,CNCCCO,4.0,6
5595,CNCCCOO,5.0,7
5596,CN1CCCO1,5.0,6
5597,CN(O)CCCO,5.0,7
5598,CN1CCCOO1,6.0,7
5599,CNCC1CO1,5.0,6
5600,CN(O)CC1CO1,6.0,7
5601,CNCC(O)CO,5.0,7
5602,CNCC1COO1,6.0,7
5603,CN1CC(O)CO1,6.0,7
5604,CN1CC(CO)O1,6.0,7
5605,CNCC1(O)CO1,6.0,7
5606,CN1CC2(CO2)O1,7.0,7
5607,CNCC(=O)CO,6.0,7
5608,CN1CC(=O)CO1,7.0,7
5609,CN1CC1CO,5.0,6
5610,CN1CC1COO,6.0,7
5611,CN1CC12CO2,6.0,6
5612,CN1CC1(O)CO,6.0,7
5613,CN1CC12COO2,7.0,7
5614,CNC1CCO1,5.0,6
5615,CN(O)C1CCO1,6.0,7
5616,CNC1OCC1O,6.0,7
5617,CN1OC2COC21,7.0,7
5618,CNC1OCC1=O,7.0,7
5619,CN1C2COC21,6.0,6
5620,CN1C2OCC21O,7.0,7
5621,CNC(O)CCO,5.0,7
5622,CNC1CCOO1,6.0,7
5623,CN1OCCC1O,6.0,7
5624,CN1OC1CCO,6.0,7
5625,CNC(O)C1CO1,6.0,7
5626,CN1OC1C1CO1,7.0,7
5627,CNC1OC1CO,6.0,7
5628,CN1OCC2OC21,7.0,7
5629,CNC1OC12CO2,7.0,7
5630,CN1C(O)C1CO,6.0,7
5631,CN1C2COOC21,7.0,7
5632,CN1C(O)C12CO2,7.0,7
5633,CN1C2OC21CO,7.0,7
5634,CNC1(O)CCO1,4.0,7
5635,CN1OC12CCO2,5.0,7
5636,CNC12OCC1O2,5.0,7
5637,CN1C2COC21O,5.0,7
5638,CN1C23COC12O3,6.0,7
5639,CNC(=O)CCO,4.0,7
5640,CN1OCCC1=O,5.0,7
5641,CNC(=O)C1CO1,5.0,7
5642,CN1C(=O)C1CO,5.0,7
5643,CN1C(=O)C12CO2,6.0,7
5644,CN=CCCO,5.0,6
5645,CN=CCCOO,6.0,7
5646,CN=CC1CO1,6.0,6
5647,CN=CC(O)CO,6.0,7
5648,CN=CC1COO1,7.0,7
5649,CN=CC1(O)CO1,7.0,7
5650,CN=CC(=O)CO,7.0,7
