rmat_tag,distance,SMILES
42500_S1,13.0,CCNC#CC=CC=C(C=O)C
42600_S1,12.0,CCN(CC(=CC=CCO)C)O[13CH2]
42800_S1,11.0,CCN1CC(C)=CC=CC2(O[13CH2])OC12
42900_S1,8.0,CCNCC(=CC=CC=C(O)O[13CH2])C
43100_S1,14.0,CCN1C(=O)C=CC=C(C)C1O[13CH2]
43300_S1,10.0,CCN1C2CC=CC=C(C)C1O2
43900_S1,11.0,CCC=CC=C(C)C(=NCC)O[13CH2]
44400_S1,13.0,CCNCCC(=CC=CC=O)C
44500_S1,13.0,CCN1C(=O)C=CC=C(C)CC1O[13CH2]
44600_S1,11.0,CCN(O)C1CC=CC=C(C)C1
45300_S1,12.0,CCN1C2(O[13CH2])C=CC=C(C)C3OC312
45700_S1,13.0,CCNC(C)C(=CC=CC=O)C
45800_S1,10.0,CCN(O[13CH2])C1C(C)=CC=CCC1O
46100_S1,14.0,CCN1C2C(=O)C=CC=C(C)C21O[13CH2]
47000_S1,13.0,C=CC(=CC=CC(O)O[13CH2])C
47200_S1,10.0,[13CH2]OC1=CC(C)=CC=CC1O
47500_S1,14.0,C=C1OC(O[13CH2])C=CC=C1C
47600_S1,12.0,CCNC1C=CC=C(C)C(O)=C1
47800_S1,12.0,CC=CC=C(C)C(=CO[13CH2])N(O)CC
47900_S1,15.0,C=C1C(C)=CC=CC(OO[13CH2])N1CC
48500_S1,15.0,C#CC(=CC=CC(=O)O[13CH2])C
49500_S1,10.0,CCN(C=C1C=CC=C(C)C1)O[13CH2]
49800_S1,10.0,CCN(CO[13CH2])OC1CC=CC=C1C
50100_S1,10.0,CCNCOC1(O[13CH2])CC=CC=C1C
50200_S1,10.0,CCNC1C=CC=C(C)C1=O
50300_S1,10.0,CCN(O[13CH2])C1CC=CC=C1C
51000_S1,10.0,CCN1C2=C3C=CC=C(C)C31O2
51700_S1,11.0,CCN=C(O[13CH2])C1C(C)=CC=CC1O
52200_S1,10.0,CCNC1C2C=CC=C(C)C21O[13CH2]
52300_S1,13.0,CCN1CC2(O1)C(C)=CC=CC2O[13CH2]
52400_S1,7.0,[13CH2]OC12OC13C(C)=CC=CC23
52800_S1,11.0,CCN1C2(O)C=CC=C(C)C12CO[13CH2]
53500_S1,11.0,CCNC=C1CC=CC=C1C
54700_S1,8.0,CCN(CO)C1=CC(C)=CC=C1
55000_S1,9.0,CCN(CO)C1=C(O[13CH2])C(C)=CC=C1
55200_S1,9.0,CCN(CC1=C(O)C(C)=CC=C1)O[13CH2]
56300_S1,9.0,CCN(O[13CH2])C1C2=C1C(C)=CC=C2
