rmat_tag,distance,largest_cleaned
963,10.0,CCN1OC2(C=CC=C(C)C)OC12
964,8.0,CCNC12OC1(C=CC=C(C)C)O2
971,10.0,CCN=C1OC1(O)C=CC=C(C)C
1019,10.0,CCN(OO)C(C)C=CC=C(C)C
1023,7.0,CCNC(C=CC=C(C)C)CO
1024,8.0,CCNC(C=CC=C(C)C)COO
1025,8.0,CCN1OCC1C=CC=C(C)C
1035,8.0,CCN(O)C(C=CC=C(C)C)CO
1036,9.0,CCN1OOCC1C=CC=C(C)C
1040,6.0,CCNC(C=CC=C(C)C)C(O)O
1041,7.0,CCNC(C=CC=C(C)C)C1OO1
1042,7.0,CCN1OC(O)C1C=CC=C(C)C
1047,6.0,CCNC(C=O)C=CC=C(C)C
1048,7.0,CCN(O)C(C=O)C=CC=C(C)C
1050,5.0,CCNC(C=CC=C(C)C)C(=O)O
1051,6.0,CCN1OC(=O)C1C=CC=C(C)C
1060,9.0,CCN1C(C=CC=C(C)C)C1OO
1066,8.0,CCN1C(O)C1C=CC=C(C)C
1071,7.0,CCN1C(C=CC=C(C)C)C1(O)O
1072,8.0,CCN1C(C=CC=C(C)C)C12OO2
1075,7.0,CCN1C(=O)C1C=CC=C(C)C
1085,10.0,CCNC(C)(C=CC=C(C)C)OO
1086,10.0,CCN1OC1(C)C=CC=C(C)C
1087,10.0,CCN(O)C(C)(O)C=CC=C(C)C
1088,11.0,CCN1OOC1(C)C=CC=C(C)C
1100,8.0,CCN1OC2OC21C=CC=C(C)C
1101,7.0,CCNC(O)(C=O)C=CC=C(C)C
1102,8.0,CCN1OC1(C=O)C=CC=C(C)C
1103,6.0,CCNC1(C=CC=C(C)C)OC1=O
1105,11.0,CCN1CC1(C=CC=C(C)C)OO
1115,8.0,CCN1C2(O)OC12C=CC=C(C)C
1117,8.0,CCN1C(=O)C1(O)C=CC=C(C)C
1144,8.0,CCNC(O)(C=CC=C(C)C)CO
1145,9.0,CCNC1(C=CC=C(C)C)COO1
1146,9.0,CCN1OCC1(O)C=CC=C(C)C
1147,9.0,CCN1OC1(C=CC=C(C)C)CO
1151,8.0,CCNC1(C=CC=C(C)C)CO1
1152,9.0,CCN(O)C1(C=CC=C(C)C)CO1
1154,7.0,CCNC1(C=CC=C(C)C)OC1O
1162,9.0,CCN1C(O)C1(O)C=CC=C(C)C
1163,10.0,CCN1C2OOC21C=CC=C(C)C
1220,8.0,CCN=C(C=CC=C(C)C)CO
1221,9.0,CCN=C(C=CC=C(C)C)COO
1232,7.0,CCN=C(C=CC=C(C)C)C(O)O
1233,8.0,CCN=C(C=CC=C(C)C)C1OO1
1238,7.0,CCN=C(C=O)C=CC=C(C)C
1240,6.0,CCN=C(C=CC=C(C)C)C(=O)O
1327,8.0,CCNOC=CC=CC=C(C)C
1339,9.0,CCNOOC=CC=CC=C(C)C
1342,9.0,CCN(O)OC=CC=CC=C(C)C
1347,7.0,CCNOC(O)=CC=CC=C(C)C
1348,8.0,CCN1OC(=CC=CC=C(C)C)O1
1359,11.0,CCN(C=CC=CC=C(C)C)OO
1371,9.0,CCNC(=CC=CC=C(C)C)OO
